Filename	DSC_A1_1_0-100C_6Cmin_2
Instrument name	DSC2A-00281 (192.168.1.101)
Operator	JDAA
rundate	5/7/2024
Sample name	DSC_A1_1_0-100C_6C/min_2
proceduresegments	Equilibrate 0,00000 °C; Isothermal 0,5 min; Data On ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 0,00000 °C; Mark End of Cycle ; Ramp 6,00 °C/min to 100,000 °C; Mark End of Cycle ; Mark End of Cycle ; Data Off 
[step]
Ramp 6,00 °C/min to 100,000 °C
Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
30,0000	-0,132773	-0,168451
30,1000	-0,132976	-0,168448
30,2000	-0,132137	-0,168448
30,3000	-0,133141	-0,168454
30,4000	-0,133352	-0,168462
30,5000	-0,131942	-0,168469
30,6000	-0,132177	-0,168473
30,7000	-0,132490	-0,168482
30,8000	-0,131299	-0,168490
30,9000	-0,131432	-0,168496
31,0000	-0,132230	-0,168506
31,1000	-0,132045	-0,168516
31,2000	-0,130790	-0,168532
31,3000	-0,131588	-0,168545
31,4000	-0,130380	-0,168561
31,5000	-0,130062	-0,168578
31,6000	-0,130204	-0,168593
31,7000	-0,129635	-0,168602
31,8000	-0,129912	-0,168605
31,9000	-0,129283	-0,168602
32,0000	-0,129210	-0,168587
32,1000	-0,127722	-0,168574
32,2000	-0,128047	-0,168557
32,3000	-0,127145	-0,168526
32,4000	-0,127806	-0,168429
32,5000	-0,126622	-0,168255
32,6000	-0,126708	-0,167857
32,7000	-0,125668	-0,167110
32,8000	-0,124594	-0,165978
32,9000	-0,125711	-0,164213
33,0000	-0,123539	-0,161613
33,1000	-0,122971	-0,157894
33,2000	-0,122070	-0,153728
33,3000	-0,121478	-0,148364
33,4000	-0,120280	-0,143144
33,5000	-0,119895	-0,137062
33,6000	-0,117251	-0,131981
33,7000	-0,117344	-0,126499
33,8000	-0,115185	-0,120968
33,9000	-0,112953	-0,114475
34,0000	-0,112816	-0,110241
34,1000	-0,110943	-0,105179
34,2000	-0,109915	-0,0996986
34,3000	-0,107603	-0,0948977
34,4000	-0,106288	-0,0882845
34,5000	-0,104438	-0,0812661
34,6000	-0,102501	-0,0750331
34,7000	-0,100930	-0,0693324
34,8000	-0,0986876	-0,0625947
34,9000	-0,0971638	-0,0562078
35,0000	-0,0933988	-0,0485524
35,1000	-0,0917784	-0,0416510
35,2000	-0,0883786	-0,0357163
35,3000	-0,0864337	-0,0305862
35,4000	-0,0832829	-0,0249960
35,5000	-0,0810953	-0,0192925
35,6000	-0,0763100	-0,0131371
35,7000	-0,0742960	-6,25133e-3
35,8000	-0,0707125	2,34666e-4
35,9000	-0,0674548	6,25484e-3
36,0000	-0,0650519	0,0124106
36,1000	-0,0610192	0,0198283
36,2000	-0,0570161	0,0272174
36,3000	-0,0538512	0,0342245
36,4000	-0,0497579	0,0396721
36,5000	-0,0460309	0,0450790
36,6000	-0,0405675	0,0512104
36,7000	-0,0365545	0,0569890
36,8000	-0,0325687	0,0629577
36,9000	-0,0277197	0,0680624
37,0000	-0,0234458	0,0742852
37,1000	-0,0199639	0,0798716
37,2000	-0,0155102	0,0867665
37,3000	-9,60243e-3	0,0927606
37,4000	-5,36834e-3	0,0988058
37,5000	-1,05527e-3	0,104412
37,6000	4,87423e-3	0,108672
37,7000	0,0102322	0,113408
37,8000	0,0152992	0,118516
37,9000	0,0212530	0,121887
38,0000	0,0255123	0,124883
38,1000	0,0325696	0,129171
38,2000	0,0365219	0,132354
38,3000	0,0423443	0,135775
38,4000	0,0483112	0,139780
38,5000	0,0536127	0,142846
38,6000	0,0599876	0,145911
38,7000	0,0661299	0,149022
38,8000	0,0727303	0,152120
38,9000	0,0786388	0,154659
39,0000	0,0858642	0,157549
39,1000	0,0909374	0,160285
39,2000	0,0972973	0,162123
39,3000	0,103912	0,164700
39,4000	0,111099	0,166232
39,5000	0,117801	0,168091
39,6000	0,124351	0,170035
39,7000	0,130281	0,170989
39,8000	0,137501	0,172207
39,9000	0,145181	0,173319
40,0000	0,151030	0,174850
40,1000	0,158267	0,175226
40,2000	0,166197	0,175993
40,3000	0,173349	0,176890
40,4000	0,180804	0,177661
40,5000	0,188040	0,177122
40,6000	0,195324	0,176923
40,7000	0,202796	0,177591
40,8000	0,209483	0,177118
40,9000	0,216945	0,177876
41,0000	0,224870	0,176949
41,1000	0,232490	0,177282
41,2000	0,239628	0,176708
41,3000	0,249470	0,176392
41,4000	0,256247	0,176037
41,5000	0,264079	0,175129
41,6000	0,271169	0,174203
41,7000	0,280396	0,173374
41,8000	0,286262	0,171164
41,9000	0,294189	0,170982
42,0000	0,303196	0,169266
42,1000	0,310824	0,165142
42,2000	0,318137	0,164032
42,3000	0,326837	0,162277
42,4000	0,333981	0,160746
42,5000	0,343423	0,159938
42,6000	0,352270	0,158711
42,7000	0,359875	0,157471
42,8000	0,368478	0,156224
42,9000	0,376939	0,155386
43,0000	0,384615	0,154607
43,1000	0,392796	0,153431
43,2000	0,402010	0,151007
43,3000	0,409842	0,149245
43,4000	0,417647	0,146633
43,5000	0,427555	0,143787
43,6000	0,436365	0,141879
43,7000	0,444340	0,140210
43,8000	0,452686	0,138532
43,9000	0,461839	0,135963
44,0000	0,470272	0,133854
44,1000	0,478417	0,131715
44,2000	0,486720	0,129962
44,3000	0,496147	0,128211
44,4000	0,505254	0,126725
44,5000	0,512753	0,124922
44,6000	0,523432	0,122039
44,7000	0,531240	0,119977
44,8000	0,540289	0,118121
44,9000	0,548458	0,116590
45,0000	0,558099	0,114330
45,1000	0,567997	0,111595
45,2000	0,575473	0,108751
45,3000	0,584378	0,107258
45,4000	0,593428	0,106299
45,5000	0,602804	0,105220
45,6000	0,611624	0,104618
45,7000	0,620646	0,103198
45,8000	0,629461	0,101602
45,9000	0,638689	0,100187
46,0000	0,647552	0,0985426
46,1000	0,656098	0,0953708
46,2000	0,665849	0,0920436
46,3000	0,675257	0,0888006
46,4000	0,684311	0,0856018
46,5000	0,693813	0,0827119
46,6000	0,702577	0,0799074
46,7000	0,710718	0,0788387
46,8000	0,719879	0,0775020
46,9000	0,728820	0,0757564
47,0000	0,737753	0,0762308
47,1000	0,747262	0,0757492
47,2000	0,756169	0,0741417
47,3000	0,765867	0,0731811
47,4000	0,775051	0,0719967
47,5000	0,785411	0,0699958
47,6000	0,794209	0,0677002
47,7000	0,803512	0,0657141
47,8000	0,812496	0,0640573
47,9000	0,821287	0,0625667
48,0000	0,830956	0,0607707
48,1000	0,839450	0,0602660
48,2000	0,849120	0,0589832
48,3000	0,858987	0,0576290
48,4000	0,867523	0,0562525
48,5000	0,877087	0,0539143
48,6000	0,885854	0,0511481
48,7000	0,895177	0,0491981
48,8000	0,904793	0,0482963
48,9000	0,913556	0,0473270
49,0000	0,923082	0,0458522
49,1000	0,933498	0,0447108
49,2000	0,942918	0,0438675
49,3000	0,951129	0,0428587
49,4000	0,960551	0,0418439
49,5000	0,970077	0,0411848
49,6000	0,979692	0,0396243
49,7000	0,989856	0,0381347
