Time	Temperature	Heat Flow (Normalized)
s	°C	W/g
60,0000	-0,132917	-0,163465
60,1000	-0,133213	-0,163471
60,2000	-0,133085	-0,163476
60,3000	-0,133040	-0,163481
60,4000	-0,133130	-0,163485
60,5000	-0,132677	-0,163487
60,6000	-0,133048	-0,163489
60,7000	-0,132321	-0,163489
60,8000	-0,132300	-0,163493
60,9000	-0,133371	-0,163495
61,0000	-0,132152	-0,163487
61,1000	-0,131565	-0,163469
61,2000	-0,132628	-0,163450
61,3000	-0,132317	-0,163433
61,4000	-0,132583	-0,163412
61,5000	-0,132106	-0,163393
61,6000	-0,131393	-0,163375
61,7000	-0,131998	-0,163356
61,8000	-0,131420	-0,163331
61,9000	-0,131005	-0,163310
62,0000	-0,129349	-0,163296
62,1000	-0,129116	-0,163270
62,2000	-0,129285	-0,163197
62,3000	-0,129867	-0,162965
62,4000	-0,129020	-0,162441
62,5000	-0,128024	-0,161432
62,6000	-0,127759	-0,160185
62,7000	-0,125862	-0,158100
62,8000	-0,126202	-0,155125
62,9000	-0,125075	-0,151905
63,0000	-0,124803	-0,147975
63,1000	-0,123805	-0,144046
63,2000	-0,123090	-0,139275
63,3000	-0,122378	-0,133924
63,4000	-0,120805	-0,127435
63,5000	-0,120258	-0,121613
63,6000	-0,118702	-0,114953
63,7000	-0,117432	-0,109810
63,8000	-0,116068	-0,104362
63,9000	-0,116048	-0,0994372
64,0000	-0,113405	-0,0953494
64,1000	-0,112033	-0,0899392
64,2000	-0,110041	-0,0848358
64,3000	-0,108464	-0,0792872
64,4000	-0,106960	-0,0744297
64,5000	-0,104934	-0,0683252
64,6000	-0,102988	-0,0637335
64,7000	-0,100501	-0,0586645
64,8000	-0,0969408	-0,0542485
64,9000	-0,0947496	-0,0490626
65,0000	-0,0932643	-0,0434802
65,1000	-0,0906742	-0,0380239
65,2000	-0,0868625	-0,0318612
65,3000	-0,0850942	-0,0258374
65,4000	-0,0823250	-0,0198259
65,5000	-0,0789382	-0,0142987
65,6000	-0,0756331	-8,46922e-3
65,7000	-0,0735628	-3,24106e-3
65,8000	-0,0694340	1,03858e-3
65,9000	-0,0664797	5,91851e-3
66,0000	-0,0622663	0,0102885
66,1000	-0,0588155	0,0140470
66,2000	-0,0554256	0,0190380
66,3000	-0,0516435	0,0244020
66,4000	-0,0470817	0,0293669
66,5000	-0,0429447	0,0344727
66,6000	-0,0390049	0,0392746
66,7000	-0,0348152	0,0436424
66,8000	-0,0310400	0,0474930
66,9000	-0,0264794	0,0519528
67,0000	-0,0219488	0,0564364
67,1000	-0,0174500	0,0593589
67,2000	-0,0118340	0,0622765
67,3000	-6,28802e-3	0,0662504
67,4000	-2,11034e-3	0,0704642
67,5000	2,54875e-3	0,0739292
67,6000	8,12058e-3	0,0775237
67,7000	0,0128527	0,0812079
67,8000	0,0176590	0,0837446
67,9000	0,0225555	0,0859114
68,0000	0,0283151	0,0881720
68,1000	0,0347155	0,0901467
68,2000	0,0388345	0,0925630
68,3000	0,0455480	0,0936529
68,4000	0,0524771	0,0956726
68,5000	0,0567844	0,0971532
68,6000	0,0634989	0,0990231
68,7000	0,0698922	0,100777
68,8000	0,0755236	0,102461
68,9000	0,0819645	0,104412
69,0000	0,0878408	0,105384
69,1000	0,0955553	0,105962
69,2000	0,101051	0,106721
69,3000	0,108279	0,109359
69,4000	0,113882	0,110166
69,5000	0,120523	0,111549
69,6000	0,126904	0,111520
69,7000	0,134329	0,110496
69,8000	0,141449	0,110444
69,9000	0,148241	0,110505
70,0000	0,155554	0,110631
70,1000	0,162422	0,110690
70,2000	0,170186	0,111484
70,3000	0,177309	0,111135
70,4000	0,183908	0,111041
70,5000	0,191820	0,111062
70,6000	0,198454	0,111425
70,7000	0,207016	0,111245
70,8000	0,213238	0,110960
70,9000	0,220902	0,110459
71,0000	0,228250	0,109975
71,1000	0,235596	0,106632
71,2000	0,243602	0,105275
71,3000	0,251181	0,105241
71,4000	0,258839	0,103582
71,5000	0,266441	0,101033
71,6000	0,274428	0,0993578
71,7000	0,282239	0,0980129
71,8000	0,290908	0,0965087
71,9000	0,299364	0,0954879
72,0000	0,307265	0,0943972
72,1000	0,315552	0,0932404
72,2000	0,323021	0,0918870
72,3000	0,330983	0,0905086
72,4000	0,339657	0,0896108
72,5000	0,348085	0,0887881
72,6000	0,355744	0,0875111
72,7000	0,364261	0,0864825
72,8000	0,372393	0,0848671
72,9000	0,381795	0,0835625
73,0000	0,390391	0,0823799
73,1000	0,398403	0,0809291
73,2000	0,406987	0,0794654
73,3000	0,415220	0,0777366
73,4000	0,422340	0,0760686
73,5000	0,431409	0,0744503
73,6000	0,440220	0,0727893
73,7000	0,448957	0,0713825
73,8000	0,457285	0,0698608
73,9000	0,466104	0,0679030
74,0000	0,475738	0,0658296
74,1000	0,483779	0,0637981
74,2000	0,491754	0,0610839
74,3000	0,501099	0,0582263
74,4000	0,509834	0,0542978
74,5000	0,518942	0,0506365
74,6000	0,527507	0,0475624
74,7000	0,536968	0,0454004
74,8000	0,546952	0,0448404
74,9000	0,556151	0,0446100
