CODE	DESCRIPTION
CICIMAUCR0001-1	C. kalinini
CICIMAUCR0012-1	C. cupreomarginata
CICIMAUCR0015-1	C. resplendens
CICIMAUCR0006-1	C. kalinini
CICIMAUCR0020-1	C. resplendens
CICIMAUCR0018-1	c. cupreomarginata
CICIMAUCR0008-1	C. kalinini
CICIMAUCR0021-1	C. resplendens. 
CICIMAUCR0019-1	C. cupreomarginata
CICIMAUCR0009-1	C. kalinini
CICIMAUCR0070-1	C. resplendens
CICIMAUCR0098-1	C. cupreomarginata
CICIMAUCR0097-1	C. kalinini
CICIMAUCR0071-1	C. resplendens
CICIMAUCR0100-1	C. cupreomarginata
CICIMAUCR0113-1	C. kalinini
CICIMAUCR0101-1	C. resplendens
CICIMAUCR0158-1	C. cupreomarginata
CICIMAUCR0116-1	C. kalinini
CICIMAUCR0104-1	C. resplendens
CICIMAUCR0141-1	C. kalinini
CICIMAUCR0014-1	C. cupreomarginata
CICIMAUCR0013-1	C. resplendens
CICIMAUCR0108-1	C. resplendens
CICIMAUCR0013-2	C. resplendens
CICIMAUCR0108-2	C. resplendens
CICIMAUCR0013-3	C. resplendens
CICIMAUCR0108-3	C. resplendens

CICIMAUCR0112-1	C. resplendens
CICIMAUCR0001-2	C. kalinini
CICIMAUCR0012-2	C. cupreomarginata
CICIMAUCR0112-2	C. resplendens
CICIMAUCR0001-3	C. kalinini
CICIMAUCR0012-3	C. cupreomarginata
CICIMAUCR0112-3	C. resplendens
