NOTE: THESE MEASUREMENTS WERE TAKEN USING THE IRIS AND LENS IN DUAL BEAM MODE.
REFLECTANCES HAVE THE EXPECTED SHAPE BUT ARE SMALLER IN AMPLITUDE

CODE	DESCRIPTION
CICIMAUCR0001-1	C. kalinini
CICIMAUCR0012-1	C. cupreomarginata
CICIMAUCR0015-1	C. resplendens
CICIMAUCR0006-1	C. kalinini
CICIMAUCR0020-1	C. resplendens
CICIMAUCR0158-2	C.cupreomarginata	
CICIMAUCR0116-2	C. kalinini	
CICIMAUCR0101-2	C. resplendens
CICIMAUCR0158-3	C. cupreomarginata	
CICIMAUCR0116-3	C. kalinini	
CICIMAUCR0101-3	C. resplendens

CICIMAUCR0013-1	C. resplendens
CICIMAUCR0001-1	C. kalinini
CICIMAUCR0012-1	C. cupreomarginata
CICIMAUCR0013-2	C. resplendens
CICIMAUCR0001-2	C. kalinini
CICIMAUCR0012-2	C. cupreomarginata
CICIMAUCR0013-3	C. resplendens
CICIMAUCR0001-3	C. kalinini
CICIMAUCR0012-3	C. cupreomarginata

CICIMAUCR0006-1	C. kalinini
CICIMAUCR0015-1	C. resplendens
CICIMAUCR0014-1	C. cupreomarginata
CICIMAUCR0006-2	C. kalinini
CICIMAUCR0015-2	C. resplendens
CICIMAUCR0014-2	C. cupreomarginata
CICIMAUCR0006-3	C. kalinini
CICIMAUCR0015-3	C. resplendens
CICIMAUCR0014-3	C. cupreomarginata

CICIMAUCR0008-1	C. kalinini
CICIMAUCR0018-1	c. cupreomarginata
CICIMAUCR0020-1	C. resplendens
CICIMAUCR0008-2	C. kalinini
CICIMAUCR0018-2	C. cupreomarginata
CICIMAUCR0020-2	C. resplendens
CICIMAUCR0008-3	C. kalinini
CICIMAUCR0018-3	C. cupreomarginata
CICIMAUCR0020-3	C. resplendens

CICIMAUCR0009-1	C. kalinini
CICIMAUCR0021-1	C. resplendens. 
CICIMAUCR0019-1	C. cupreomarginata
CICIMAUCR0009-2	C. kalinini
CICIMAUCR0021-2	C. resplendens. 
CICIMAUCR0019-2	C. cupreomarginata
CICIMAUCR0009-3	C. kalinini
CICIMAUCR0021-3	C. resplendens. 
CICIMAUCR0019-3	C. cupreomarginata
CICIMAUCR0019-4	C. cupreomarginata
CICIMAUCR0019-5	C. cupreomarginata

CICIMAUCR0097-1	C. kalinini
CICIMAUCR0070-1	C. resplendens
CICIMAUCR0098-1	C. cupreomarginata
CICIMAUCR0097-2	C. kalinini
CICIMAUCR0070-2	C. resplendens
CICIMAUCR0098-2	C. cupreomarginata
CICIMAUCR0097-3	C. kalinini
CICIMAUCR0070-3	C. resplendens
CICIMAUCR0098-3	C. cupreomarginata

CICIMAUCR0113-1	C. kalinini
