MONTEVERDE BEETLES. MAY 2024. 
ELYTRA MEASUREMENTS

CODE	SPECIES
CICIMAUCR0225-1	C. resplendens, F Dorsal
CICIMAUCR0250-1	C. resplendens, M Dorsal
CICIMAUCR0251-1	C. resplendens, F Dorsal
CICIMAUCR0225-2	C. resplendens, F Dorsal
CICIMAUCR0250-2	C. resplendens, M Dorsal
CICIMAUCR0251-2	C. resplendens, F Dorsal
CICIMAUCR0225-3	C. resplendens, F Dorsal
CICIMAUCR0250-3	C. resplendens, M Dorsal
CICIMAUCR0251-3	C. resplendens, F Dorsal

CICIMAUCR0201-1	C. cupreomarginata. Sex F. Dorsal
CICIMAUCR0204-1	C. cupreomarginata. Sex M. Dorsal
CICIMAUCR0205-1	C. cupreomarginata. Sex F. Dorsal
CICIMAUCR0201-2	C. cupreomarginata. Sex F. Dorsal
CICIMAUCR0204-2	C. cupreomarginata. Sex M. Dorsal
CICIMAUCR0205-2	C. cupreomarginata. Sex F. Dorsal
CICIMAUCR0201-3	C. cupreomarginata. Sex F. Dorsal
CICIMAUCR0204-3	C. cupreomarginata. Sex M. Dorsal
CICIMAUCR0205-3	C. cupreomarginata. Sex F. Dorsal

CICIMAUCR0225-1	C. resplendens, F Ventral
CICIMAUCR0250-1	C. resplendens, M Ventral
CICIMAUCR0251-1	C. resplendens, F Ventral
CICIMAUCR0225-2	C. resplendens, F Ventral
CICIMAUCR0250-2	C. resplendens, M Ventral
CICIMAUCR0251-2	C. resplendens, F Ventral
CICIMAUCR0225-3	C. resplendens, F Ventral
CICIMAUCR0250-3	C. resplendens, M Ventral
CICIMAUCR0251-3	C. resplendens, F Ventral
CICIMAUCR0225-4	C. resplendens, F Ventral
CICIMAUCR0250-4	C. resplendens, M Ventral
CICIMAUCR0251-4	C. resplendens, F Ventral
CICIMAUCR0225-5	C. resplendens, F Ventral
CICIMAUCR0250-5	C. resplendens, M Ventral
CICIMAUCR0251-5	C. resplendens, F Ventral

CICIMAUCR0201-1	C. cupreomarginata. Sex F. Ventral 23%
CICIMAUCR0204-1	C. cupreomarginata. Sex M. Ventral 22,6%
CICIMAUCR0205-1	C. cupreomarginata. Sex F. Ventral 27,6%
CICIMAUCR0201-2	C. cupreomarginata. Sex F. Ventral 27,0%
CICIMAUCR0204-2	C. cupreomarginata. Sex M. Ventral 23.7%
CICIMAUCR0205-2	C. cupreomarginata. Sex F. Ventral 30,4%
CICIMAUCR0201-3	C. cupreomarginata. Sex F. Ventral 25,2%
CICIMAUCR0204-3	C. cupreomarginata. Sex M. Ventral 22,3%
CICIMAUCR0205-3	C. cupreomarginata. Sex F. Ventral 30,3%

CICIMAUCR0209-1	C. cupreomarginata. Sex F. Dorsal 
CICIMAUCR0210-1	C. resplendens. Sex F. Dorsal 70.5
CICIMAUCR0212-1	C. resplendens. Sex F. Dorsal 75.0
CICIMAUCR0209-2	C. cupreomarginata. Sex F. Dorsal 48,2
CICIMAUCR0210-2	C. resplendens. Sex F. Dorsal 71.6
CICIMAUCR0212-2	C. resplendens. Sex F. Dorsal 75.1
CICIMAUCR0209-3	C. cupreomarginata. Sex F. Dorsal 47,3
CICIMAUCR0210-3	C. resplendens. Sex F. Dorsal 70.2
CICIMAUCR0212-3	C. resplendens. Sex F. Dorsal 75.4
