MONTEVERDE BEETLES. MAY 2024. 
ELYTRA MEASUREMENTS

CODE	SPECIES
CICIMAUCR0225-1	C. resplendens, F Dorsal
CICIMAUCR0250-1	C. resplendens, M Dorsal
CICIMAUCR0251-1	C. resplendens, F Dorsal
CICIMAUCR0225-2	C. resplendens, F Dorsal
CICIMAUCR0250-2	C. resplendens, M Dorsal
CICIMAUCR0251-2	C. resplendens, F Dorsal
CICIMAUCR0225-3	C. resplendens, F Dorsal
CICIMAUCR0250-3	C. resplendens, M Dorsal
CICIMAUCR0251-3	C. resplendens, F Dorsal

CICIMAUCR0225-1	C. resplendens, F Ventral
CICIMAUCR0250-1	C. resplendens, M Ventral
CICIMAUCR0251-1	C. resplendens, F Ventral
CICIMAUCR0225-2	C. resplendens, F Ventral
CICIMAUCR0250-2	C. resplendens, M Ventral
CICIMAUCR0251-2	C. resplendens, F Ventral
CICIMAUCR0225-3	C. resplendens, F Ventral
CICIMAUCR0250-3	C. resplendens, M Ventral
CICIMAUCR0251-3	C. resplendens, F Ventral
CICIMAUCR0225-4	C. resplendens, F Ventral
CICIMAUCR0250-4	C. resplendens, M Ventral
CICIMAUCR0251-4	C. resplendens, F Ventral
CICIMAUCR0225-5	C. resplendens, F Ventral
CICIMAUCR0250-5	C. resplendens, M Ventral
CICIMAUCR0251-5	C. resplendens, F Ventral
a
