code	purpose	notes	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	genus	species	country	province	location	location_code	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron
ANGSOL0001		Chrysina macropus. Sin datos												Chrysina	macropus														
ANGSOL0002		Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.												Chrysina	macropus	Mexico	Hidalgo	Tlanchinol											
ANGSOL0003		Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.												Chrysina	macropus	Mexico	Hidalgo	Tlanchinol											
ANGSOL0004		Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.												Chrysina	macropus	Mexico	Hidalgo	Tlanchinol											
ANGSOL0005		Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.												Chrysina	macropus	Mexico	Hidalgo	Tlanchinol											
ANGSOL0006		Chrysina macropus. Mexico, Hidalgo. Tlanchinol. 7-28 Junio 1992.												Chrysina	macropus	Mexico	Hidalgo	Tlanchinol											
ANGSOL0007		Chrysina auripes. (en otra etiqueta Plusiotis cholchihoilli). Mexico, Oaxaca, b Esperanza. 1-VII-1992. J. Blackaller col.												Chrysina	auripes	Mexico	Oaxaca	La Esperanza											
ANGSOL0008		Chrysina auripes. Mexico, Oaxaca, La Esperanza. 1-VII-1992. J. Blackaller col.												Chrysina	auripes	Mexico	Oaxaca	La Esperanza											
ANGSOL0009		Chrysina adelaida. Coleccion del instituto de biologia, UNAM. Mexico, D.F. Mexico Queretaro Pinal de Amoles Desv. a Mision de Bucareli. 2250 msnm 27-IV-1998. N 21 6 36, O 99 59 25. E. Barrera C. Mayorga.												Chrysina	adelaida	Mexico	Queretaro	Pinal de Amoles											
ANGSOL0010		Chrysina marginata. ASolis003116. Costa Rica, Los Gigantes del Bosque, Altamira, 1400 m, 4-May-2022. A. Solis. 9.03075 -83.00953.												Chrysina	marginata	Costa Rica	Puntarenas	Altamira, Los Gigantes del Bosque											
ANGSOL0011		Chrysina resplendens. Sector Santa Maria, manta #560, crater bosque, sendero adentro/ 8 Abril 2016/ Col: Sergio rios / BioCol-0000415.												Chrysina	resplendens	Costa Rica													
ANGSOL0012		Chrysina kalinini. ASolis000517. Costa Rica. Los Gigantes del Bosque, Altamira, 1400 m, 26-Nov-2019. A. Solis. 9.03075 -83.0053. A. Soolis 000517.												Chrysina	kalinini	Costa Rica	Puntarenas	Altamira, Los Gigantes del Bosque											
ANGSOL0013		Chrysina cupreomarginata. San Jose, Costa Rica. P.N. Braulio Carrillo. ET. Zurqui tunel. 1500 m. 20 setiembre 85. M Chavarria D.												Chrysina	cupreomarginata	Costa Rica	San José	P.N. Braulio Carrillo. ET. Zurqui tunel.											
ANGSOL0014		Minidorysthetus solisi. ASolis003398. Costa Rica. Estacion Biologica Pitilla. 718 m. 14-May-2022. A. Solis. 10.98688 -85.42717.												Minidorysthetus	solisi	Costa Rica	Cartago	 Pitilla											
ANGSOL0015		Anomala sp. Costa Rica, Estacion Biologica Pitilla. 718 m. 14-May-2022. A. Solis. 10.98688 -85.42717. ASolis003407.														Costa Rica	Cartago	 Pitilla											
ANGSOL0016		ASolis003408. Costa Rica. Estacion Biologica Pitilla. 718 m. 14-May-2022. A. Solis. 10.98688 -85.42717. Aparentemente anomala												ASolis003408.		Costa Rica	Cartago	 Pitilla											
ANGSOL0017		Chrysina kalinini. Costa Rica, Los Gigantes del Bosque, Altamira. 1400 m, 4-May-2022. A. Solis. 9.03075 -83.00953 . ASolis003117.												Chrysina	kalinini	Costa Rica	Puntarenas Altamira, Los Gigantes del Bosque												
ANGSOL0018		Chrysina optima. ASolis000010. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.												Chrysina	optima	Costa Rica	Cartago	Tapantí, río Dos Amigos											
ANGSOL0019		Chrysina optima. ASolis000011. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.												Chrysina	optima	Costa Rica	Cartago	Tapantí, río Dos Amigos											
ANGSOL0020		Chrysina optima. ASolis000012. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.												Chrysina	optima	Costa Rica	Cartago	Tapantí, río Dos Amigos											
ANGSOL0021		Chrysina optima. ASolis000013. Tapanti, Rio Dos Amigos. 31 Jul 2019. A. Solis.												Chrysina	optima	Costa Rica	Cartago	Tapantí, río Dos Amigos											
