code	old_code	genus	species	sex_code	purpose	notes	country	province	location	location_code	latitude	longitude	elevation	collection_day	collection_month	collection_year	death_date	refrigerator	tray	row	column	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	label
CICIMAUCR0001		Chrysina	kalinini			AM '22, La Amistad, 03-04.v.2022 Chrysina kalinini, 95% EtOH	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173		3	5	2022		1	2	4	3								CICIMAUCR0001 AM//SEX: U 3.2022
CICIMAUCR0002		Chrysina	kalinini	M		male AM 3.V.22	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173		3	5	2022		1	2	1	1								CICIMAUCR0002 AM//SEX: M 3.V.2022
CICIMAUCR0003		Chrysina	kalinini	M		male AM V.22	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173			5	2022		1	2	1	1								CICIMAUCR0003 AM//SEX: M V.2022
CICIMAUCR0004		Chrysina	kalinini	M		male AM V.22	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173			5	2022		1	2	1	1								CICIMAUCR0004 AM//SEX: M V.2022
CICIMAUCR0005	6	Chrysina	boucardi	F	RNA-opsins. Elitro izquierdo E. Bermudez SEM 04-MAR-2024. Elitro derecho perdido.	MV 6 MV 23 F?	Costa Rica	Puntarenas	Monteverde	MV	10.34367225	-84.79611834			6	2023		1	2	1	1	dark-adapted							CICIMAUCR0005 MV//SEX: F VI.2023
CICIMAUCR0006	kali4	Chrysina	kalinini			AM '22 //Poco etanol	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173				2022		1	2	1	1								CICIMAUCR0006 AM//SEX: U 2022
CICIMAUCR0007	20	Chrysina	chrysargyrea	M	general	MV 23, chrysargyrea GOLD	Costa Rica	Puntarenas	lower light, Estacion Biologica Monteverde	MV	10.316699	-84.809033	1497			2023		1	2	1	1								CICIMAUCR0007 MV//SEX: M 2023
CICIMAUCR0008	kali2	Chrysina	kalinini			AM '22	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173				2022		1	2	1	1								CICIMAUCR0008 AM//SEX: U 2022
CICIMAUCR0009	kali1	Chrysina	kalinini			AM 	Costa Rica	Puntarenas	Parque Internacional La Amistad, Altamira	AM	9.030185803	-83.00826173				2022		1	2	1	1								CICIMAUCR0009 AM//SEX: U 2022
CICIMAUCR0010	58	Chrysina	chrysargyrea	F		MV	Costa Rica	Guanacaste	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	dark-adapted							CICIMAUCR0010 MV//SEX: F 28.v.2023
CICIMAUCR0011	50	Chrysina	chrysargyrea	M		MV	Costa Rica	Guanacaste	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	dark-adapted							CICIMAUCR0011 MV//SEX: M 28.v.2023
CICIMAUCR0012	2	Chrysina	cupreomarginata	M	RNA-opsins	MV	Costa Rica	Puntarenas	Monteverde	MV	10.34367225	-84.79611834				2023		1	2	1	2	dark-adapted							CICIMAUCR0012 MV//SEX: M 2023
CICIMAUCR0013	63	Chrysina	resplendens	M		MV	Costa Rica	Guanacaste	Reserva Bosque Nuboso Santa Elena	MV	10.343871	-84.796085	1664	28	5	2023		1	2	1	2	dark-adapted							CICIMAUCR0013 MV//SEX: M 28.v.2023
CICIMAUCR0014	52	Chrysina	cupreomarginata	F	RNA-opsins	MV	Costa Rica	Puntarenas	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	dark-adapted							CICIMAUCR0014 MV//SEX: F 28.v.2023
CICIMAUCR0015	60	Chrysina	resplendens	F	RNA-opsins	MV	Costa Rica	Puntarenas	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	dark-adapted							CICIMAUCR0015 MV//SEX: F 28.v.2023
CICIMAUCR0016	54	Chrysina	chrysargyrea	M	RNA-opsins	MV	Costa Rica	Puntarenas	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	light-adapted							CICIMAUCR0016 MV//SEX: M 28.v.2023
CICIMAUCR0017	56	Chrysina	chrysargyrea	F		MV	Costa Rica	Puntarenas	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	light-adapted							CICIMAUCR0017 MV//SEX: F 28.v.2023
CICIMAUCR0018	8	Chrysina	cupreomarginata	M	RNA-opsins	MV	Costa Rica	Puntarenas	Monteverde	MV	10.34367225	-84.79611834				2023		1	2	1	2	light-adapted							CICIMAUCR0018 MV//SEX: M 2023
CICIMAUCR0019	51	Chrysina	cupreomarginata	F	RNA-opsins	MV	Costa Rica	Puntarenas	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	2	light-adapted							CICIMAUCR0019 MV//SEX: F 28.v.2023
CICIMAUCR0020	53	Chrysina	resplendens	M	RNA-opsins	MV	Costa Rica	Puntarenas	nr. Reserva Bosque Nuboso Santa Elena	MV	10.34361583	-84.79609395		28	5	2023		1	2	1	3	light-adapted							CICIMAUCR0020 MV//SEX: M 28.v.2023
CICIMAUCR0021	5	Chrysina	resplendens	F		MV, F?	Costa Rica	Puntarenas	Monteverde	MV	10.34367225	-84.79611834				2023		1	2	1	3	light-adapted							CICIMAUCR0021 MV//SEX: F 2023
CICIMAUCR0022	7	Chrysina	boucardi	F	RNA-opsins	MV, F?	Costa Rica	Puntarenas	Monteverde	MV	10.34367225	-84.79611834				2023		1	2	1	2	light-adapted							CICIMAUCR0022 MV//SEX: F 2023
CICIMAUCR0023	MA99:1					ETOH VOVELV	Costa Rica 									2022		1	1	1	1								CICIMAUCR0023 //SEX: U 2022
CICIMAUCR0024	CALI-1	Calistethus				ETOH	Costa Rica 	Puntarenas	Altamira, La Amistad, Costa Rica	AM	9.029891	-83.009678	1369	3	5	2022		1	1	1	3	Light	Left eye, B6	through 1X PBS wash series	Osmication	Right eye, green box A3	95%	right, dry	CICIMAUCR0024 AM//SEX: U 3.v.22
CICIMAUCR0025	PLATY-2	Platycoelia				Right mesothoracic leg pulled by Angel Solis	Costa Rica 	Puntarenas	Altamira, La Amistad, Costa Rica	AM	9.029891	-83.009678	1369	3	5	2022		1	1	2	1	Dark	Left eye, B2	through 1X PBS wash series	Osmication	Right eye, green box B3	95%	right, dry	CICIMAUCR0025 AM//SEX: U 3.V.22
CICIMAUCR0026	PLATY-3	Platycoelia				Left metathoracic leg pulled for Angel Solis/Right mesothoracic leg pulled by Angel Solis	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	2	1	Light	Left eye, C3	through 1X PBS wash series	Osmication	Right eye, C3	95%	right, dry	CICIMAUCR0026 TP//SEX: U 7.V.22
CICIMAUCR0027	PLATY-4	Platycoelia				Right mesothoracic leg pulled by Angel Solis	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	2	1	Dark	Left eye, C4	through 1X PBS wash series	Osmication	Right eye, C4	95%	right, dry	CICIMAUCR0027 TP//SEX: U 7.V.22
CICIMAUCR0028	PELID-1	Pelidnota				Right mesothoracic leg pulled by Angel Solis. sp. chiriquina or chiricicola	Costa Rica 	Puntarenas	Altamira, La Amistad, Costa Rica	AM	9.029891	-83.009678	1369	3	5	2022		1	1	2	1	Light	Left eye, B4	through 1X PBS wash series	Osmication	Right eye, green box A5	95%	right, dry	CICIMAUCR0028 AM//SEX: U 3.V.22
CICIMAUCR0029	PELID-2	Pelidnota				Right mesothoracic leg pulled by Angel Solis.sp. chiriquina or chiricicola	Costa Rica 	Puntarenas	Altamira, La Amistad, Costa Rica	AM	9.029891	-83.009678	1369	3	5	2022		1	1	2	1	Dark	Left eye, B5	through 1X PBS wash series	Osmication	Right eye, green box, B1	95%	right, dry	CICIMAUCR0029 AM//SEX: U 3.V.22
CICIMAUCR0030						V. bovendi P.N  Tapantí 07.V.2022	Costa Rica 	Cartago	Tapantí	TP	9.574242117	-83.75709361				2022		1	1	2	2								CICIMAUCR0030 TP//SEX: U 2022
CICIMAUCR0031	AURI-1	Chrysina	aurigans	M		Male EtOH 95% Pitilla, Right mesothoracic leg pulled by Angel Solis	Costa Rica 	Guanacaste	Pitilla, Costa Rica	PI	10.984811	-85.426046	732	13	5	2022		1	1	2	3	Light	Left eye, E1	initial fixation (noon on 14 May)	Osmication	Right eye, E1	95%	right, dry	CICIMAUCR0031 PI//SEX: M 13.V.22
CICIMAUCR0032	AURI-2	Chrysina	aurigans	F		Right mesothoracic leg pulled by Angel Solis	Costa Rica 	Guanacaste	Pitilla, Costa Rica	PI	10.984811	-85.426046	732	13	5	2022		1	1	2	3	Light	Left eye, E2	initial fixation (noon on 14 May)	Osmication	Right eye, E2	95%	right, dry	CICIMAUCR0032 PI//SEX: F 13.V.22
CICIMAUCR0033	OPTG-1	Chrysina	optima	M		Chrysina optima CoPTG-1 7.V.2022 Tapanti EtOh95% Vouchv,Right mesothoracic leg pulled by Angel Solis optima (gold form)	Costa Rica 	Cartago	Tapanti, Costa Rica	TP	9.703526	-83.781989	1487	7	5	2022		1	1	3	1	Light	Left eye, D1	through 1X PBS wash series	Osmication	Right eye, D1	95%	right, dry	CICIMAUCR0033 TP//SEX: M 7.V.22
