CICIMAUCR0044_B
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  104,776;   69,124;  212,912;24,79509
 200,02;  108,874;   97,516;  201,017;10,97350
 200,62;   77,907;   69,328;  116,337;18,24876
 201,22;  122,445;   89,808;  191,196;32,18993
 201,82;   99,589;   78,699;  227,849;14,00559
 202,42;  117,150;  107,919;  211,990; 8,87016
 203,03;   77,832;   49,933;  144,859;29,39101
 203,63;   88,338;   68,244;  153,253;23,63779
 204,23;   90,099;   79,167;  197,491; 9,23853
 204,83;   95,791;   74,949;  153,601;26,49888
 205,43;   94,076;   62,524;  192,612;24,25463
 206,03;   73,267;   65,952;  137,574;10,21391
 206,63;   75,690;   73,695;  129,953; 3,54504
 207,24;  114,977;   74,278;  246,960;23,56921
 207,84;   73,644;   58,255;  132,648;20,68615
 208,44;   70,145;   55,408;  142,596;16,90216
 209,04;   59,913;   54,593;  111,779; 9,30406
 209,64;  110,735;   74,340;  200,454;28,85844
 210,24;   68,191;   59,249;  129,701;12,69209
 210,84;   72,068;   60,406;  155,122;12,31346
 211,44;  106,063;   82,595;  190,227;21,80391
 212,05;   78,413;   77,893;  120,879; 1,21123
 212,65;   86,832;   82,933;  164,459; 4,78338
 213,25;  106,950;   88,219;  192,990;17,87827
 213,85;  101,308;   87,282;  147,585;23,25918
 214,45;   80,791;   57,349;  133,901;30,62221
 215,05;   56,268;   41,406;  140,122;15,05612
 215,65;   65,292;   58,803;  153,048; 6,88542
 216,25;   67,791;   55,649;  132,501;15,79900
 216,85;   44,921;   29,911;  142,569;13,32368
 217,45;   71,032;   57,033;  133,359;18,34198
 218,05;   79,434;   64,486;  160,906;15,50209
 218,66;   39,998;   32,114;  123,343; 8,64187
 219,26;   50,738;   32,444;  110,553;23,42144
 219,86;   58,552;   33,573;  147,938;21,84117
 220,46;   79,010;   55,689;  156,280;23,18380
 221,06;   81,699;   59,567;  179,691;18,42385
 221,66;   61,670;   48,459;  173,070;10,60127
 222,26;   58,135;   37,740;  169,554;15,47221
 222,86;   86,303;   70,125;  156,338;18,76588
