CICIMAUCR0044_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   87,515;   69,124;  212,912;12,79057
 200,02;  109,308;   97,516;  201,017;11,39297
 200,62;   72,279;   69,328;  116,337; 6,27769
 201,22;  102,118;   89,808;  191,196;12,14092
 201,82;   83,543;   78,699;  227,849; 3,24786
 202,42;  104,305;  107,919;  211,990;-3,47274
 203,03;   67,789;   49,933;  144,859;18,81102
 203,63;   89,177;   68,244;  153,253;24,62430
 204,23;   90,265;   79,167;  197,491; 9,37889
 204,83;   83,170;   74,949;  153,601;10,45282
 205,43;   72,615;   62,524;  192,612; 7,75730
 206,03;   62,867;   65,952;  137,574;-4,30669
 206,63;   70,117;   73,695;  129,953;-6,36091
 207,24;   98,569;   74,278;  246,960;14,06695
 207,84;   60,664;   58,255;  132,648; 3,23895
 208,44;   65,218;   55,408;  142,596;11,25089
 209,04;   60,420;   54,593;  111,779;10,19012
 209,64;   89,096;   74,340;  200,454;11,70062
 210,24;   51,170;   59,249;  129,701;-11,46703
 210,84;   64,421;   60,406;  155,122; 4,23921
 211,44;   95,733;   82,595;  190,227;12,20699
 212,05;   66,620;   77,893;  120,879;-26,22358
 212,65;   77,189;   82,933;  164,459;-7,04496
 213,25;   98,905;   88,219;  192,990;10,19925
 213,85;   97,333;   87,282;  147,585;16,66731
 214,45;   73,470;   57,349;  133,901;21,05941
 215,05;   53,921;   41,406;  140,122;12,67795
 215,65;   57,124;   58,803;  153,048;-1,78141
 216,25;   58,270;   55,649;  132,501; 3,41087
 216,85;   43,614;   29,911;  142,569;12,16375
 217,45;   56,889;   57,033;  133,359;-0,18797
 218,05;   76,443;   64,486;  160,906;12,40026
 218,66;   37,911;   32,114;  123,343; 6,35499
 219,26;   42,477;   32,444;  110,553;12,84482
 219,86;   42,259;   33,573;  147,938; 7,59468
 220,46;   72,140;   55,689;  156,280;16,35382
 221,06;   65,865;   59,567;  179,691; 5,24246
 221,66;   62,674;   48,459;  173,070;11,40756
 222,26;   50,796;   37,740;  169,554; 9,90496
