CICIMAUCR0179_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   69,816;   69,124;  212,912; 0,48151
 200,02;   97,751;   97,516;  201,017; 0,22618
 200,62;   70,930;   69,328;  116,337; 3,40806
 201,22;   90,474;   89,808;  191,196; 0,65660
 201,82;   68,886;   78,699;  227,849;-6,57916
 202,42;  113,443;  107,919;  211,990; 5,30748
 203,03;   58,904;   49,933;  144,859; 9,45039
 203,63;   72,772;   68,244;  153,253; 5,32730
 204,23;   76,291;   79,167;  197,491;-2,43083
 204,83;   81,957;   74,949;  153,601; 8,90976
 205,43;   67,416;   62,524;  192,612; 3,76079
 206,03;   59,249;   65,952;  137,574;-9,35862
 206,63;   68,524;   73,695;  129,953;-9,19250
 207,24;   85,449;   74,278;  246,960; 6,46938
 207,84;   45,941;   58,255;  132,648;-16,55176
 208,44;   52,274;   55,408;  142,596;-3,59489
 209,04;   48,632;   54,593;  111,779;-10,42366
 209,64;   92,469;   74,340;  200,454;14,37519
 210,24;   53,157;   59,249;  129,701;-8,64757
 210,84;   56,782;   60,406;  155,122;-3,82589
 211,44;   89,513;   82,595;  190,227; 6,42778
 212,05;   77,332;   77,893;  120,879;-1,30491
 212,65;   76,504;   82,933;  164,459;-7,88598
 213,25;   99,743;   88,219;  192,990;10,99878
 213,85;   93,063;   87,282;  147,585; 9,58697
 214,45;   59,057;   57,349;  133,901; 2,23073
 215,05;   43,282;   41,406;  140,122; 1,90064
 215,65;   49,090;   58,803;  153,048;-10,30628
 216,25;   57,457;   55,649;  132,501; 2,35214
 216,85;   42,366;   29,911;  142,569;11,05570
 217,45;   54,104;   57,033;  133,359;-3,83765
 218,05;   66,236;   64,486;  160,906; 1,81498
 218,66;   32,158;   32,114;  123,343; 0,04892
 219,26;   38,372;   32,444;  110,553; 7,59026
 219,86;   39,076;   33,573;  147,938; 4,81150
 220,46;   64,629;   55,689;  156,280; 8,88695
 221,06;   65,291;   59,567;  179,691; 4,76490
 221,66;   55,115;   48,459;  173,070; 5,34093
 222,26;   34,869;   37,740;  169,554;-2,17797
