0133 ELITRO PARTE BRILLANTE
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   94,474;   63,873;  150,055;35,50784
 200,02;  107,504;   92,669;  145,732;27,95786
 200,62;   71,910;   67,563;   88,793;20,47696
 201,22;  105,243;   86,969;  138,011;35,80136
 201,82;   80,190;   66,174;  141,790;18,53542
 202,42;  116,458;  101,668;  154,973;27,74525
 203,03;   61,327;   60,168;   91,775; 3,66721
 203,63;   84,242;   69,967;  109,037;36,53673
 204,23;   82,135;   70,671;  129,903;19,35507
 204,83;   88,550;   74,567;  123,718;28,44848
 205,43;   78,774;   56,673;  123,555;33,04529
 206,03;   63,804;   50,167;   90,459;33,84486
 206,63;   65,965;   68,865;  100,007;-9,31253
 207,24;  101,060;   74,675;  162,566;30,01926
 207,84;   51,957;   39,967;   83,699;27,41821
 208,44;   68,743;   50,669;   95,011;40,75990
 209,04;   65,511;   47,365;   85,066;48,13048
 209,64;   92,797;   69,972;  127,998;39,33600
 210,24;   58,750;   45,367;   97,218;25,80996
 210,84;   69,289;   51,469;  101,970;35,28575
 211,44;   98,173;   86,470;  122,908;32,11956
 212,05;   70,311;   60,865;   99,266;24,59780
 212,65;   78,027;   66,368;  112,975;25,01557
 213,25;   96,258;   93,768;  142,073; 5,15354
 213,85;   93,695;   84,465;  114,904;30,32345
 214,45;   68,150;   53,367;  100,418;31,41848
 215,05;   39,989;   39,369;  100,070; 1,02081
 215,65;   73,435;   55,169;  105,630;36,19813
 216,25;   38,650;   40,267;   82,518;-3,82762
 216,85;   53,896;   34,069;   89,651;35,67243
 217,45;   67,627;   49,068;   97,375;38,41876
 218,05;   73,312;   58,270;  112,886;27,54116
 218,66;   30,050;   28,769;   75,692; 2,73103
 219,26;   39,742;   26,567;   79,337;24,96665
 219,86;   40,643;   36,771;   81,584; 8,64092
 220,46;   66,466;   54,270;  104,127;24,46183
 221,06;   68,735;   51,871;  115,903;26,33745
 221,66;   63,374;   43,471;  103,481;33,16537
 222,26;   60,897;   39,772;  102,398;33,73213
 222,86;   73,465;   67,268;  118,954;11,99034
