0133 parche negro elitro izq
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   66,325;   63,873;  150,055; 2,84504
 200,02;   96,018;   92,669;  145,732; 6,31213
 200,62;   60,507;   67,563;   88,793;-33,23839
 201,22;   93,363;   86,969;  138,011;12,52660
 201,82;   57,459;   66,174;  141,790;-11,52547
 202,42;   99,403;  101,668;  154,973;-4,24983
 203,03;   57,229;   60,168;   91,775;-9,29917
 203,63;   76,369;   69,967;  109,037;16,38511
 204,23;   77,086;   70,671;  129,903;10,83106
 204,83;   69,639;   74,567;  123,718;-10,02600
 205,43;   46,525;   56,673;  123,555;-15,17321
 206,03;   58,924;   50,167;   90,459;21,73471
 206,63;   85,886;   68,865;  100,007;54,65534
 207,24;   82,179;   74,675;  162,566; 8,53690
 207,84;   42,009;   39,967;   83,699; 4,67054
 208,44;   51,463;   50,669;   95,011; 1,79015
 209,04;   49,800;   47,365;   85,066; 6,46034
 209,64;   80,636;   69,972;  127,998;18,37681
 210,24;   42,339;   45,367;   97,218;-5,83958
 210,84;   48,478;   51,469;  101,970;-5,92354
 211,44;   82,337;   86,470;  122,908;-11,34060
 212,05;   61,900;   60,865;   99,266; 2,69689
 212,65;   72,129;   66,368;  112,975;12,36021
 213,25;   91,303;   93,768;  142,073;-5,10377
 213,85;   82,260;   84,465;  114,904;-7,24479
 214,45;   58,839;   53,367;  100,418;11,63009
 215,05;   43,178;   39,369;  100,070; 6,27430
 215,65;   53,893;   55,169;  105,630;-2,53004
 216,25;   42,539;   40,267;   82,518; 5,37760
 216,85;   33,648;   34,069;   89,651;-0,75744
 217,45;   51,229;   49,068;   97,375; 4,47297
 218,05;   58,582;   58,270;  112,886; 0,57126
 218,66;   24,633;   28,769;   75,692;-8,81399
 219,26;   30,269;   26,567;   79,337; 7,01471
 219,86;   31,457;   36,771;   81,584;-11,85833
 220,46;   70,067;   54,270;  104,127;31,68501
 221,06;   55,286;   51,871;  115,903; 5,33398
 221,66;   47,531;   43,471;  103,481; 6,76518
 222,26;   38,736;   39,772;  102,398;-1,65549
