0152 PRONOTO MOTOMOTO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   96,461;   63,873;  150,055;37,81313
 200,02;  115,078;   92,669;  145,732;42,23212
 200,62;   73,090;   67,563;   88,793;26,03589
 201,22;  112,709;   86,969;  138,011;50,43000
 201,82;  106,354;   66,174;  141,790;53,13601
 202,42;  119,535;  101,668;  154,973;33,51778
 203,03;   78,317;   60,168;   91,775;57,42013
 203,63;   92,842;   69,967;  109,037;58,54909
 204,23;  100,963;   70,671;  129,903;51,14197
 204,83;   93,755;   74,567;  123,718;39,03899
 205,43;   87,361;   56,673;  123,555;45,88400
 206,03;   69,211;   50,167;   90,459;47,26679
 206,63;   78,814;   68,865;  100,007;31,94731
 207,24;  102,502;   74,675;  162,566;31,66097
 207,84;   63,168;   39,967;   83,699;53,05251
 208,44;   65,109;   50,669;   95,011;32,56598
 209,04;   47,257;   47,365;   85,066;-0,28496
 209,64;  101,799;   69,972;  127,998;54,85025
 210,24;   70,355;   45,367;   97,218;48,19200
 210,84;   76,853;   51,469;  101,970;50,26390
 211,44;  108,527;   86,470;  122,908;60,53410
 212,05;   71,357;   60,865;   99,266;27,32329
 212,65;   87,717;   66,368;  112,975;45,80605
 213,25;  117,935;   93,768;  142,073;50,02958
 213,85;   96,532;   84,465;  114,904;39,64150
 214,45;   81,555;   53,367;  100,418;59,90949
 215,05;   64,053;   39,369;  100,070;40,66451
 215,65;   80,396;   55,169;  105,630;49,99418
 216,25;   78,555;   40,267;   82,518;90,62018
 216,85;   51,166;   34,069;   89,651;30,75947
 217,45;   71,017;   49,068;   97,375;45,43612
 218,05;   85,458;   58,270;  112,886;49,78000
 218,66;   49,722;   28,769;   75,692;44,65481
 219,26;   53,642;   26,567;   79,337;51,30780
 219,86;   54,576;   36,771;   81,584;39,73255
 220,46;   81,514;   54,270;  104,127;54,64538
 221,06;   81,263;   51,871;  115,903;45,90269
 221,66;   72,494;   43,471;  103,481;48,36329
 222,26;   64,099;   39,772;  102,398;38,84540
 222,86;   94,148;   67,268;  118,954;52,00578
