0016 elitro 
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  101,695;   63,873;  150,055;43,88616
 200,02;  123,766;   92,669;  145,732;58,60404
 200,62;   75,434;   67,563;   88,793;37,07431
 201,22;  109,524;   86,969;  138,011;44,19025
 201,82;  101,770;   66,174;  141,790;47,07468
 202,42;  111,980;  101,668;  154,973;19,34437
 203,03;   67,749;   60,168;   91,775;23,98584
 203,63;   83,604;   69,967;  109,037;34,90466
 204,23;  103,417;   70,671;  129,903;55,28368
 204,83;   89,832;   74,567;  123,718;31,05762
 205,43;   86,195;   56,673;  123,555;44,14037
 206,03;   66,946;   50,167;   90,459;41,64412
 206,63;   77,568;   68,865;  100,007;27,94600
 207,24;  112,959;   74,675;  162,566;43,55867
 207,84;   55,060;   39,967;   83,699;34,51250
 208,44;   73,324;   50,669;   95,011;51,09291
 209,04;   57,354;   47,365;   85,066;26,49496
 209,64;   99,878;   69,972;  127,998;51,53893
 210,24;   60,932;   45,367;   97,218;30,01898
 210,84;   67,710;   51,469;  101,970;32,16062
 211,44;   92,855;   86,470;  122,908;17,52403
 212,05;   67,254;   60,865;   99,266;16,63738
 212,65;   79,949;   66,368;  112,975;29,13978
 213,25;   92,780;   93,768;  142,073;-2,04670
 213,85;   90,198;   84,465;  114,904;18,83460
 214,45;   68,032;   53,367;  100,418;31,16860
 215,05;   52,010;   39,369;  100,070;20,82574
 215,65;   69,097;   55,169;  105,630;27,60076
 216,25;   64,932;   40,267;   82,518;58,37749
 216,85;   43,538;   34,069;   89,651;17,03673
 217,45;   70,249;   49,068;   97,375;43,84690
 218,05;   88,914;   58,270;  112,886;56,10675
 218,66;   49,052;   28,769;   75,692;43,22707
 219,26;   53,304;   26,567;   79,337;50,66754
 219,86;   54,944;   36,771;   81,584;40,55405
 220,46;   87,527;   54,270;  104,127;66,70565
 221,06;   75,717;   51,871;  115,903;37,24016
 221,66;   72,175;   43,471;  103,481;47,83141
 222,26;   55,778;   39,772;  102,398;25,55784
 222,86;   84,107;   67,268;  118,954;32,58040
