0017 elitro
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   96,184;   63,873;  150,055;37,49106
 200,02;  111,331;   92,669;  145,732;35,17038
 200,62;   65,515;   67,563;   88,793;-9,64633
 201,22;  104,230;   86,969;  138,011;33,81748
 201,82;   94,680;   66,174;  141,790;37,69767
 202,42;  111,465;  101,668;  154,973;18,37856
 203,03;   54,634;   60,168;   91,775;-17,50861
 203,63;   83,069;   69,967;  109,037;33,53352
 204,23;   93,024;   70,671;  129,903;37,73748
 204,83;   92,136;   74,567;  123,718;35,74540
 205,43;   90,584;   56,673;  123,555;50,70212
 206,03;   75,770;   50,167;   90,459;63,54432
 206,63;   72,610;   68,865;  100,007;12,02687
 207,24;  109,610;   74,675;  162,566;39,74743
 207,84;   69,604;   39,967;   83,699;67,76897
 208,44;   71,730;   50,669;   95,011;47,49713
 209,04;   50,076;   47,365;   85,066; 7,19212
 209,64;  102,586;   69,972;  127,998;56,20588
 210,24;   60,236;   45,367;   97,218;28,67687
 210,84;   62,996;   51,469;  101,970;22,82549
 211,44;   88,261;   86,470;  122,908; 4,91661
 212,05;   67,276;   60,865;   99,266;16,69605
 212,65;   74,134;   66,368;  112,975;16,66256
 213,25;  102,965;   93,768;  142,073;19,03881
 213,85;   85,641;   84,465;  114,904; 3,86340
 214,45;   80,036;   53,367;  100,418;56,68142
 215,05;   50,496;   39,369;  100,070;18,33100
 215,65;   69,162;   55,169;  105,630;27,73110
 216,25;   48,736;   40,267;   82,518;20,04512
 216,85;   49,964;   34,069;   89,651;28,59702
 217,45;   59,434;   49,068;   97,375;21,45838
 218,05;   82,360;   58,270;  112,886;44,10734
 218,66;   43,997;   28,769;   75,692;32,45487
 219,26;   34,069;   26,567;   79,337;14,21555
 219,86;   42,791;   36,771;   81,584;13,43447
 220,46;   77,894;   54,270;  104,127;47,38294
 221,06;   76,024;   51,871;  115,903;37,71968
 221,66;   73,522;   43,471;  103,481;50,07660
 222,26;   56,886;   39,772;  102,398;27,32712
 222,86;   82,132;   67,268;  118,954;28,75918
