0017 elitro
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   89,131;   63,873;  150,055;29,30767
 200,02;  109,697;   92,669;  145,732;32,09071
 200,62;   69,488;   67,563;   88,793; 9,06929
 201,22;   98,815;   86,969;  138,011;23,20807
 201,82;   96,384;   66,174;  141,790;39,95157
 202,42;  115,558;  101,668;  154,973;26,05681
 203,03;   68,862;   60,168;   91,775;27,50583
 203,63;   81,105;   69,967;  109,037;28,50649
 204,23;   81,503;   70,671;  129,903;18,28785
 204,83;   90,726;   74,567;  123,718;32,87663
 205,43;   78,631;   56,673;  123,555;32,83088
 206,03;   70,687;   50,167;   90,459;50,92880
 206,63;   62,259;   68,865;  100,007;-21,21049
 207,24;  115,398;   74,675;  162,566;46,33312
 207,84;   59,548;   39,967;   83,699;44,77463
 208,44;   69,015;   50,669;   95,011;41,37372
 209,04;   50,998;   47,365;   85,066; 9,63806
 209,64;   93,396;   69,972;  127,998;40,36714
 210,24;   63,026;   45,367;   97,218;34,05757
 210,84;   69,754;   51,469;  101,970;36,20697
 211,44;   95,511;   86,470;  122,908;24,81246
 212,05;   69,298;   60,865;   99,266;21,96187
 212,65;   77,962;   66,368;  112,975;24,87561
 213,25;  100,258;   93,768;  142,073;13,43439
 213,85;   88,755;   84,465;  114,904;14,09406
 214,45;   60,926;   53,367;  100,418;16,06605
 215,05;   41,854;   39,369;  100,070; 4,09362
 215,65;   58,593;   55,169;  105,630; 6,78545
 216,25;   61,826;   40,267;   82,518;51,02637
 216,85;   42,775;   34,069;   89,651;15,66447
 217,45;   78,462;   49,068;   97,375;60,84757
 218,05;   83,029;   58,270;  112,886;45,33169
 218,66;   45,936;   28,769;   75,692;36,58676
 219,26;   35,905;   26,567;   79,337;17,69469
 219,86;   52,725;   36,771;   81,584;35,60120
 220,46;   73,789;   54,270;  104,127;39,15080
 221,06;   75,703;   51,871;  115,903;37,21931
 221,66;   69,221;   43,471;  103,481;42,90875
 222,26;   58,896;   39,772;  102,398;30,53586
 222,86;   78,179;   67,268;  118,954;21,11071
