0036 ELITRO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  114,648;   63,873;  150,055;58,91566
 200,02;  114,275;   92,669;  145,732;40,71840
 200,62;   69,435;   67,563;   88,793; 8,81694
 201,22;  126,476;   86,969;  138,011;77,40104
 201,82;  111,749;   66,174;  141,790;60,27148
 202,42;  140,308;  101,668;  154,973;72,48947
 203,03;   75,074;   60,168;   91,775;47,16117
 203,63;   92,607;   69,967;  109,037;57,94629
 204,23;  110,678;   70,671;  129,903;67,54336
 204,83;   97,873;   74,567;  123,718;47,41729
 205,43;  107,448;   56,673;  123,555;75,91691
 206,03;   72,406;   50,167;   90,459;55,19595
 206,63;   75,237;   68,865;  100,007;20,46183
 207,24;  128,884;   74,675;  162,566;61,67708
 207,84;   61,339;   39,967;   83,699;48,87160
 208,44;   76,876;   50,669;   95,011;59,10190
 209,04;   64,704;   47,365;   85,066;45,99006
 209,64;  120,147;   69,972;  127,998;86,46933
 210,24;   76,673;   45,367;   97,218;60,37693
 210,84;   78,942;   51,469;  101,970;54,40179
 211,44;  111,510;   86,470;  122,908;68,71939
 212,05;   85,204;   60,865;   99,266;63,38018
 212,65;   95,074;   66,368;  112,975;61,59198
 213,25;  119,608;   93,768;  142,073;53,49418
 213,85;   99,371;   84,465;  114,904;48,96936
 214,45;   68,273;   53,367;  100,418;31,68076
 215,05;   71,842;   39,369;  100,070;53,49739
 215,65;   77,709;   55,169;  105,630;44,66902
 216,25;   63,973;   40,267;   82,518;56,10767
 216,85;   67,909;   34,069;   89,651;60,88280
 217,45;   79,674;   49,068;   97,375;63,35762
 218,05;   95,510;   58,270;  112,886;68,18520
 218,66;   55,342;   28,769;   75,692;56,63190
 219,26;   53,507;   26,567;   79,337;51,05101
 219,86;   69,145;   36,771;   81,584;72,24172
 220,46;   95,544;   54,270;  104,127;82,78389
 221,06;   90,378;   51,871;  115,903;60,13757
 221,66;   86,279;   43,471;  103,481;71,33369
 222,26;   73,147;   39,772;  102,398;53,29182
 222,86;  100,975;   67,268;  118,954;65,21469
