0064 ELITRO DORADO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  102,444;   63,873;  150,055;44,75512
 200,02;  109,489;   92,669;  145,732;31,69872
 200,62;   78,861;   67,563;   88,793;53,21791
 201,22;  103,420;   86,969;  138,011;32,23128
 201,82;   98,738;   66,174;  141,790;43,06426
 202,42;  123,179;  101,668;  154,973;40,35362
 203,03;   71,226;   60,168;   91,775;34,98755
 203,63;   88,185;   69,967;  109,037;46,62775
 204,23;   93,377;   70,671;  129,903;38,33383
 204,83;   96,564;   74,567;  123,718;44,75338
 205,43;   79,944;   56,673;  123,555;34,79384
 206,03;   64,653;   50,167;   90,459;35,95400
 206,63;   76,586;   68,865;  100,007;24,79504
 207,24;  109,221;   74,675;  162,566;39,30543
 207,84;   58,043;   39,967;   83,699;41,33362
 208,44;   66,820;   50,669;   95,011;36,42486
 209,04;   65,997;   47,365;   85,066;49,41979
 209,64;   96,281;   69,972;  127,998;45,34022
 210,24;   74,164;   45,367;   97,218;55,53742
 210,84;   65,031;   51,469;  101,970;26,85428
 211,44;  103,372;   86,470;  122,908;46,38754
 212,05;   69,997;   60,865;   99,266;23,78036
 212,65;   86,526;   66,368;  112,975;43,25205
 213,25;  115,479;   93,768;  142,073;44,94469
 213,85;  101,239;   84,465;  114,904;55,10446
 214,45;   75,264;   53,367;  100,418;46,53829
 215,05;   63,331;   39,369;  100,070;39,47494
 215,65;   76,041;   55,169;  105,630;41,36313
 216,25;   68,664;   40,267;   82,518;67,20948
 216,85;   59,910;   34,069;   89,651;46,49158
 217,45;   71,426;   49,068;   97,375;46,28413
 218,05;   83,604;   58,270;  112,886;46,38487
 218,66;   46,599;   28,769;   75,692;38,00014
 219,26;   47,585;   26,567;   79,337;39,82843
 219,86;   54,856;   36,771;   81,584;40,35700
 220,46;   79,693;   54,270;  104,127;50,99268
 221,06;   69,677;   51,871;  115,903;27,80781
 221,66;   69,008;   43,471;  103,481;42,55420
 222,26;   65,381;   39,772;  102,398;40,89211
 222,86;   85,658;   67,268;  118,954;35,57974
