0068 PRONOTO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  120,974;   63,873;  150,055;66,25655
 200,02;  115,356;   92,669;  145,732;42,75550
 200,62;   78,290;   67,563;   88,793;50,52907
 201,22;  111,319;   86,969;  138,011;47,70721
 201,82;  107,164;   66,174;  141,790;54,20798
 202,42;  127,135;  101,668;  154,973;47,77598
 203,03;   69,729;   60,168;   91,775;30,25141
 203,63;   86,245;   69,967;  109,037;41,66306
 204,23;  102,836;   70,671;  129,903;54,30391
 204,83;   95,603;   74,567;  123,718;42,79804
 205,43;   92,874;   56,673;  123,555;54,12693
 206,03;   69,282;   50,167;   90,459;47,44080
 206,63;   77,844;   68,865;  100,007;28,83249
 207,24;  125,133;   74,675;  162,566;57,40958
 207,84;   71,460;   39,967;   83,699;72,01460
 208,44;   76,819;   50,669;   95,011;58,97515
 209,04;   63,165;   47,365;   85,066;41,90825
 209,64;  117,147;   69,972;  127,998;81,30060
 210,24;   68,803;   45,367;   97,218;45,19810
 210,84;   94,741;   51,469;  101,970;85,68453
 211,44;   97,025;   86,470;  122,908;28,96790
 212,05;   84,465;   60,865;   99,266;61,45602
 212,65;   87,829;   66,368;  112,975;46,04780
 213,25;  117,935;   93,768;  142,073;50,03004
 213,85;   94,649;   84,465;  114,904;33,45704
 214,45;   77,603;   53,367;  100,418;51,50932
 215,05;   56,841;   39,369;  100,070;28,78292
 215,65;   61,362;   55,169;  105,630;12,27199
 216,25;   61,003;   40,267;   82,518;49,07730
 216,85;   57,698;   34,069;   89,651;42,51275
 217,45;   70,629;   49,068;   97,375;44,63432
 218,05;   92,488;   58,270;  112,886;62,65215
 218,66;   55,777;   28,769;   75,692;57,55946
 219,26;   49,945;   26,567;   79,337;44,30123
 219,86;   64,594;   36,771;   81,584;62,08724
 220,46;   84,967;   54,270;  104,127;61,57078
 221,06;   95,236;   51,871;  115,903;67,72441
 221,66;   82,800;   43,471;  103,481;65,53608
 222,26;   74,147;   39,772;  102,398;54,88991
 222,86;   88,193;   67,268;  118,954;40,48455
