0093 ELITRO 
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  116,867;   63,873;  150,055;61,49053
 200,02;  122,223;   92,669;  145,732;55,69611
 200,62;   81,320;   67,563;   88,793;64,80017
 201,22;  110,177;   86,969;  138,011;45,46837
 201,82;  108,128;   66,174;  141,790;55,48297
 202,42;  127,272;  101,668;  154,973;48,03219
 203,03;   78,115;   60,168;   91,775;56,78228
 203,63;   95,410;   69,967;  109,037;65,12108
 204,23;  106,346;   70,671;  129,903;60,22946
 204,83;   93,607;   74,567;  123,718;38,73853
 205,43;   94,367;   56,673;  123,555;56,35858
 206,03;   78,056;   50,167;   90,459;69,21819
 206,63;   87,136;   68,865;  100,007;58,66914
 207,24;  124,839;   74,675;  162,566;57,07447
 207,84;   65,605;   39,967;   83,699;58,62493
 208,44;   84,877;   50,669;   95,011;77,14603
 209,04;   64,087;   47,365;   85,066;44,35365
 209,64;  117,059;   69,972;  127,998;81,14814
 210,24;   79,707;   45,367;   97,218;66,22883
 210,84;   80,728;   51,469;  101,970;57,93739
 211,44;  119,533;   86,470;  122,908;90,73825
 212,05;   75,887;   60,865;   99,266;39,11826
 212,65;  100,715;   66,368;  112,975;73,69517
 213,25;  121,772;   93,768;  142,073;57,97257
 213,85;  109,992;   84,465;  114,904;83,86167
 214,45;   73,507;   53,367;  100,418;42,80540
 215,05;   67,128;   39,369;  100,070;45,73064
 215,65;   78,779;   55,169;  105,630;46,78942
 216,25;   58,407;   40,267;   82,518;42,93476
 216,85;   56,325;   34,069;   89,651;40,04269
 217,45;   76,215;   49,068;   97,375;56,19719
 218,05;   89,387;   58,270;  112,886;56,97369
 218,66;   58,574;   28,769;   75,692;63,52012
 219,26;   67,810;   26,567;   79,337;78,15579
 219,86;   62,843;   36,771;   81,584;58,18098
 220,46;   83,736;   54,270;  104,127;59,10063
 221,06;   87,946;   51,871;  115,903;56,33920
 221,66;   80,400;   43,471;  103,481;61,53732
 222,26;   70,359;   39,772;  102,398;48,84052
 222,86;   92,769;   67,268;  118,954;49,33855
