O107 ELITRO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   91,048;   63,873;  150,055;31,53242
 200,02;  103,332;   92,669;  145,732;20,09595
 200,62;   75,663;   67,563;   88,793;38,15231
 201,22;  114,184;   86,969;  138,011;53,31854
 201,82;   93,403;   66,174;  141,790;36,00860
 202,42;  121,182;  101,668;  154,973;36,60742
 203,03;   61,229;   60,168;   91,775; 3,35866
 203,63;   82,027;   69,967;  109,037;30,86826
 204,23;   83,541;   70,671;  129,903;21,72768
 204,83;   84,426;   74,567;  123,718;20,05959
 205,43;   86,148;   56,673;  123,555;44,07062
 206,03;   70,376;   50,167;   90,459;50,15700
 206,63;   70,868;   68,865;  100,007; 6,43426
 207,24;  102,506;   74,675;  162,566;31,66538
 207,84;   54,026;   39,967;   83,699;32,14737
 208,44;   75,384;   50,669;   95,011;55,73690
 209,04;   70,819;   47,365;   85,066;62,20996
 209,64;  101,345;   69,972;  127,998;54,06780
 210,24;   66,926;   45,367;   97,218;41,57960
 210,84;   74,534;   51,469;  101,970;45,67236
 211,44;   97,736;   86,470;  122,908;30,91884
 212,05;   77,819;   60,865;   99,266;44,14957
 212,65;   89,229;   66,368;  112,975;49,05140
 213,25;   93,982;   93,768;  142,073; 0,44153
 213,85;  100,521;   84,465;  114,904;52,74644
 214,45;   64,326;   53,367;  100,418;23,29278
 215,05;   59,734;   39,369;  100,070;33,54968
 215,65;   79,785;   55,169;  105,630;48,78153
 216,25;   49,326;   40,267;   82,518;21,44207
 216,85;   44,433;   34,069;   89,651;18,64678
 217,45;   65,729;   49,068;   97,375;34,49075
 218,05;   87,887;   58,270;  112,886;54,22788
 218,66;   45,183;   28,769;   75,692;34,98071
 219,26;   46,127;   26,567;   79,337;37,06696
 219,86;   51,140;   36,771;   81,584;32,06430
 220,46;   73,637;   54,270;  104,127;38,84504
 221,06;   73,241;   51,871;  115,903;33,37353
 221,66;   64,592;   43,471;  103,481;35,19537
 222,26;   63,545;   39,772;  102,398;37,96076
 222,86;   81,881;   67,268;  118,954;28,27217
