0118 PRONOTO MAX
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   98,655;   63,873;  150,055;40,35937
 200,02;  121,014;   92,669;  145,732;53,41752
 200,62;   76,611;   67,563;   88,793;42,61673
 201,22;  113,912;   86,969;  138,011;52,78562
 201,82;  101,449;   66,174;  141,790;46,64967
 202,42;  119,848;  101,668;  154,973;34,10507
 203,03;   75,518;   60,168;   91,775;48,56597
 203,63;   85,154;   69,967;  109,037;38,87191
 204,23;  100,301;   70,671;  129,903;50,02299
 204,83;   97,223;   74,567;  123,718;46,09373
 205,43;   98,855;   56,673;  123,555;63,07015
 206,03;   71,957;   50,167;   90,459;54,07998
 206,63;   91,002;   68,865;  100,007;71,08388
 207,24;  128,076;   74,675;  162,566;60,75833
 207,84;   72,491;   39,967;   83,699;74,37036
 208,44;   72,312;   50,669;   95,011;48,80884
 209,04;   65,868;   47,365;   85,066;49,07723
 209,64;  117,960;   69,972;  127,998;82,70082
 210,24;   73,423;   45,367;   97,218;54,10794
 210,84;   96,077;   51,469;  101,970;88,33184
 211,44;  115,341;   86,470;  122,908;79,23406
 212,05;   66,968;   60,865;   99,266;15,89226
 212,65;   95,218;   66,368;  112,975;61,90098
 213,25;  116,348;   93,768;  142,073;46,74427
 213,85;   93,831;   84,465;  114,904;30,76997
 214,45;   66,923;   53,367;  100,418;28,81038
 215,05;   64,077;   39,369;  100,070;40,70516
 215,65;   83,943;   55,169;  105,630;57,02346
 216,25;   73,423;   40,267;   82,518;78,47258
 216,85;   65,146;   34,069;   89,651;55,91143
 217,45;   73,818;   49,068;   97,375;51,23529
 218,05;   87,439;   58,270;  112,886;53,40699
 218,66;   51,280;   28,769;   75,692;47,97451
 219,26;   64,654;   26,567;   79,337;72,17598
 219,86;   67,769;   36,771;   81,584;69,17152
 220,46;   94,973;   54,270;  104,127;81,63975
 221,06;   89,201;   51,871;  115,903;58,29838
 221,66;   88,198;   43,471;  103,481;74,53253
 222,26;   78,060;   39,772;  102,398;61,13734
 222,86;   93,916;   67,268;  118,954;51,55769
