0118 PRONOTO MAX
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   95,733;   63,873;  150,055;36,96797
 200,02;  117,978;   92,669;  145,732;47,69672
 200,62;   71,942;   67,563;   88,793;20,62477
 201,22;  116,142;   86,969;  138,011;57,15496
 201,82;  107,324;   66,174;  141,790;54,41890
 202,42;  116,224;  101,668;  154,973;27,30583
 203,03;   75,251;   60,168;   91,775;47,72011
 203,63;   94,433;   69,967;  109,037;62,61952
 204,23;  101,960;   70,671;  129,903;52,82452
 204,83;  102,624;   74,567;  123,718;57,08217
 205,43;   90,733;   56,673;  123,555;50,92519
 206,03;   64,569;   50,167;   90,459;35,74463
 206,63;   71,296;   68,865;  100,007; 7,80797
 207,24;  111,960;   74,675;  162,566;42,42158
 207,84;   69,014;   39,967;   83,699;66,42143
 208,44;   72,442;   50,669;   95,011;49,10243
 209,04;   64,551;   47,365;   85,066;45,58432
 209,64;  111,405;   69,972;  127,998;71,40501
 210,24;   68,024;   45,367;   97,218;43,69539
 210,84;   79,696;   51,469;  101,970;55,89441
 211,44;   93,114;   86,470;  122,908;18,23588
 212,05;   82,151;   60,865;   99,266;55,43005
 212,65;   86,751;   66,368;  112,975;43,73358
 213,25;  117,824;   93,768;  142,073;49,79933
 213,85;   97,269;   84,465;  114,904;42,06332
 214,45;   72,524;   53,367;  100,418;40,71434
 215,05;   53,296;   39,369;  100,070;22,94398
 215,65;   67,251;   55,169;  105,630;23,94282
 216,25;   69,624;   40,267;   82,518;69,48103
 216,85;   59,187;   34,069;   89,651;45,19139
 217,45;   70,451;   49,068;   97,375;44,26462
 218,05;   86,978;   58,270;  112,886;52,56311
 218,66;   58,433;   28,769;   75,692;63,21857
 219,26;   49,433;   26,567;   79,337;43,33039
 219,86;   61,951;   36,771;   81,584;56,18913
 220,46;   85,324;   54,270;  104,127;62,28539
 221,06;   88,760;   51,871;  115,903;57,61029
 221,66;   80,224;   43,471;  103,481;61,24349
 222,26;   71,505;   39,772;  102,398;50,67124
 222,86;   95,814;   67,268;  118,954;55,23085
