0119 ELITRO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  101,440;   63,873;  150,055;43,59002
 200,02;  115,969;   92,669;  145,732;43,91005
 200,62;   76,354;   67,563;   88,793;41,40752
 201,22;  114,616;   86,969;  138,011;54,16613
 201,82;   92,982;   66,174;  141,790;35,45246
 202,42;  128,920;  101,668;  154,973;51,12397
 203,03;   70,074;   60,168;   91,775;31,34129
 203,63;   85,577;   69,967;  109,037;39,95426
 204,23;   95,653;   70,671;  129,903;42,17727
 204,83;   85,679;   74,567;  123,718;22,60794
 205,43;   81,740;   56,673;  123,555;37,47902
 206,03;   66,130;   50,167;   90,459;39,61861
 206,63;   82,144;   68,865;  100,007;42,63962
 207,24;  116,875;   74,675;  162,566;48,01391
 207,84;   60,381;   39,967;   83,699;46,67937
 208,44;   68,116;   50,669;   95,011;39,34739
 209,04;   58,093;   47,365;   85,066;28,45486
 209,64;  103,845;   69,972;  127,998;58,37523
 210,24;   59,779;   45,367;   97,218;27,79507
 210,84;   73,565;   51,469;  101,970;43,75416
 211,44;  103,362;   86,470;  122,908;46,35856
 212,05;   65,793;   60,865;   99,266;12,83261
 212,65;   89,374;   66,368;  112,975;49,36161
 213,25;  113,720;   93,768;  142,073;41,30330
 213,85;   92,989;   84,465;  114,904;28,00344
 214,45;   67,979;   53,367;  100,418;31,05570
 215,05;   62,165;   39,369;  100,070;37,55504
 215,65;   68,714;   55,169;  105,630;26,84342
 216,25;   52,979;   40,267;   82,518;30,08690
 216,85;   47,567;   34,069;   89,651;24,28518
 217,45;   61,174;   49,068;   97,375;25,06068
 218,05;   89,509;   58,270;  112,886;57,19767
 218,66;   42,518;   28,769;   75,692;29,30177
 219,26;   45,777;   26,567;   79,337;36,40351
 219,86;   50,555;   36,771;   81,584;30,75966
 220,46;   81,060;   54,270;  104,127;53,73425
 221,06;   72,653;   51,871;  115,903;32,45633
 221,66;   80,301;   43,471;  103,481;61,37217
 222,26;   72,945;   39,772;  102,398;52,96966
 222,86;   90,321;   67,268;  118,954;44,60285
