0121 ELITRO MAX
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  103,984;   63,873;  150,055;46,54198
 200,02;  119,450;   92,669;  145,732;50,47095
 200,62;   65,924;   67,563;   88,793;-7,71823
 201,22;  123,733;   86,969;  138,011;72,02682
 201,82;  107,331;   66,174;  141,790;54,42845
 202,42;  114,423;  101,668;  154,973;23,92748
 203,03;   67,485;   60,168;   91,775;23,15199
 203,63;   81,776;   69,967;  109,037;30,22384
 204,23;   96,644;   70,671;  129,903;43,85045
 204,83;   98,221;   74,567;  123,718;48,12450
 205,43;  102,684;   56,673;  123,555;68,79411
 206,03;   70,093;   50,167;   90,459;49,45529
 206,63;   70,854;   68,865;  100,007; 6,38781
 207,24;  131,751;   74,675;  162,566;64,93874
 207,84;   62,766;   39,967;   83,699;52,13315
 208,44;   67,633;   50,669;   95,011;38,25672
 209,04;   58,981;   47,365;   85,066;30,81208
 209,64;   91,819;   69,972;  127,998;37,65018
 210,24;   63,621;   45,367;   97,218;35,20416
 210,84;   79,560;   51,469;  101,970;55,62460
 211,44;  102,370;   86,470;  122,908;43,63598
 212,05;   78,381;   60,865;   99,266;45,61439
 212,65;   90,485;   66,368;  112,975;51,74659
 213,25;  115,723;   93,768;  142,073;45,45021
 213,85;   96,191;   84,465;  114,904;38,52272
 214,45;   72,621;   53,367;  100,418;40,92090
 215,05;   61,560;   39,369;  100,070;36,55785
 215,65;   65,687;   55,169;  105,630;20,84467
 216,25;   73,421;   40,267;   82,518;78,46821
 216,85;   62,705;   34,069;   89,651;51,52062
 217,45;   65,485;   49,068;   97,375;33,98598
 218,05;   88,752;   58,270;  112,886;55,81141
 218,66;   49,078;   28,769;   75,692;43,28163
 219,26;   42,976;   26,567;   79,337;31,09429
 219,86;   59,290;   36,771;   81,584;50,25041
 220,46;   85,225;   54,270;  104,127;62,08724
 221,06;   84,144;   51,871;  115,903;50,40215
 221,66;   70,827;   43,471;  103,481;45,58481
 222,26;   71,319;   39,772;  102,398;50,37357
 222,86;   93,968;   67,268;  118,954;51,65805
