0123 ELITRO GLORIA
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  121,526;   63,873;  150,055;66,89740
 200,02;  123,909;   92,669;  145,732;58,87369
 200,62;   85,047;   67,563;   88,793;82,35459
 201,22;  128,628;   86,969;  138,011;81,61819
 201,82;  123,084;   66,174;  141,790;75,26149
 202,42;  122,403;  101,668;  154,973;38,89788
 203,03;   87,671;   60,168;   91,775;87,01412
 203,63;   93,845;   69,967;  109,037;61,11563
 204,23;  101,524;   70,671;  129,903;52,08866
 204,83;  102,832;   74,567;  123,718;57,50685
 205,43;   97,626;   56,673;  123,555;61,23247
 206,03;   93,926;   50,167;   90,459;108,60517
 206,63;   90,424;   68,865;  100,007;69,22737
 207,24;  139,635;   74,675;  162,566;73,90963
 207,84;   75,919;   39,967;   83,699;82,21067
 208,44;   96,128;   50,669;   95,011;102,52052
 209,04;   72,030;   47,365;   85,066;65,42221
 209,64;  129,488;   69,972;  127,998;102,56820
 210,24;   84,432;   45,367;   97,218;75,34117
 210,84;   88,235;   51,469;  101,970;72,80158
 211,44;  119,060;   86,470;  122,908;89,44011
 212,05;   88,130;   60,865;   99,266;71,00022
 212,65;   95,271;   66,368;  112,975;62,01354
 213,25;  132,403;   93,768;  142,073;79,98109
 213,85;  106,256;   84,465;  114,904;71,58657
 214,45;   81,632;   53,367;  100,418;60,07352
 215,05;   66,535;   39,369;  100,070;44,75299
 215,65;   82,341;   55,169;  105,630;53,84776
 216,25;   70,232;   40,267;   82,518;70,92178
 216,85;   68,922;   34,069;   89,651;62,70524
 217,45;   79,371;   49,068;   97,375;62,72932
 218,05;   95,279;   58,270;  112,886;67,76221
 218,66;   61,115;   28,769;   75,692;68,93591
 219,26;   62,545;   26,567;   79,337;68,17866
 219,86;   64,411;   36,771;   81,584;61,67957
 220,46;   96,973;   54,270;  104,127;85,65090
 221,06;  101,524;   51,871;  115,903;77,54430
 221,66;   89,843;   43,471;  103,481;77,27362
 222,26;   91,288;   39,772;  102,398;82,25997
 222,86;   96,290;   67,268;  118,954;56,15056
