0123 ELITRO GLORIA
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   93,474;   63,873;  150,055;34,34736
 200,02;  105,400;   92,669;  145,732;23,99299
 200,62;   77,125;   67,563;   88,793;45,04169
 201,22;  105,986;   86,969;  138,011;37,25800
 201,82;   90,732;   66,174;  141,790;32,47702
 202,42;  115,271;  101,668;  154,973;25,51958
 203,03;   68,628;   60,168;   91,775;26,76723
 203,63;   86,514;   69,967;  109,037;42,35056
 204,23;   91,516;   70,671;  129,903;35,19188
 204,83;   86,356;   74,567;  123,718;23,98578
 205,43;   91,074;   56,673;  123,555;51,43581
 206,03;   78,828;   50,167;   90,459;71,13291
 206,63;   71,069;   68,865;  100,007; 7,07887
 207,24;  106,261;   74,675;  162,566;35,93772
 207,84;   63,399;   39,967;   83,699;53,58088
 208,44;   63,586;   50,669;   95,011;29,13084
 209,04;   58,798;   47,365;   85,066;30,32511
 209,64;  100,702;   69,972;  127,998;52,95949
 210,24;   74,956;   45,367;   97,218;57,06577
 210,84;   78,815;   51,469;  101,970;54,14867
 211,44;   94,729;   86,470;  122,908;22,66749
 212,05;   68,098;   60,865;   99,266;18,83528
 212,65;   78,628;   66,368;  112,975;26,30575
 213,25;  107,371;   93,768;  142,073;28,16116
 213,85;   96,812;   84,465;  114,904;40,56348
 214,45;   74,156;   53,367;  100,418;44,18441
 215,05;   52,115;   39,369;  100,070;20,99735
 215,65;   67,643;   55,169;  105,630;24,72063
 216,25;   62,056;   40,267;   82,518;51,57081
 216,85;   53,257;   34,069;   89,651;34,52283
 217,45;   65,028;   49,068;   97,375;33,03929
 218,05;   84,915;   58,270;  112,886;48,78606
 218,66;   42,429;   28,769;   75,692;29,11168
 219,26;   43,614;   26,567;   79,337;32,30313
 219,86;   48,358;   36,771;   81,584;25,85799
 220,46;   87,287;   54,270;  104,127;66,22267
 221,06;   75,616;   51,871;  115,903;37,08280
 221,66;   73,102;   43,471;  103,481;49,37574
 222,26;   57,502;   39,772;  102,398;28,31117
 222,86;   86,314;   67,268;  118,954;36,84977
