0131 ELITRO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  107,428;   63,873;  150,055;50,53857
 200,02;  115,946;   92,669;  145,732;43,86634
 200,62;   81,978;   67,563;   88,793;67,90139
 201,22;  102,068;   86,969;  138,011;29,58100
 201,82;   98,294;   66,174;  141,790;42,47750
 202,42;  124,405;  101,668;  154,973;42,65426
 203,03;   74,902;   60,168;   91,775;46,61526
 203,63;   92,739;   69,967;  109,037;58,28455
 204,23;  100,177;   70,671;  129,903;49,81522
 204,83;   93,858;   74,567;  123,718;39,24763
 205,43;   98,428;   56,673;  123,555;62,43113
 206,03;   75,317;   50,167;   90,459;62,41994
 206,63;   79,166;   68,865;  100,007;33,07963
 207,24;  117,519;   74,675;  162,566;48,74683
 207,84;   67,576;   39,967;   83,699;63,13295
 208,44;   61,768;   50,669;   95,011;25,02981
 209,04;   59,707;   47,365;   85,066;32,73674
 209,64;  107,084;   69,972;  127,998;63,95774
 210,24;   68,158;   45,367;   97,218;43,95400
 210,84;   70,908;   51,469;  101,970;38,49262
 211,44;  105,871;   86,470;  122,908;53,24400
 212,05;   77,707;   60,865;   99,266;43,85829
 212,65;   96,102;   66,368;  112,975;63,79646
 213,25;  114,705;   93,768;  142,073;43,34307
 213,85;   99,970;   84,465;  114,904;50,93590
 214,45;   80,858;   53,367;  100,418;58,42715
 215,05;   68,208;   39,369;  100,070;47,51020
 215,65;   76,849;   55,169;  105,630;42,96380
 216,25;   74,158;   40,267;   82,518;80,21230
 216,85;   60,927;   34,069;   89,651;48,32135
 217,45;   80,002;   49,068;   97,375;64,03547
 218,05;   88,293;   58,270;  112,886;54,97031
 218,66;   51,386;   28,769;   75,692;48,20155
 219,26;   43,039;   26,567;   79,337;31,21427
 219,86;   58,496;   36,771;   81,584;48,48004
 220,46;   76,452;   54,270;  104,127;44,49178
 221,06;   83,077;   51,871;  115,903;48,73587
 221,66;   80,799;   43,471;  103,481;62,20314
 222,26;   78,784;   39,772;  102,398;62,29379
 222,86;   82,524;   67,268;  118,954;29,51594
