0146 ELITRO MELMAN
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  109,335;   63,873;  150,055;52,75171
 200,02;  108,394;   92,669;  145,732;29,63423
 200,62;   66,440;   67,563;   88,793;-5,28968
 201,22;  102,941;   86,969;  138,011;31,29287
 201,82;  105,879;   66,174;  141,790;52,50820
 202,42;  123,778;  101,668;  154,973;41,47735
 203,03;   78,798;   60,168;   91,775;58,94237
 203,63;   89,434;   69,967;  109,037;49,82581
 204,23;  105,280;   70,671;  129,903;58,43034
 204,83;   90,602;   74,567;  123,718;32,62443
 205,43;   91,035;   56,673;  123,555;51,37775
 206,03;   69,886;   50,167;   90,459;48,94165
 206,63;   85,131;   68,865;  100,007;52,23351
 207,24;  127,306;   74,675;  162,566;59,88226
 207,84;   56,070;   39,967;   83,699;36,82318
 208,44;   77,241;   50,669;   95,011;59,92652
 209,04;   64,147;   47,365;   85,066;44,51399
 209,64;  112,240;   69,972;  127,998;72,84290
 210,24;   76,202;   45,367;   97,218;59,46882
 210,84;   76,257;   51,469;  101,970;49,08457
 211,44;  102,121;   86,470;  122,908;42,95303
 212,05;   66,447;   60,865;   99,266;14,53708
 212,65;   90,898;   66,368;  112,975;52,63145
 213,25;  108,478;   93,768;  142,073;30,45113
 213,85;  100,011;   84,465;  114,904;51,07162
 214,45;   73,502;   53,367;  100,418;42,79444
 215,05;   64,457;   39,369;  100,070;41,33079
 215,65;   69,973;   55,169;  105,630;29,33787
 216,25;   61,802;   40,267;   82,518;50,96966
 216,85;   63,825;   34,069;   89,651;53,53612
 217,45;   79,698;   49,068;   97,375;63,40675
 218,05;   88,069;   58,270;  112,886;54,56012
 218,66;   58,309;   28,769;   75,692;62,95600
 219,26;   46,934;   26,567;   79,337;38,59568
 219,86;   58,449;   36,771;   81,584;48,37370
 220,46;   90,553;   54,270;  104,127;72,77400
 221,06;   79,480;   51,871;  115,903;43,11821
 221,66;   80,928;   43,471;  103,481;62,41765
 222,26;   72,740;   39,772;  102,398;52,64223
 222,86;   93,846;   67,268;  118,954;51,42172
