0146 ELITRO MELMAN
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   99,209;   63,873;  150,055;41,00127
 200,02;  100,129;   92,669;  145,732;14,05879
 200,62;   85,367;   67,563;   88,793;83,86459
 201,22;  104,706;   86,969;  138,011;34,75076
 201,82;   96,642;   66,174;  141,790;40,29222
 202,42;  118,703;  101,668;  154,973;31,95686
 203,03;   58,073;   60,168;   91,775;-6,62630
 203,63;   91,570;   69,967;  109,037;55,29208
 204,23;   87,095;   70,671;  129,903;27,72756
 204,83;   96,318;   74,567;  123,718;44,25339
 205,43;   85,109;   56,673;  123,555;42,51624
 206,03;   68,992;   50,167;   90,459;46,72242
 206,63;   74,078;   68,865;  100,007;16,74050
 207,24;  116,549;   74,675;  162,566;47,64246
 207,84;   59,666;   39,967;   83,699;45,04563
 208,44;   63,606;   50,669;   95,011;29,17653
 209,04;   60,804;   47,365;   85,066;35,64604
 209,64;   90,953;   69,972;  127,998;36,15835
 210,24;   57,618;   45,367;   97,218;23,62739
 210,84;   75,932;   51,469;  101,970;48,44084
 211,44;  102,036;   86,470;  122,908;42,71890
 212,05;   64,304;   60,865;   99,266; 8,95565
 212,65;   77,973;   66,368;  112,975;24,90075
 213,25;  104,003;   93,768;  142,073;21,18729
 213,85;   92,807;   84,465;  114,904;27,40598
 214,45;   60,818;   53,367;  100,418;15,83613
 215,05;   50,732;   39,369;  100,070;18,71978
 215,65;   67,858;   55,169;  105,630;25,14616
 216,25;   59,318;   40,267;   82,518;45,09002
 216,85;   48,980;   34,069;   89,651;26,82797
 217,45;   59,973;   49,068;   97,375;22,57541
 218,05;   81,113;   58,270;  112,886;41,82500
 218,66;   49,255;   28,769;   75,692;43,65853
 219,26;   47,670;   26,567;   79,337;39,98978
 219,86;   47,443;   36,771;   81,584;23,81456
 220,46;   73,687;   54,270;  104,127;38,94647
 221,06;   70,195;   51,871;  115,903;28,61630
 221,66;   74,072;   43,471;  103,481;50,99286
 222,26;   63,653;   39,772;  102,398;38,13313
 222,86;   70,551;   67,268;  118,954; 6,35158
