0152 ELITRO MOTOMOTO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   93,711;   63,873;  150,055;34,62265
 200,02;  112,204;   92,669;  145,732;36,81540
 200,62;   69,598;   67,563;   88,793; 9,58595
 201,22;   97,161;   86,969;  138,011;19,96740
 201,82;   93,481;   66,174;  141,790;36,11248
 202,42;  114,519;  101,668;  154,973;24,10726
 203,03;   64,691;   60,168;   91,775;14,31087
 203,63;   90,349;   69,967;  109,037;52,16738
 204,23;   92,543;   70,671;  129,903;36,92658
 204,83;   92,178;   74,567;  123,718;35,83027
 205,43;   77,611;   56,673;  123,555;31,30660
 206,03;   56,492;   50,167;   90,459;15,69956
 206,63;   74,524;   68,865;  100,007;18,17347
 207,24;   97,965;   74,675;  162,566;26,49857
 207,84;   51,107;   39,967;   83,699;25,47365
 208,44;   56,361;   50,669;   95,011;12,83600
 209,04;   55,310;   47,365;   85,066;21,07339
 209,64;   96,198;   69,972;  127,998;45,19755
 210,24;   56,778;   45,367;   97,218;22,00724
 210,84;   67,646;   51,469;  101,970;32,03318
 211,44;   95,688;   86,470;  122,908;25,29905
 212,05;   72,310;   60,865;   99,266;29,80348
 212,65;   79,191;   66,368;  112,975;27,51342
 213,25;   98,119;   93,768;  142,073; 9,00579
 213,85;   95,952;   84,465;  114,904;37,73617
 214,45;   62,678;   53,367;  100,418;19,78912
 215,05;   45,546;   39,369;  100,070;10,17621
 215,65;   71,332;   55,169;  105,630;32,02999
 216,25;   59,678;   40,267;   82,518;45,94190
 216,85;   44,775;   34,069;   89,651;19,26210
 217,45;   70,891;   49,068;   97,375;45,17587
 218,05;   69,945;   58,270;  112,886;21,37579
 218,66;   40,590;   28,769;   75,692;25,19225
 219,26;   31,749;   26,567;   79,337; 9,81957
 219,86;   53,172;   36,771;   81,584;36,59987
 220,46;   61,559;   54,270;  104,127;14,62043
 221,06;   66,043;   51,871;  115,903;22,13323
 221,66;   63,700;   43,471;  103,481;33,70849
 222,26;   51,698;   39,772;  102,398;19,04353
 222,86;   77,248;   67,268;  118,954;19,30799
