TEMP00 ELITRO
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  113,524;   63,873;  150,055;57,61226
 200,02;   97,818;   92,669;  145,732; 9,70377
 200,62;   80,213;   67,563;   88,793;59,58412
 201,22;  117,474;   86,969;  138,011;59,76543
 201,82;  106,294;   66,174;  141,790;53,05683
 202,42;  123,432;  101,668;  154,973;40,82946
 203,03;   77,105;   60,168;   91,775;53,58571
 203,63;   86,863;   69,967;  109,037;43,24453
 204,23;  108,556;   70,671;  129,903;63,96131
 204,83;  110,492;   74,567;  123,718;73,09055
 205,43;   99,624;   56,673;  123,555;64,21970
 206,03;   69,306;   50,167;   90,459;47,50227
 206,63;   76,539;   68,865;  100,007;24,64149
 207,24;  117,378;   74,675;  162,566;48,58558
 207,84;   58,421;   39,967;   83,699;42,19789
 208,44;   74,074;   50,669;   95,011;52,78391
 209,04;   58,124;   47,365;   85,066;28,53797
 209,64;  103,511;   69,972;  127,998;57,80056
 210,24;   69,892;   45,367;   97,218;47,29860
 210,84;   81,860;   51,469;  101,970;60,17823
 211,44;  109,102;   86,470;  122,908;62,11032
 212,05;   80,024;   60,865;   99,266;49,89189
 212,65;   84,305;   66,368;  112,975;38,48540
 213,25;  117,232;   93,768;  142,073;48,57513
 213,85;   99,466;   84,465;  114,904;49,28114
 214,45;   81,792;   53,367;  100,418;60,41267
 215,05;   67,160;   39,369;  100,070;45,78278
 215,65;   75,045;   55,169;  105,630;39,38924
 216,25;   60,392;   40,267;   82,518;47,63153
 216,85;   49,689;   34,069;   89,651;28,10227
 217,45;   78,205;   49,068;   97,375;60,31591
 218,05;   88,258;   58,270;  112,886;54,90664
 218,66;   55,703;   28,769;   75,692;57,40167
 219,26;   52,163;   26,567;   79,337;48,50415
 219,86;   61,286;   36,771;   81,584;54,70444
 220,46;   91,773;   54,270;  104,127;75,22040
 221,06;   83,756;   51,871;  115,903;49,79628
 221,66;   81,613;   43,471;  103,481;63,55872
 222,26;   64,111;   39,772;  102,398;38,86447
 222,86;   88,461;   67,268;  118,954;41,00399
