TEMP00
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  101,220;   63,873;  150,055;43,33540
 200,02;  118,516;   92,669;  145,732;48,71099
 200,62;   72,732;   67,563;   88,793;24,34817
 201,22;  119,908;   86,969;  138,011;64,53343
 201,82;   91,995;   66,174;  141,790;34,14698
 202,42;  104,919;  101,668;  154,973; 6,09846
 203,03;   70,933;   60,168;   91,775;34,06017
 203,63;   89,145;   69,967;  109,037;49,08467
 204,23;   95,565;   70,671;  129,903;42,02885
 204,83;   91,750;   74,567;  123,718;34,96000
 205,43;   81,620;   56,673;  123,555;37,30045
 206,03;   72,653;   50,167;   90,459;55,80835
 206,63;   76,298;   68,865;  100,007;23,86981
 207,24;  113,072;   74,675;  162,566;43,68704
 207,84;   49,456;   39,967;   83,699;21,69826
 208,44;   68,108;   50,669;   95,011;39,32852
 209,04;   67,895;   47,365;   85,066;54,45567
 209,64;   94,037;   69,972;  127,998;41,47299
 210,24;   60,250;   45,367;   97,218;28,70380
 210,84;   77,605;   51,469;  101,970;51,75334
 211,44;  101,094;   86,470;  122,908;40,13378
 212,05;   75,995;   60,865;   99,266;39,40109
 212,65;   83,633;   66,368;  112,975;37,04461
 213,25;  118,919;   93,768;  142,073;52,06742
 213,85;   94,784;   84,465;  114,904;33,89993
 214,45;   61,550;   53,367;  100,418;17,39228
 215,05;   51,305;   39,369;  100,070;19,66351
 215,65;   66,202;   55,169;  105,630;21,86466
 216,25;   57,950;   40,267;   82,518;41,85268
 216,85;   45,911;   34,069;   89,651;21,30510
 217,45;   63,033;   49,068;   97,375;28,90971
 218,05;   76,285;   58,270;  112,886;32,98497
 218,66;   36,313;   28,769;   75,692;16,07918
 219,26;   48,145;   26,567;   79,337;40,88948
 219,86;   46,771;   36,771;   81,584;22,31579
 220,46;   74,388;   54,270;  104,127;40,35168
 221,06;   73,665;   51,871;  115,903;34,03692
 221,66;   70,557;   43,471;  103,481;45,13518
 222,26;   56,837;   39,772;  102,398;27,24914
 222,86;   80,025;   67,268;  118,954;24,68131
