CICIMAUCR0173, C.chrysargyrea_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   84,525;   72,222;  210,244; 8,91428
 200,02;  107,302;  102,008;  189,811; 6,02873
 200,62;   82,020;   74,992;  115,875;17,19058
 201,22;  102,098;   92,709;  193,470; 9,31755
 201,82;   83,914;   64,025;  211,220;13,51187
 202,42;  108,536;   95,408;  188,025;14,17491
 203,03;   59,609;   55,806;  149,594; 4,05528
 203,63;   77,847;   65,404;  161,149;12,99638
 204,23;   78,979;   81,415;  188,764;-2,26968
 204,83;   90,617;   76,103;  162,076;16,88126
 205,43;   65,825;   65,122;  182,444; 0,59976
 206,03;   67,251;   56,103;  131,590;14,76850
 206,63;   70,305;   81,096;  130,910;-21,66432
 207,24;   92,537;   77,929;  242,810; 8,86019
 207,84;   52,886;   57,902;  135,404;-6,47303
 208,44;   63,198;   59,009;  153,170; 4,44818
 209,04;   59,770;   53,697;  112,596;10,31114
 209,64;   95,033;   72,519;  200,426;17,60159
 210,24;   63,017;   50,503;  130,176;15,70586
 210,84;   70,863;   60,310;  167,756; 9,82204
 211,44;   80,225;   86,511;  189,701;-6,09221
 212,05;   77,370;   61,997;  128,496;23,11778
 212,65;   65,909;   75,406;  151,694;-12,44838
 213,25;   99,136;   96,208;  175,325; 3,70135
 213,85;   90,332;   84,098;  157,241; 8,52201
 214,45;   61,517;   59,703;  144,876; 2,12899
 215,05;   44,763;   46,810;  150,056;-1,98221
 215,65;   53,329;   64,010;  156,742;-11,51870
 216,25;   58,817;   47,903;  131,676;13,02726
 216,85;   45,032;   45,209;  131,084;-0,20562
 217,45;   62,709;   61,406;  140,794; 1,64177
 218,05;   65,221;   56,513;  170,560; 7,63586
 218,66;   33,867;   35,109;  126,597;-1,35708
 219,26;   43,747;   40,904;  108,649; 4,19714
 219,86;   35,148;   30,415;  147,291; 4,05002
 220,46;   62,956;   62,212;  165,774; 0,71791
 221,06;   70,379;   50,415;  173,264;16,25056
 221,66;   62,875;   49,317;  185,122; 9,98378
 222,26;   51,333;   47,619;  163,026; 3,21784
