CICIMAUCR0173_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  109,588;   72,222;  210,244;27,07278
 200,02;  121,141;  102,008;  189,811;21,79077
 200,62;   69,949;   74,992;  115,875;-12,33393
 201,22;  123,575;   92,709;  193,470;30,63232
 201,82;  111,989;   64,025;  211,220;32,58507
 202,42;  124,963;   95,408;  188,025;31,91146
 203,03;   73,574;   55,806;  149,594;18,94512
 203,63;   86,763;   65,404;  161,149;22,30772
 204,23;  101,442;   81,415;  188,764;18,65618
 204,83;  102,307;   76,103;  162,076;30,47881
 205,43;   93,388;   65,122;  182,444;24,09299
 206,03;   80,729;   56,103;  131,590;32,62290
 206,63;   74,983;   81,096;  130,910;-12,27199
 207,24;  121,012;   77,929;  242,810;26,12974
 207,84;   56,751;   57,902;  135,404;-1,48559
 208,44;   71,075;   59,009;  153,170;12,81356
 209,04;   55,861;   53,697;  112,596; 3,67461
 209,64;  116,621;   72,519;  200,426;34,47952
 210,24;   76,807;   50,503;  130,176;33,01438
 210,84;   84,752;   60,310;  167,756;22,74879
 211,44;  103,364;   86,511;  189,701;16,33162
 212,05;   71,261;   61,997;  128,496;13,93142
 212,65;  110,174;   75,406;  151,694;45,57497
 213,25;  114,963;   96,208;  175,325;23,70597
 213,85;  113,773;   84,098;  157,241;40,57009
 214,45;   79,107;   59,703;  144,876;22,78134
 215,05;   66,452;   46,810;  150,056;19,02513
 215,65;   76,530;   64,010;  156,742;13,50146
 216,25;   70,807;   47,903;  131,676;27,34001
 216,85;   56,697;   45,209;  131,084;13,37746
 217,45;   76,574;   61,406;  140,794;19,10647
 218,05;   89,897;   56,513;  170,560;29,27286
 218,66;   61,919;   35,109;  126,597;29,30454
 219,26;   60,163;   40,904;  108,649;28,42799
 219,86;   66,087;   30,415;  147,291;30,52125
 220,46;   82,720;   62,212;  165,774;19,80222
 221,06;   89,942;   50,415;  173,264;32,17554
 221,66;   83,476;   49,317;  185,122;25,15316
 222,26;   75,021;   47,619;  163,026;23,74352
 222,86;   88,208;   70,807;  163,753;18,72129
