CICIMAUCR0178_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   76,842;   69,124;  212,912; 5,36780
 200,02;   91,347;   97,516;  201,017;-5,96038
 200,62;   71,171;   69,328;  116,337; 3,92134
 201,22;   97,282;   89,808;  191,196; 7,37170
 201,82;   71,747;   78,699;  227,849;-4,66157
 202,42;  109,136;  107,919;  211,990; 1,16906
 203,03;   56,678;   49,933;  144,859; 7,10553
 203,63;   77,131;   68,244;  153,253;10,45488
 204,23;   79,256;   79,167;  197,491; 0,07518
 204,83;   72,908;   74,949;  153,601;-2,59498
 205,43;   54,842;   62,524;  192,612;-5,90501
 206,03;   63,696;   65,952;  137,574;-3,14891
 206,63;   78,011;   73,695;  129,953; 7,67073
 207,24;   91,539;   74,278;  246,960; 9,99633
 207,84;   48,885;   58,255;  132,648;-12,59475
 208,44;   50,982;   55,408;  142,596;-5,07644
 209,04;   58,322;   54,593;  111,779; 6,52197
 209,64;   77,272;   74,340;  200,454; 2,32510
 210,24;   52,708;   59,249;  129,701;-9,28439
 210,84;   58,194;   60,406;  155,122;-2,33506
 211,44;   81,940;   82,595;  190,227;-0,60795
 212,05;   68,922;   77,893;  120,879;-20,86769
 212,65;   77,678;   82,933;  164,459;-6,44581
 213,25;   92,936;   88,219;  192,990; 4,50186
 213,85;   83,969;   87,282;  147,585;-5,49391
 214,45;   62,908;   57,349;  133,901; 7,26178
 215,05;   40,594;   41,406;  140,122;-0,82224
 215,65;   58,405;   58,803;  153,048;-0,42162
 216,25;   50,008;   55,649;  132,501;-7,34012
 216,85;   45,071;   29,911;  142,569;13,45629
 217,45;   53,878;   57,033;  133,359;-4,13360
 218,05;   61,075;   64,486;  160,906;-3,53802
 218,66;   27,259;   32,114;  123,343;-5,32140
 219,26;   43,731;   32,444;  110,553;14,45104
 219,86;   35,133;   33,573;  147,938; 1,36431
 220,46;   55,263;   55,689;  156,280;-0,42320
 221,06;   56,656;   59,567;  179,691;-2,42338
 221,66;   51,091;   48,459;  173,070; 2,11214
 222,26;   34,472;   37,740;  169,554;-2,47904
