CICIMAUCR0180_B
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   80,419;   69,124;  212,912; 7,85542
 200,02;   92,922;   97,516;  201,017;-4,43919
 200,62;   73,140;   69,328;  116,337; 8,10892
 201,22;   95,901;   89,808;  191,196; 6,00939
 201,82;   76,256;   78,699;  227,849;-1,63783
 202,42;  105,395;  107,919;  211,990;-2,42496
 203,03;   59,764;   49,933;  144,859;10,35625
 203,63;   80,758;   68,244;  153,253;14,72106
 204,23;   81,697;   79,167;  197,491; 2,13771
 204,83;   89,705;   74,949;  153,601;18,76138
 205,43;   57,319;   62,524;  192,612;-4,00099
 206,03;   57,079;   65,952;  137,574;-12,38856
 206,63;   79,857;   73,695;  129,953;10,95184
 207,24;   77,868;   74,278;  246,960; 2,07899
 207,84;   53,552;   58,255;  132,648;-6,32061
 208,44;   53,901;   55,408;  142,596;-1,72873
 209,04;   61,883;   54,593;  111,779;12,74834
 209,64;   84,261;   74,340;  200,454; 7,86631
 210,24;   59,005;   59,249;  129,701;-0,34619
 210,84;   60,427;   60,406;  155,122; 0,02309
 211,44;   86,333;   82,595;  190,227; 3,47321
 212,05;   71,483;   77,893;  120,879;-14,91084
 212,65;   77,064;   82,933;  164,459;-7,19922
 213,25;   96,495;   88,219;  192,990; 7,89942
 213,85;   78,689;   87,282;  147,585;-14,25012
 214,45;   54,805;   57,349;  133,901;-3,32311
 215,05;   31,927;   41,406;  140,122;-9,60136
 215,65;   62,154;   58,803;  153,048; 3,55558
 216,25;   47,405;   55,649;  132,501;-10,72703
 216,85;   43,975;   29,911;  142,569;12,48344
 217,45;   63,664;   57,033;  133,359; 8,68744
 218,05;   70,612;   64,486;  160,906; 6,35308
 218,66;   29,848;   32,114;  123,343;-2,48326
 219,26;   38,158;   32,444;  110,553; 7,31577
 219,86;   28,444;   33,573;  147,938;-4,48458
 220,46;   64,986;   55,689;  156,280; 9,24192
 221,06;   58,797;   59,567;  179,691;-0,64150
 221,66;   48,376;   48,459;  173,070;-0,06681
 222,26;   44,861;   37,740;  169,554; 5,40194
