INBUCRO235_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   90,473;   72,222;  210,244;13,22320
 200,02;  113,673;  102,008;  189,811;13,28492
 200,62;   80,355;   74,992;  115,875;13,11878
 201,22;  106,137;   92,709;  193,470;13,32670
 201,82;   94,167;   64,025;  211,220;20,47727
 202,42;  110,784;   95,408;  188,025;16,60245
 203,03;   67,843;   55,806;  149,594;12,83487
 203,63;   75,690;   65,404;  161,149;10,74341
 204,23;   95,861;   81,415;  188,764;13,45672
 204,83;   99,114;   76,103;  162,076;26,76489
 205,43;   79,373;   65,122;  182,444;12,14684
 206,03;   62,326;   56,103;  131,590; 8,24345
 206,63;   78,114;   81,096;  130,910;-5,98748
 207,24;  100,473;   77,929;  242,810;13,67291
 207,84;   61,737;   57,902;  135,404; 4,94819
 208,44;   72,037;   59,009;  153,170;13,83600
 209,04;   62,002;   53,697;  112,596;14,10071
 209,64;   99,443;   72,519;  200,426;21,04963
 210,24;   58,314;   50,503;  130,176; 9,80329
 210,84;   59,426;   60,310;  167,756;-0,82283
 211,44;   93,879;   86,511;  189,701; 7,13949
 212,05;   72,802;   61,997;  128,496;16,24862
 212,65;   80,643;   75,406;  151,694; 6,86552
 213,25;  105,284;   96,208;  175,325;11,47251
 213,85;   94,555;   84,098;  157,241;14,29610
 214,45;   70,314;   59,703;  144,876;12,45768
 215,05;   56,826;   46,810;  150,056; 9,70096
 215,65;   66,514;   64,010;  156,742; 2,69995
 216,25;   55,614;   47,903;  131,676; 9,20413
 216,85;   47,749;   45,209;  131,084; 2,95807
 217,45;   52,443;   61,406;  140,794;-11,28938
 218,05;   73,143;   56,513;  170,560;14,58230
 218,66;   45,861;   35,109;  126,597;11,75268
 219,26;   38,890;   40,904;  108,649;-2,97257
 219,86;   38,284;   30,415;  147,291; 6,73351
 220,46;   76,055;   62,212;  165,774;13,36683
 221,06;   74,061;   50,415;  173,264;19,24778
 221,66;   65,126;   49,317;  185,122;11,64093
 222,26;   59,943;   47,619;  163,026;10,67866
 222,86;   75,308;   70,807;  163,753; 4,84269
