INBUCR0313_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   77,952;   69,124;  212,912; 6,13946
 200,02;  103,806;   97,516;  201,017; 6,07661
 200,62;   68,644;   69,328;  116,337;-1,45420
 201,22;   98,098;   89,808;  191,196; 8,17633
 201,82;   62,928;   78,699;  227,849;-10,57379
 202,42;   99,575;  107,919;  211,990;-8,01776
 203,03;   52,021;   49,933;  144,859; 2,20003
 203,63;   87,498;   68,244;  153,253;22,64972
 204,23;   82,259;   79,167;  197,491; 2,61322
 204,83;   74,737;   74,949;  153,601;-0,27020
 205,43;   71,452;   62,524;  192,612; 6,86289
 206,03;   62,706;   65,952;  137,574;-4,53210
 206,63;   67,514;   73,695;  129,953;-10,98834
 207,24;   93,775;   74,278;  246,960;11,29072
 207,84;   57,475;   58,255;  132,648;-1,04780
 208,44;   52,798;   55,408;  142,596;-2,99381
 209,04;   56,144;   54,593;  111,779; 2,71342
 209,64;   78,267;   74,340;  200,454; 3,11378
 210,24;   59,137;   59,249;  129,701;-0,15971
 210,84;   62,629;   60,406;  155,122; 2,34727
 211,44;   87,852;   82,595;  190,227; 4,88439
 212,05;   68,044;   77,893;  120,879;-22,91014
 212,65;   79,221;   82,933;  164,459;-4,55266
 213,25;  105,275;   88,219;  192,990;16,27911
 213,85;   89,667;   87,282;  147,585; 3,95612
 214,45;   59,137;   57,349;  133,901; 2,33501
 215,05;   37,129;   41,406;  140,122;-4,33235
 215,65;   62,860;   58,803;  153,048; 4,30443
 216,25;   45,437;   55,649;  132,501;-13,28863
 216,85;   44,267;   29,911;  142,569;12,74320
 217,45;   55,521;   57,033;  133,359;-1,98045
 218,05;   66,044;   64,486;  160,906; 1,61549
 218,66;   35,436;   32,114;  123,343; 3,64225
 219,26;   29,498;   32,444;  110,553;-3,77104
 219,86;   25,998;   33,573;  147,938;-6,62344
 220,46;   64,313;   55,689;  156,280; 8,57351
 221,06;   65,559;   59,567;  179,691; 4,98825
 221,66;   58,952;   48,459;  173,070; 8,42024
 222,26;   40,867;   37,740;  169,554; 2,37222
