INBUCR0314_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   80,860;   69,124;  212,912; 8,16231
 200,02;  108,376;   97,516;  201,017;10,49198
 200,62;   76,285;   69,328;  116,337;14,79998
 201,22;   85,607;   89,808;  191,196;-4,14409
 201,82;   75,453;   78,699;  227,849;-2,17636
 202,42;  107,732;  107,919;  211,990;-0,17984
 203,03;   42,714;   49,933;  144,859;-7,60498
 203,63;   78,839;   68,244;  153,253;12,46369
 204,23;   77,262;   79,167;  197,491;-1,61064
 204,83;   74,352;   74,949;  153,601;-0,75960
 205,43;   64,860;   62,524;  192,612; 1,79605
 206,03;   62,708;   65,952;  137,574;-4,52905
 206,63;   69,509;   73,695;  129,953;-7,44086
 207,24;   84,203;   74,278;  246,960; 5,74759
 207,84;   56,264;   58,255;  132,648;-2,67525
 208,44;   51,107;   55,408;  142,596;-4,93373
 209,04;   52,653;   54,593;  111,779;-3,39180
 209,64;   80,498;   74,340;  200,454; 4,88298
 210,24;   60,952;   59,249;  129,701; 2,41665
 210,84;   58,150;   60,406;  155,122;-2,38101
 211,44;   83,125;   82,595;  190,227; 0,49274
 212,05;   62,653;   77,893;  120,879;-35,45212
 212,65;   76,614;   82,933;  164,459;-7,75103
 213,25;   99,232;   88,219;  192,990;10,51133
 213,85;   86,428;   87,282;  147,585;-1,41636
 214,45;   58,952;   57,349;  133,901; 2,09345
 215,05;   40,550;   41,406;  140,122;-0,86633
 215,65;   59,894;   58,803;  153,048; 1,15780
 216,25;   44,952;   55,649;  132,501;-13,91961
 216,85;   39,563;   29,911;  142,569; 8,56750
 217,45;   53,214;   57,033;  133,359;-5,00367
 218,05;   59,556;   64,486;  160,906;-5,11356
 218,66;   33,719;   32,114;  123,343; 1,75998
 219,26;   33,939;   32,444;  110,553; 1,91441
 219,86;   40,574;   33,573;  147,938; 6,12201
 220,46;   61,612;   55,689;  156,280; 5,88833
 221,06;   56,562;   59,567;  179,691;-2,50223
 221,66;   60,693;   48,459;  173,070; 9,81730
 222,26;   51,698;   37,740;  169,554;10,58926
