INBUCR0322_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   66,258;   72,222;  210,244;-4,32056
 200,02;   99,128;  102,008;  189,811;-3,27964
 200,62;   67,969;   74,992;  115,875;-17,17765
 201,22;   96,184;   92,709;  193,470; 3,44852
 201,82;   81,025;   64,025;  211,220;11,54924
 202,42;  103,410;   95,408;  188,025; 8,64013
 203,03;   54,417;   55,806;  149,594;-1,48035
 203,63;   74,343;   65,404;  161,149; 9,33640
 204,23;   78,962;   81,415;  188,764;-2,28540
 204,83;   79,806;   76,103;  162,076; 4,30699
 205,43;   78,658;   65,122;  182,444;11,53809
 206,03;   62,888;   56,103;  131,590; 8,98792
 206,63;   81,791;   81,096;  130,910; 1,39459
 207,24;   88,673;   77,929;  242,810; 6,51673
 207,84;   54,469;   57,902;  135,404;-4,43012
 208,44;   59,984;   59,009;  153,170; 1,03521
 209,04;   61,110;   53,697;  112,596;12,58553
 209,64;   83,747;   72,519;  200,426; 8,77822
 210,24;   60,406;   50,503;  130,176;12,42937
 210,84;   61,903;   60,310;  167,756; 1,48249
 211,44;   90,077;   86,511;  189,701; 3,45517
 212,05;   70,210;   61,997;  128,496;12,35019
 212,65;   80,817;   75,406;  151,694; 7,09366
 213,25;   99,910;   96,208;  175,325; 4,67944
 213,85;   94,184;   84,098;  157,241;13,78853
 214,45;   60,806;   59,703;  144,876; 1,29484
 215,05;   41,303;   46,810;  150,056;-5,33395
 215,65;   57,121;   64,010;  156,742;-7,42890
 216,25;   57,506;   47,903;  131,676;11,46294
 216,85;   35,666;   45,209;  131,084;-11,11312
 217,45;   53,617;   61,406;  140,794;-9,81053
 218,05;   74,832;   56,513;  170,560;16,06330
 218,66;   29,847;   35,109;  126,597;-5,75097
 219,26;   29,643;   40,904;  108,649;-16,62255
 219,86;   43,525;   30,415;  147,291;11,21731
 220,46;   70,414;   62,212;  165,774; 7,91958
 221,06;   61,262;   50,415;  173,264; 8,82931
 221,66;   52,318;   49,317;  185,122; 2,20980
 222,26;   39,947;   47,619;  163,026;-6,64785
