C AURIGANS DESCABEZADO_B
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   94,736;   72,222;  210,244;16,31183
 200,02;  123,688;  102,008;  189,811;24,69197
 200,62;   82,229;   74,992;  115,875;17,70126
 201,22;  119,037;   92,709;  193,470;26,12864
 201,82;   85,881;   64,025;  211,220;14,84779
 202,42;  123,772;   95,408;  188,025;30,62563
 203,03;   76,092;   55,806;  149,594;21,62978
 203,63;   90,227;   65,404;  161,149;25,92664
 204,23;   93,778;   81,415;  188,764;11,51653
 204,83;   92,795;   76,103;  162,076;19,41540
 205,43;   93,736;   65,122;  182,444;24,38923
 206,03;   75,779;   56,103;  131,590;26,06577
 206,63;   83,522;   81,096;  130,910; 4,86859
 207,24;  119,609;   77,929;  242,810;25,27922
 207,84;   64,763;   57,902;  135,404; 8,85226
 208,44;   75,737;   59,009;  153,170;17,76475
 209,04;   78,738;   53,697;  112,596;42,51462
 209,64;  100,539;   72,519;  200,426;21,90638
 210,24;   66,195;   50,503;  130,176;19,69551
 210,84;   77,453;   60,310;  167,756;15,95500
 211,44;   97,517;   86,511;  189,701;10,66564
 212,05;   78,638;   61,997;  128,496;25,02411
 212,65;   87,192;   75,406;  151,694;15,44955
 213,25;  114,872;   96,208;  175,325;23,59109
 213,85;  103,102;   84,098;  157,241;25,98159
 214,45;   60,895;   59,703;  144,876; 1,39951
 215,05;   55,653;   46,810;  150,056; 8,56503
 215,65;   73,269;   64,010;  156,742; 9,98442
 216,25;   55,695;   47,903;  131,676; 9,30133
 216,85;   65,321;   45,209;  131,084;23,41980
 217,45;   73,092;   61,406;  140,794;14,72029
 218,05;   76,465;   56,513;  170,560;17,49531
 218,66;   50,905;   35,109;  126,597;17,26548
 219,26;   43,827;   40,904;  108,649; 4,31530
 219,86;   49,346;   30,415;  147,291;16,19777
 220,46;   76,449;   62,212;  165,774;13,74762
 221,06;   85,178;   50,415;  173,264;28,29733
 221,66;   70,926;   49,317;  185,122;15,91233
 222,26;   63,139;   47,619;  163,026;13,44785
 222,86;   81,140;   70,807;  163,753;11,11751
