C AURIGANS DESCABEZADO_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   96,531;   72,222;  210,244;17,61255
 200,02;  113,797;  102,008;  189,811;13,42604
 200,62;   82,470;   74,992;  115,875;18,29165
 201,22;  104,479;   92,709;  193,470;11,68086
 201,82;   90,378;   64,025;  211,220;17,90343
 202,42;  125,769;   95,408;  188,025;32,78158
 203,03;   73,232;   55,806;  149,594;18,58021
 203,63;   84,922;   65,404;  161,149;20,38516
 204,23;   91,191;   81,415;  188,764; 9,10670
 204,83;   81,567;   76,103;  162,076; 6,35496
 205,43;   89,231;   65,122;  182,444;20,54959
 206,03;   72,239;   56,103;  131,590;21,37644
 206,63;   82,300;   81,096;  130,910; 2,41543
 207,24;  116,098;   77,929;  242,810;23,14969
 207,84;   65,912;   57,902;  135,404;10,33452
 208,44;   68,679;   59,009;  153,170;10,26939
 209,04;   58,927;   53,697;  112,596; 8,88003
 209,64;   97,966;   72,519;  200,426;19,89471
 210,24;   66,267;   50,503;  130,176;19,78530
 210,84;   80,507;   60,310;  167,756;18,79708
 211,44;  104,416;   86,511;  189,701;17,35162
 212,05;   79,327;   61,997;  128,496;26,06078
 212,65;   87,732;   75,406;  151,694;16,15720
 213,25;  110,469;   96,208;  175,325;18,02565
 213,85;   96,737;   84,098;  157,241;17,27934
 214,45;   69,067;   59,703;  144,876;10,99356
 215,05;   58,507;   46,810;  150,056;11,32900
 215,65;   79,934;   64,010;  156,742;17,17186
 216,25;   59,267;   47,903;  131,676;13,56469
 216,85;   50,652;   45,209;  131,084; 6,33788
 217,45;   64,932;   61,406;  140,794; 4,44149
 218,05;   79,199;   56,513;  170,560;19,89204
 218,66;   53,724;   35,109;  126,597;20,34733
 219,26;   52,622;   40,904;  108,649;17,29686
 219,86;   57,036;   30,415;  147,291;22,77764
 220,46;   80,671;   62,212;  165,774;17,82444
 221,06;   78,591;   50,415;  173,264;22,93552
 221,66;   72,874;   49,317;  185,122;17,34618
 222,26;   60,166;   47,619;  163,026;10,87170
 222,86;   85,814;   70,807;  163,753;16,14627
