C.AURIGANS SIN MEDIO_B
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  108,583;   72,222;  210,244;26,34460
 200,02;  115,272;  102,008;  189,811;15,10649
 200,62;   67,541;   74,992;  115,875;-18,22354
 201,22;   98,338;   92,709;  193,470; 5,58594
 201,82;   92,180;   64,025;  211,220;19,12756
 202,42;  112,084;   95,408;  188,025;18,00508
 203,03;   73,741;   55,806;  149,594;19,12294
 203,63;   85,687;   65,404;  161,149;21,18385
 204,23;   95,566;   81,415;  188,764;13,18212
 204,83;   92,509;   76,103;  162,076;19,08285
 205,43;   92,483;   65,122;  182,444;23,32157
 206,03;   76,021;   56,103;  131,590;26,38586
 206,63;   66,804;   81,096;  130,910;-28,69203
 207,24;  113,089;   77,929;  242,810;21,32442
 207,84;   55,232;   57,902;  135,404;-3,44538
 208,44;   70,138;   59,009;  153,170;11,81857
 209,04;   61,292;   53,697;  112,596;12,89585
 209,64;  107,352;   72,519;  200,426;27,23261
 210,24;   73,109;   50,503;  130,176;28,37360
 210,84;   77,626;   60,310;  167,756;16,11648
 211,44;  109,581;   86,511;  189,701;22,35609
 212,05;   70,792;   61,997;  128,496;13,22655
 212,65;   86,741;   75,406;  151,694;14,85820
 213,25;  105,284;   96,208;  175,325;11,47134
 213,85;   94,347;   84,098;  157,241;14,01124
 214,45;   67,709;   59,703;  144,876; 9,39980
 215,05;   59,726;   46,810;  150,056;12,51044
 215,65;   76,315;   64,010;  156,742;13,26910
 216,25;   58,809;   47,903;  131,676;13,01863
 216,85;   52,049;   45,209;  131,084; 7,96541
 217,45;   64,541;   61,406;  140,794; 3,94900
 218,05;   82,146;   56,513;  170,560;22,47635
 218,66;   53,261;   35,109;  126,597;19,84078
 219,26;   38,787;   40,904;  108,649;-3,12584
 219,86;   45,889;   30,415;  147,291;13,24000
 220,46;   71,458;   62,212;  165,774; 8,92757
 221,06;   78,766;   50,415;  173,264;23,07788
 221,66;   81,632;   49,317;  185,122;23,79519
 222,26;   67,952;   47,619;  163,026;17,61799
 222,86;   84,606;   70,807;  163,753;14,84686
