C.AURIGANS SIN MEDIO_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   92,598;   72,222;  210,244;14,76329
 200,02;  104,789;  102,008;  189,811; 3,16768
 200,62;   77,982;   74,992;  115,875; 7,31348
 201,22;  104,346;   92,709;  193,470;11,54894
 201,82;   93,868;   64,025;  211,220;20,27452
 202,42;  106,904;   95,408;  188,025;12,41256
 203,03;   62,276;   55,806;  149,594; 6,89896
 203,63;   89,534;   65,404;  161,149;25,20222
 204,23;   83,829;   81,415;  188,764; 2,24884
 204,83;   92,763;   76,103;  162,076;19,37757
 205,43;   65,298;   65,122;  182,444; 0,15049
 206,03;   69,077;   56,103;  131,590;17,18745
 206,63;   78,608;   81,096;  130,910;-4,99489
 207,24;  101,153;   77,929;  242,810;14,08541
 207,84;   54,592;   57,902;  135,404;-4,27197
 208,44;   58,846;   59,009;  153,170;-0,17333
 209,04;   55,494;   53,697;  112,596; 3,05099
 209,64;   96,485;   72,519;  200,426;18,73681
 210,24;   65,763;   50,503;  130,176;19,15263
 210,84;   70,032;   60,310;  167,756; 9,04817
 211,44;   86,374;   86,511;  189,701;-0,13320
 212,05;   72,394;   61,997;  128,496;15,63472
 212,65;   69,076;   75,406;  151,694;-8,29697
 213,25;  104,804;   96,208;  175,325;10,86510
 213,85;   96,736;   84,098;  157,241;17,27801
 214,45;   75,963;   59,703;  144,876;19,08994
 215,05;   38,332;   46,810;  150,056;-8,21148
 215,65;   66,317;   64,010;  156,742; 2,48790
 216,25;   50,663;   47,903;  131,676; 3,29399
 216,85;   45,961;   45,209;  131,084; 0,87527
 217,45;   64,176;   61,406;  140,794; 3,48969
 218,05;   70,731;   56,513;  170,560;12,46676
 218,66;   44,675;   35,109;  126,597;10,45643
 219,26;   41,034;   40,904;  108,649; 0,19158
 219,86;   57,658;   30,415;  147,291;23,30988
 220,46;   76,645;   62,212;  165,774;13,93651
 221,06;   70,329;   50,415;  173,264;16,21031
 221,66;   70,486;   49,317;  185,122;15,58811
 222,26;   60,685;   47,619;  163,026;11,32138
