C.AURIGANS SIN MEDIO_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  102,970;   72,222;  210,244;22,27778
 200,02;  120,771;  102,008;  189,811;21,36878
 200,62;   76,357;   74,992;  115,875; 3,33861
 201,22;  119,191;   92,709;  193,470;26,28187
 201,82;  102,032;   64,025;  211,220;25,82041
 202,42;  125,897;   95,408;  188,025;32,91971
 203,03;   72,329;   55,806;  149,594;17,61823
 203,63;   91,835;   65,404;  161,149;27,60608
 204,23;  110,894;   81,415;  188,764;27,46055
 204,83;   94,688;   76,103;  162,076;21,61740
 205,43;   92,570;   65,122;  182,444;23,39565
 206,03;   88,015;   56,103;  131,590;42,27477
 206,63;   86,439;   81,096;  130,910;10,72449
 207,24;  118,020;   77,929;  242,810;24,31513
 207,84;   69,441;   57,902;  135,404;14,88867
 208,44;   65,191;   59,009;  153,170; 6,56515
 209,04;   54,912;   53,697;  112,596; 2,06348
 209,64;  106,529;   72,519;  200,426;26,58933
 210,24;   75,788;   50,503;  130,176;31,73614
 210,84;   79,265;   60,310;  167,756;17,64124
 211,44;   99,659;   86,511;  189,701;12,74091
 212,05;   87,112;   61,997;  128,496;37,76774
 212,65;   94,629;   75,406;  151,694;25,19895
 213,25;  112,097;   96,208;  175,325;20,08328
 213,85;  111,406;   84,098;  157,241;37,33489
 214,45;   77,288;   59,703;  144,876;20,64637
 215,05;   58,465;   46,810;  150,056;11,28841
 215,65;   74,238;   64,010;  156,742;11,02959
 216,25;   65,588;   47,903;  131,676;21,11077
 216,85;   55,318;   45,209;  131,084;11,77140
 217,45;   70,429;   61,406;  140,794;11,36669
 218,05;   96,479;   56,513;  170,560;35,04391
 218,66;   54,644;   35,109;  126,597;21,35292
 219,26;   52,735;   40,904;  108,649;17,46462
 219,86;   61,047;   30,415;  147,291;26,20902
 220,46;   99,006;   62,212;  165,774;35,52820
 221,06;   77,694;   50,415;  173,264;22,20497
 221,66;   80,414;   49,317;  185,122;22,89869
 222,26;   70,029;   47,619;  163,026;19,41788
 222,86;   87,650;   70,807;  163,753;18,12149
