INBUCR0112_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   75,600;   69,124;  212,912; 4,50375
 200,02;   98,720;   97,516;  201,017; 1,16250
 200,62;   69,935;   69,328;  116,337; 1,29070
 201,22;   90,350;   89,808;  191,196; 0,53455
 201,82;   71,391;   78,699;  227,849;-4,89966
 202,42;  105,976;  107,919;  211,990;-1,86705
 203,03;   54,058;   49,933;  144,859; 4,34620
 203,63;   78,384;   68,244;  153,253;11,92881
 204,23;   79,203;   79,167;  197,491; 0,03024
 204,83;   83,697;   74,949;  153,601;11,12265
 205,43;   65,400;   62,524;  192,612; 2,21070
 206,03;   59,454;   65,952;  137,574;-9,07273
 206,63;   78,957;   73,695;  129,953; 9,35307
 207,24;   89,840;   74,278;  246,960; 9,01204
 207,84;   55,110;   58,255;  132,648;-4,22668
 208,44;   57,250;   55,408;  142,596; 2,11265
 209,04;   48,501;   54,593;  111,779;-10,65275
 209,64;   84,038;   74,340;  200,454; 7,69014
 210,24;   54,297;   59,249;  129,701;-7,02875
 210,84;   57,194;   60,406;  155,122;-3,39094
 211,44;   82,668;   82,595;  190,227; 0,06804
 212,05;   66,101;   77,893;  120,879;-27,43169
 212,65;   76,758;   82,933;  164,459;-7,57346
 213,25;   99,176;   88,219;  192,990;10,45797
 213,85;   98,475;   87,282;  147,585;18,56145
 214,45;   62,997;   57,349;  133,901; 7,37821
 215,05;   41,394;   41,406;  140,122;-0,01194
 215,65;   57,937;   58,803;  153,048;-0,91838
 216,25;   40,797;   55,649;  132,501;-19,32539
 216,85;   40,407;   29,911;  142,569; 9,31640
 217,45;   58,758;   57,033;  133,359; 2,26092
 218,05;   63,798;   64,486;  160,906;-0,71354
 218,66;   39,163;   32,114;  123,343; 7,72717
 219,26;   34,184;   32,444;  110,553; 2,22846
 219,86;   33,516;   33,573;  147,938;-0,04960
 220,46;   63,955;   55,689;  156,280; 8,21719
 221,06;   64,903;   59,567;  179,691; 4,44192
 221,66;   56,234;   48,459;  173,070; 6,23908
 222,26;   43,338;   37,740;  169,554; 4,24715
