INBUCR0216, C. chrysargyrea, top
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  116,385;   72,222;  210,244;31,99738
 200,02;  124,883;  102,008;  189,811;26,05279
 200,62;   82,775;   74,992;  115,875;19,03827
 201,22;  117,772;   92,709;  193,470;24,87315
 201,82;  115,950;   64,025;  211,220;35,27644
 202,42;  131,354;   95,408;  188,025;38,81144
 203,03;   78,806;   55,806;  149,594;24,52420
 203,63;   90,389;   65,404;  161,149;26,09494
 204,23;  112,814;   81,415;  188,764;29,24901
 204,83;  110,830;   76,103;  162,076;40,39220
 205,43;   99,385;   65,122;  182,444;29,20459
 206,03;   91,300;   56,103;  131,590;46,62689
 206,63;   87,629;   81,096;  130,910;13,11344
 207,24;  127,186;   77,929;  242,810;29,87452
 207,84;   76,671;   57,902;  135,404;24,21669
 208,44;   84,472;   59,009;  153,170;27,04139
 209,04;   70,258;   53,697;  112,596;28,11797
 209,64;  115,608;   72,519;  200,426;33,68780
 210,24;   78,730;   50,503;  130,176;35,42779
 210,84;   82,901;   60,310;  167,756;21,02573
 211,44;  116,219;   86,511;  189,701;28,78933
 212,05;   80,458;   61,997;  128,496;27,76164
 212,65;   93,506;   75,406;  151,694;23,72687
 213,25;  117,154;   96,208;  175,325;26,47474
 213,85;  106,876;   84,098;  157,241;31,14125
 214,45;   93,230;   59,703;  144,876;39,36269
 215,05;   63,401;   46,810;  150,056;16,06971
 215,65;   78,031;   64,010;  156,742;15,11929
 216,25;   71,430;   47,903;  131,676;28,08348
 216,85;   63,542;   45,209;  131,084;21,34885
 217,45;   76,406;   61,406;  140,794;18,89550
 218,05;  102,007;   56,513;  170,560;39,89120
 218,66;   64,213;   35,109;  126,597;31,81173
 219,26;   58,789;   40,904;  108,649;26,39988
 219,86;   70,255;   30,415;  147,291;34,08739
 220,46;   96,678;   62,212;  165,774;33,28050
 221,06;   92,814;   50,415;  173,264;34,51274
 221,66;   92,402;   49,317;  185,122;31,72582
 222,26;   67,108;   47,619;  163,026;16,88719
 222,86;  100,495;   70,807;  163,753;31,94123
