INBUCRO235_T
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   83,889;   72,222;  210,244; 8,45292
 200,02;  107,231;  102,008;  189,811; 5,94880
 200,62;   72,845;   74,992;  115,875;-5,25158
 201,22;   98,201;   92,709;  193,470; 5,45033
 201,82;   84,798;   64,025;  211,220;14,11232
 202,42;  112,741;   95,408;  188,025;18,71542
 203,03;   67,992;   55,806;  149,594;12,99325
 203,63;   83,632;   65,404;  161,149;19,03817
 204,23;   93,450;   81,415;  188,764;11,21076
 204,83;   86,252;   76,103;  162,076;11,80488
 205,43;   61,689;   65,122;  182,444;-2,92626
 206,03;   75,562;   56,103;  131,590;25,77854
 206,63;   76,824;   81,096;  130,910;-8,57759
 207,24;   83,617;   77,929;  242,810; 3,45017
 207,84;   56,772;   57,902;  135,404;-1,45808
 208,44;   58,101;   59,009;  153,170;-0,96454
 209,04;   67,114;   53,697;  112,596;22,77897
 209,64;   86,049;   72,519;  200,426;10,57783
 210,24;   65,652;   50,503;  130,176;19,01397
 210,84;   61,391;   60,310;  167,756; 1,00636
 211,44;   87,851;   86,511;  189,701; 1,29797
 212,05;   66,614;   61,997;  128,496; 6,94247
 212,65;   82,392;   75,406;  151,694; 9,15755
 213,25;  106,441;   96,208;  175,325;12,93486
 213,85;   89,673;   84,098;  157,241; 7,62177
 214,45;   64,252;   59,703;  144,876; 5,34090
 215,05;   49,691;   46,810;  150,056; 2,79070
 215,65;   59,781;   64,010;  156,742;-4,56064
 216,25;   60,952;   47,903;  131,676;15,57662
 216,85;   49,211;   45,209;  131,084; 4,66058
 217,45;   55,892;   61,406;  140,794;-6,94548
 218,05;   70,020;   56,513;  170,560;11,84414
 218,66;   30,821;   35,109;  126,597;-4,68609
 219,26;   38,632;   40,904;  108,649;-3,35371
 219,86;   44,170;   30,415;  147,291;11,76928
 220,46;   67,531;   62,212;  165,774; 5,13551
 221,06;   65,750;   50,415;  173,264;12,48252
 221,66;   61,720;   49,317;  185,122; 9,13298
 222,26;   45,149;   47,619;  163,026;-2,14047
