INBUCR0112_B
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   79,095;   69,124;  212,912; 6,93438
 200,02;  101,732;   97,516;  201,017; 4,07305
 200,62;   78,851;   69,328;  116,337;20,25700
 201,22;   94,426;   89,808;  191,196; 4,55436
 201,82;   66,676;   78,699;  227,849;-8,06127
 202,42;  112,201;  107,919;  211,990; 4,11414
 203,03;   57,845;   49,933;  144,859; 8,33466
 203,63;   78,719;   68,244;  153,253;12,32312
 204,23;   77,595;   79,167;  197,491;-1,32924
 204,83;   79,657;   74,949;  153,601; 5,98576
 205,43;   61,095;   62,524;  192,612;-1,09862
 206,03;   64,226;   65,952;  137,574;-2,40997
 206,63;   71,226;   73,695;  129,953;-4,39001
 207,24;   85,626;   74,278;  246,960; 6,57185
 207,84;   55,694;   58,255;  132,648;-3,44125
 208,44;   60,926;   55,408;  142,596; 6,32837
 209,04;   50,157;   54,593;  111,779;-7,75660
 209,64;   77,307;   74,340;  200,454; 2,35261
 210,24;   68,657;   59,249;  129,701;13,35370
 210,84;   56,957;   60,406;  155,122;-3,64084
 211,44;   85,582;   82,595;  190,227; 2,77558
 212,05;   67,957;   77,893;  120,879;-23,11358
 212,65;   63,945;   82,933;  164,459;-23,29104
 213,25;   89,501;   88,219;  192,990; 1,22327
 213,85;   84,782;   87,282;  147,585;-4,14546
 214,45;   55,757;   57,349;  133,901;-2,07978
 215,05;   46,757;   41,406;  140,122; 5,42110
 215,65;   53,488;   58,803;  153,048;-5,63899
 216,25;   47,357;   55,649;  132,501;-10,78977
 216,85;   45,795;   29,911;  142,569;14,09888
 217,45;   67,845;   57,033;  133,359;14,16524
 218,05;   61,576;   64,486;  160,906;-3,01871
 218,66;   30,863;   32,114;  123,343;-1,37062
 219,26;   39,719;   32,444;  110,553; 9,31491
 219,86;   31,432;   33,573;  147,938;-1,87186
 220,46;   65,945;   55,689;  156,280;10,19514
 221,06;   58,895;   59,567;  179,691;-0,56009
 221,66;   55,588;   48,459;  173,070; 5,72112
 222,26;   40,307;   37,740;  169,554; 1,94742
