INBUCR0314_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;   67,174;   69,124;  212,912;-1,35625
 200,02;   91,758;   97,516;  201,017;-5,56410
 200,62;   71,235;   69,328;  116,337; 4,05689
 201,22;   97,603;   89,808;  191,196; 7,68819
 201,82;   63,410;   78,699;  227,849;-10,25075
 202,42;   98,342;  107,919;  211,990;-9,20212
 203,03;   49,266;   49,933;  144,859;-0,70189
 203,63;   76,206;   68,244;  153,253; 9,36611
 204,23;   84,231;   79,167;  197,491; 4,27930
 204,83;   85,775;   74,949;  153,601;13,76489
 205,43;   67,574;   62,524;  192,612; 3,88188
 206,03;   62,660;   65,952;  137,574;-4,59576
 206,63;   75,917;   73,695;  129,953; 3,94959
 207,24;   80,132;   74,278;  246,960; 3,39017
 207,84;   52,045;   58,255;  132,648;-8,34685
 208,44;   53,503;   55,408;  142,596;-2,18511
 209,04;   58,733;   54,593;  111,779; 7,23918
 209,64;   77,383;   74,340;  200,454; 2,41246
 210,24;   47,275;   59,249;  129,701;-16,99565
 210,84;   54,918;   60,406;  155,122;-5,79333
 211,44;   84,879;   82,595;  190,227; 2,12238
 212,05;   72,133;   77,893;  120,879;-13,39991
 212,65;   75,666;   82,933;  164,459;-8,91284
 213,25;   93,542;   88,219;  192,990; 5,08082
 213,85;   85,493;   87,282;  147,585;-2,96594
 214,45;   61,475;   57,349;  133,901; 5,39023
 215,05;   32,218;   41,406;  140,122;-9,30669
 215,65;   52,333;   58,803;  153,048;-6,86434
 216,25;   50,775;   55,649;  132,501;-6,34171
 216,85;   43,588;   29,911;  142,569;12,14019
 217,45;   55,066;   57,033;  133,359;-2,57615
 218,05;   64,125;   64,486;  160,906;-0,37535
 218,66;   34,673;   32,114;  123,343; 2,80507
 219,26;   28,906;   32,444;  110,553;-4,52939
 219,86;   29,800;   33,573;  147,938;-3,29855
 220,46;   56,009;   55,689;  156,280; 0,31830
 221,06;   59,431;   59,567;  179,691;-0,11371
 221,66;   59,576;   48,459;  173,070; 8,92149
 222,26;   38,383;   37,740;  169,554; 0,48739
