A2
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  113,568;   69,124;  212,912;30,90947
 200,02;  124,461;   97,516;  201,017;26,03322
 200,62;   76,229;   69,328;  116,337;14,67946
 201,22;  112,714;   89,808;  191,196;22,59274
 201,82;  116,629;   78,699;  227,849;25,43042
 202,42;  131,143;  107,919;  211,990;22,31537
 203,03;   81,154;   49,933;  144,859;32,88982
 203,63;   93,382;   68,244;  153,253;29,57152
 204,23;  107,182;   79,167;  197,491;23,67657
 204,83;  100,147;   74,949;  153,601;32,03686
 205,43;  102,268;   62,524;  192,612;30,55171
 206,03;   77,329;   65,952;  137,574;15,88454
 206,63;   79,543;   73,695;  129,953;10,39436
 207,24;  125,772;   74,278;  246,960;29,82011
 207,84;   69,911;   58,255;  132,648;15,66849
 208,44;   68,714;   55,408;  142,596;15,26160
 209,04;   55,461;   54,593;  111,779; 1,51818
 209,64;  107,161;   74,340;  200,454;26,02465
 210,24;   71,047;   59,249;  129,701;16,74553
 210,84;   81,932;   60,406;  155,122;22,72759
 211,44;  107,104;   82,595;  190,227;22,77105
 212,05;   84,961;   77,893;  120,879;16,44278
 212,65;   95,054;   82,933;  164,459;14,86763
 213,25;  113,643;   88,219;  192,990;24,26609
 213,85;  104,832;   87,282;  147,585;29,10396
 214,45;   82,947;   57,349;  133,901;33,43823
 215,05;   59,532;   41,406;  140,122;18,36246
 215,65;   83,550;   58,803;  153,048;26,25838
 216,25;   70,847;   55,649;  132,501;19,77512
 216,85;   54,797;   29,911;  142,569;22,08945
 217,45;   71,454;   57,033;  133,359;18,89394
 218,05;   90,357;   64,486;  160,906;26,83142
 218,66;   52,979;   32,114;  123,343;22,87097
 219,26;   50,582;   32,444;  110,553;23,22203
 219,86;   75,447;   33,573;  147,938;36,61405
 220,46;   83,839;   55,689;  156,280;27,98490
 221,06;   95,182;   59,567;  179,691;29,64861
 221,66;   88,036;   48,459;  173,070;31,76027
 222,26;   78,261;   37,740;  169,554;30,74084
 222,86;   89,507;   70,125;  156,338;22,48233
 223,46;   66,847;   49,349;  140,501;19,19603
