C AURIGANS DESCABEZADO_M
Integration time [ms]:   8,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7314920SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199,42;  115,088;   72,222;  210,244;31,05737
 200,02;  124,798;  102,008;  189,811;25,95568
 200,62;   76,305;   74,992;  115,875; 3,21131
 201,22;  115,785;   92,709;  193,470;22,90181
 201,82;  120,750;   64,025;  211,220;38,53701
 202,42;  134,269;   95,408;  188,025;41,95889
 203,03;   80,823;   55,806;  149,594;26,67466
 203,63;  100,807;   65,404;  161,149;36,97628
 204,23;  104,222;   81,415;  188,764;21,24544
 204,83;  104,149;   76,103;  162,076;32,62118
 205,43;  102,888;   65,122;  182,444;32,19004
 206,03;   79,720;   56,103;  131,590;31,28572
 206,63;   93,454;   81,096;  130,910;24,80721
 207,24;  126,383;   77,929;  242,810;29,38721
 207,84;   68,090;   57,902;  135,404;13,14557
 208,44;   83,985;   59,009;  153,170;26,52489
 209,04;   78,683;   53,697;  112,596;42,42154
 209,64;  121,413;   72,519;  200,426;38,22606
 210,24;   79,949;   50,503;  130,176;36,95782
 210,84;   97,014;   60,310;  167,756;34,16093
 211,44;  116,031;   86,511;  189,701;28,60702
 212,05;   72,783;   61,997;  128,496;16,21981
 212,65;  104,623;   75,406;  151,694;38,29911
 213,25;  121,569;   96,208;  175,325;32,05518
 213,85;  109,199;   84,098;  157,241;34,31765
 214,45;   73,349;   59,703;  144,876;16,02080
 215,05;   72,114;   46,810;  150,056;24,50904
 215,65;   78,044;   64,010;  156,742;15,13325
 216,25;   67,049;   47,903;  131,676;22,85391
 216,85;   59,156;   45,209;  131,084;16,24144
 217,45;   81,523;   61,406;  140,794;25,34090
 218,05;   88,518;   56,513;  170,560;28,06348
 218,66;   62,327;   35,109;  126,597;29,75069
 219,26;   53,407;   40,904;  108,649;18,45579
 219,86;   71,764;   30,415;  147,291;35,37851
 220,46;   92,989;   62,212;  165,774;29,71852
 221,06;   97,022;   50,415;  173,264;37,93835
 221,66;   92,109;   49,317;  185,122;31,51024
 222,26;   82,113;   47,619;  163,026;29,88880
 222,86;   95,311;   70,807;  163,753;26,36356
