code,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,D1,D2,D3,D4,E1,E2,F1,F2,F3,F4,F5,W2,W3,W4,W5,W6,W7,W9,W10,W13,A1÷A3,A4÷A3,A5÷A3,B4÷B1,B4÷B2,B4÷B3,D3÷D1,D4÷D2,E1÷E2
CICIMAUCR0001,4120.58,3511.41,4674.61,1430.02,1958.09,5525.11,7967.86,8652.41,5101.49,155.26,159.01,1126.18,734.86,2132.02,680.01,579.64,713.8,1385.64,1399.18,1475.44,1857.42,1662.46,0.8814810219462159,0.3059121509601871,0.4188777245588402,0.9233282233294904,0.6402584884774581,0.589603359064122,0.652524463229679,0.3446778172812638,0.8120481927710844,0.8814810219462159,0.3059121509601871,0.4188777245588402,0.9233282233294903,0.6402584884774581,0.589603359064122,1.8931431920296933,0.9253599325041504,0.8120481927710844
CICIMAUCR0002,4117.2,3529.93,4475.22,1462.5,1922.14,5352.33,8099.2,8615.37,5225.63,148.98,154.42,1139.25,624.41,2278.68,650.62,507.14,848.75,1307.66,1265.19,1341.08,1776.71,943.28,0.9199994637135156,0.3267995763336774,0.4295073761736853,0.9763280664682484,0.6452032299486369,0.6065473682499997,0.5480886548167654,0.2740226797970755,0.5975139911634757,0.9199994637135157,0.32679957633367746,0.42950737617368534,0.9763280664682484,0.6452032299486369,0.6065473682499997,2.000157998683344,1.0419756249899905,0.5975139911634757
CICIMAUCR0003,3971.18,3584.0,4563.49,1402.85,1924.31,5360.7,8185.66,8495.9,5436.72,149.16,156.42,1140.48,712.7,2275.5,828.78,420.73,860.66,1424.02,1374.55,1375.56,1891.07,1692.07,0.870206793484811,0.3074072694363305,0.4216750776269916,1.014180983826739,0.6641761324071609,0.6399227862851493,0.624912317620651,0.3132058888156449,0.4888457695257128,0.870206793484811,0.3074072694363305,0.42167507762699163,1.014180983826739,0.6641761324071609,0.6399227862851493,1.995212542087542,1.1628735793461484,0.48884576952571285
CICIMAUCR0004,3627.85,3538.61,4585.22,1475.45,2028.42,5328.44,8139.54,8178.22,5299.74,148.93,153.47,1315.09,656.52,2159.79,628.63,476.1,824.69,1367.7,1427.33,1515.73,2031.99,1639.23,0.7912052202511547,0.321783905679553,0.4423822630102808,0.9946138081689953,0.651110505016254,0.6480309896285499,0.4992205856633386,0.3039739974719764,0.5773078368841625,0.7912052202511547,0.321783905679553,0.44238226301028083,0.9946138081689951,0.651110505016254,0.6480309896285499,1.6423134538320572,0.9575184305123987,0.5773078368841625
CICIMAUCR0006,,,,,,5326.82,7841.55,8184.22,5172.77,150.12,154.02,1053.53,604.95,2186.98,586.34,444.66,640.77,1391.86,1327.51,1315.48,1693.02,1496.06,,,,0.9710803068247098,0.6596616740312822,0.6320419050318784,0.574212409708314,0.2766143266056388,0.6939463458027062,,,,0.9710803068247098,0.6596616740312822,0.6320419050318784,2.075859254126603,0.9692371270352922,0.6939463458027062
CICIMAUCR0008,,,,,,5471.34,8279.86,8642.64,5445.43,149.76,159.14,1059.02,696.11,2163.88,701.49,570.47,844.6,1425.64,1404.68,1523.77,1931.74,1703.91,,,,,0.6576717480730351,0.6300655818129647,0.6573152537251421,0.3216952880936096,0.6754321572341937,,,,0.9952644142020054,0.6576717480730351,0.6300655818129647,2.0432853015051653,1.0077286635732858,0.6754321572341937
CICIMAUCR0009,,,,,,5989.42,8721.56,9409.23,5938.63,158.79,155.13,1404.66,795.06,2514.31,1019.5,496.13,875.71,1419.97,1438.48,1467.96,1854.47,1261.79,,,,0.9915200470162386,0.6809137356161055,0.6311494139265381,0.5660159753961812,0.3162139911148585,0.5665460026721174,,,,0.9915200470162386,0.6809137356161055,0.6311494139265381,1.7899776458360028,1.2822931602646341,0.5665460026721174
CICIMAUCR0097,4006.44,3685.78,4546.28,2076.73,1707.97,5380.23,8422.95,8922.97,5502.1,149.16,149.13,1222.29,648.82,2384.42,703.02,525.04,916.28,1412.53,1553.82,1594.47,2283.17,1428.48,0.8812567637716991,0.4567976455475686,0.3756851755721161,1.0226514479864246,0.6532271947476834,0.6166220440055274,0.5308232907084244,0.2721081017605958,0.5730126162308464,0.8812567637716991,0.4567976455475686,0.3756851755721161,1.0226514479864246,0.6532271947476834,0.6166220440055274,1.950780911240377,1.0835362658364414,0.5730126162308464
CICIMAUCR0105,4172.69,3806.58,4804.8,2101.69,1587.15,5606.02,8648.11,9122.3,5654.68,148.85,148.77,1403.18,726.33,2368.23,785.83,576.48,892.04,1428.37,1383.55,1461.69,2162.26,1872.85,0.8684419746919746,0.4374146686646686,0.3303259240759241,1.0086799547629155,0.6538630984110979,0.6198743737873125,0.5176313801508003,0.3066974069241586,0.6462490471279315,0.8684419746919746,0.43741466866466866,0.3303259240759241,1.0086799547629155,0.6538630984110979,0.6198743737873125,1.6877592326002366,1.081918687098151,0.6462490471279315
CICIMAUCR0113,,,,,,5623.08,8291.05,9072.48,5807.61,156.2,147.92,1363.83,665.33,2443.24,701.43,529.2,879.83,,,,,,,,,1.0328165347105145,0.7004673714427003,0.6401347812285064,0.4878393934727936,0.2723146313911037,0.6014798313310527,,,,1.0328165347105145,0.7004673714427003,0.6401347812285064,1.7914549467308976,1.0542587888716877,0.6014798313310527
