A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	D1	D2	D3	D4	E1	E2	F1	F2	F3	F4	F5	code
4120,5800	3511,4100	4674,6100	1430,0200	1958,0900	5525,1100	7967,8600	8652,4100	5101,4900	155,2600	159,0100	1126,1800	734,8600	2132,0200	680,0100	579,6400	713,8000	1385,6400	1399,1800	1475,4400	1857,4200	1662,4600	CICIMAUCR0001
4117,2000	3529,9300	4475,2200	1462,5000	1922,1400	5352,3300	8099,2000	8615,3700	5225,6300	148,9800	154,4200	1139,2500	624,4100	2278,6800	650,6200	507,1400	848,7500		1265,1900	1341,0800	1776,7100	943,2800	CICIMAUCR0002
3971,1800	3584,0000	4563,4900	1402,8500	1924,3100	5360,7000	8185,6600	8495,9000	5436,7200	149,1600	156,4200	1140,4800	712,7000	2275,5000	828,7800	420,7300	860,6600	1424,0200	1374,5500	1375,5600	1891,0700	1692,0700	CICIMAUCR0003
3627,8500	3538,6100	4585,2200	1475,4500	2028,4200	5328,4400	8139,5400	8178,2200	5299,7400	148,9300	153,4700	1315,0900	656,5200	2159,7900	628,6300	476,1000	824,6900	1367,7000	1427,3300	1515,7300	2031,9900	1639,2300	CICIMAUCR0004
					5326,8200	7841,5500	8184,2200	5172,7700	150,1200	154,0200	1053,5300	604,9500	2186,9800	586,3400	444,6600	640,7700	1391,8600	1327,5100	1315,4800	1693,0200	1496,0600	CICIMAUCR0006
						8279,8600	8642,6400	5445,4300	149,7600	159,1400	1059,0200	696,1100	2163,8800	701,4900	570,4700	844,6000	1425,6400	1404,6800	1523,7700	1931,7400	1703,9100	CICIMAUCR0008
					5989,4200	8721,5600	9409,2300	5938,6300	158,7900	155,1300	1404,6600	795,0600	2514,3100	1019,5000	496,1300	875,7100	1419,9700	1438,4800	1467,9600	1854,4700	1261,7900	CICIMAUCR0009
4006,4400	3685,7800	4546,2800	2076,7300	1707,9700	5380,2300	8422,9500	8922,9700	5502,1000	149,1600	149,1300	1222,2900	648,8200	2384,4200	703,0200	525,0400	916,2800	1412,5300	1553,8200	1594,4700	2283,1700	1428,4800	CICIMAUCR0097
4172,6900	3806,5800	4804,8000	2101,6900	1587,1500	5606,0200	8648,1100	9122,3000	5654,6800	148,8500	148,7700	1403,1800	726,3300	2368,2300	785,8300	576,4800	892,0400	1428,3700	1383,5500	1461,6900	2162,2600	1872,8500	CICIMAUCR0105
					5623,0800	8291,0500	9072,4800	5807,6100	156,2000	147,9200	1363,8300	665,3300	2443,2400	701,4300	529,2000	879,8300						CICIMAUCR0113
					5434,7900	8023,6000	8608,3600	5457,5800	152,6300	146,1400	1283,7600	685,7500	2081,8600	768,2300	413,1300	822,5100	1461,4500	1400,7100	1444,8200	1871,5800	1737,6400	CICIMAUCR0116
4292,3500	3605,9200	4569,6800	2042,0500	1535,2900	5393,3000	7735,7100	8334,0100	4970,7800	154,6800	147,5300	1243,7000	583,1700	1620,3400	654,7500	456,6900	678,5500	1521,6300	1563,5700	1633,2200	2054,6900	1502,8600	CICIMAUCR0201
3625,3700	3523,2500	4620,2900	1966,1200	14,0000	5294,7500	7291,7500	7843,0900	4606,5000	150,1700	140,6600	1301,4600	581,7600	1818,0900	616,1900	473,9900	714,3400	1349,4600	1332,0600	1396,3200	1733,6900	1429,2900	CICIMAUCR0204
4282,4600	3617,0500	4300,6100	2044,3700	1617,0400	5105,0900	7426,8200	7709,8400	4575,5100	154,1200	147,6000	1096,2400	582,6000	1622,9600	703,6300	394,7700	591,4000	1437,1400	1484,6200	1549,3100	1994,7200	1357,5100	CICIMAUCR0205
3977,8200	3630,5500	4510,6200	2088,3800	1696,3000	5515,1800	8013,0800	8641,0300	5125,1800	149,9000	151,1700	1214,3700	630,3300	1759,4000	688,3600	355,2200	655,5400	1518,0900	1533,8600	1582,3300	2224,0300	1377,1300	CICIMAUCR0209
