code	label	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
BIOUCR0001				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata (sin datos)  Filtro Izq: Mas cafe. June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0002				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata   Filtro Der: Menos cafe. June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0003				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0004				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0005				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0006				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata  . June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0007				6	2005								Cliff house, Monteverde. Costa Rica.	P. cupreomarginata   Filtro Der: Se ve menos cafe. Mas cafe en el centro del elitro izq. June 2005. Richard Whitten. Cliff house, Monteverde. Costa Rica. 	Chrysina	cupreomarginata	Costa Rica	Puntarenas											
BIOUCR0008				4	1981									P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela											
BIOUCR0009				4	1981									P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela											
BIOUCR0010				4	1981									P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela											
BIOUCR0011				4	1981									P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela											
BIOUCR0012				4	1978								San Ramón	P. chalcothea Costa Rica, Guanacaste, San Ramon 29 Abril 1978	Chrysina	chalcothea	Costa Rica	Guanacaste											
BIOUCR0013				4	1981									P. chalcothea. April 1981, Mario Posla. Alajuela, Costa Rica	Chrysina	chalcothea	Costa Rica	Alajuela											
BIOUCR0014			18	5	1985								Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0015			18	5	1985								Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0016			18	5	1985								Volcán	P. resplendens May 18, 1985. Richard Whitten. Volcán, Panamá. Parte inferior de elitros cafe bajo Filtro izq. Plateado bajo filtro derecho	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0017			18	5	1985								Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0018			18	5	1985								Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0019			18	5	1985								Volcán	P. resplendens. May 18, 1985. Richard Whitten. Volcán, Panamá.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0020			18	5	1985								Volcán	P. resplendens May 18, 1985. Richard Whitten. Volcán, Panamá. Parte central elitros cafe bajo PL. Plateado bajo PR.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0021			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0022			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0023			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama centro cafe bajo filtro izq. Plateado bajo Filtro derecho.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0024			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0025			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0026			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama Centro cafe bajo fIltro izq.	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0027			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0028			18	5	1985								Volcán	P. resplendens 18 de Mayo de 1985 R.W. Volcan, Panama	Chrysina	resplendens	Panamá	Chiriquí											
BIOUCR0029			12	6	2007								Monteverde	P. resplendens June 12 2007 Monteverde, CR	Chrysina	resplendens	Costa Rica	Puntarenas											
BIOUCR0030														C. chrysargyrea	Chrysina	chrysargyrea													
