code	label	notes	old_code	purpose	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron
INBUCR0111	C111STRBEL1	Strigidia belti. Color verde oscuro metálico con ambos élitros (Det: A.Solís) COSTA RICA Prov. Alajuela. San Ramón. Est. Biol. Villa Blanca. 1115m 23 25 MAY 2009 R. Rojas Tp. Luz Mercurio  L_N_242482 483371 #97135 INB0004224190 INBIOCRI COSTA RICA	INB0004224190		23	5	2009		U						San Ramón. Est. Biol. Villa Blanca.	Strigidia	belti	Costa Rica	Alajuela			1115							
INBUCR0112	C112STRBEL2	Strigidia belti. Color verde oscuro metálico sin élitro derecho COSTA RICA Prov. Alajuela. Guatuso. P.N V. Tenorio. Laguna La Carmela Finca Juan Jarquín. 700-800 m. 25 ABR 2009. J.A Azofeifa. Tp. Luz Mercurio L_N_298300_425900 #96550 INB0004211063 INBIOCRI COSTA RICA	INB0004211063	Élitro derecho en bolsa para mediciones de transflectancia y transmitancia	25	4	2009		U						Guatuso. P.N V. Tenorio. Laguna La Carmela Finca Juan Jarquín.	Strigidia	belti	Costa Rica	Alajuela			700							
INBUCR0113	C113STRGLA1	Strigidia glabra. Color verde metálico con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste. Cañas. Laguna La Vieja Finca M. Campos. 600-700m 13 JUN 2007 J.A Azofeifa M. Campos . Tp. Luz Mercurio L_N_292100_421100 #91629. INB0004090554 INBIOCRI COSTA RICA 	INB0004090554		13	6	2007		U						Cañas. Laguna La Vieja Finca M. Campos.	Strigidia	glabra	Costa Rica	Guanacaste			600							
INBUCR0114	C114STRGLA2	Strigidia glabra. Color verde metálico sin élitro derecho (Det: A. Solís) COSTA RICA Prov. Puntarenas. Cóbano. Estación Cabo Blanco. 0-100m 20-23 MAY 2001 W. Porras. Trampa de Luz L_N_175150_416300 #66574.  INB0003420620 INBIOCRI COSTA RICA 	INB0003420620	Élitro derecho en bolsa para medir transmitancia y transflectancia. 	20	5	2001		U						Cóbano. Estación Cabo Blanco.	Strigidia	glabra	Costa Rica	Puntarenas			0							
INBUCR0115	C115STRPUB1	Strigidia pubes. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Limón. Estación R. B. Hitoy Cerere. 160m AGO 1998 E. Rojas. Tp. Luz L_N_184120_643471 #51622 INB0003055960 INBIOCRI COSTA RICA 	INB0003055960			8	1998		U						Estación R. B. Hitoy Cerere.	Strigidia	pubes	Costa Rica	Limón			160							
INBUCR0116	C116STRPUB2	Strigidia pubes. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Limón. R.B. Hitoy Cerere. Valle de la Estrella. Send. Espavel. 560m 23-27 SEP 2003 F. Rojas. B. Gamboa W. Araya. Luz Mercurio L_S_401200_569800 #75427. INB0003766766 INBIOCRI COSTA RICA 	INB0003766766		23	9	2003		U						Hitoy Cerere. Valle La Estrella. Send Espavel.	Strigidia	pubes	Costa Rica	Limón			560							
INBUCR0117	C117STRLAB1	Strigidia labyrinthophallica. Color cobrizo con ambos élitros (Det: A. Solís) COSTA RICA Prov. Puntarenas. P.N. Corcovado. Estac La Leona Alrededores. 5m 1-15 ABR 2002 A. Azofeifa. Libre. I S267167_519271 #70571 INB0003515945 INBIOCRI COSTA RICA 	INB0003515945		1	4	2002		U						P.N. Corcovado. Estac La Leona Alrededores.	Strigidia	labyrinthophallica	Costa Rica	Puntarenas			5							
INBUCR0121	C121PELSTR1	Pelidnota strigosa. Color café sin élitro izquierdo (Det: A. Solís) COSTA RICA Prov. Puntarenas. Isla San Lucas. Puesto Isla San Lucas alrededores del puesto. 0-100m 14-15 SEP 2005 J. Azofeifa. B. Gamboa. A. Picado. M. Moraga Tp. de Luz L_N_214350_437250 #84359 INB0003969555 INBIOCRI COSTA RICA 	INB0003969555		14	9	2005		U						Puesto Isla San Lucas alrededores del puesto	Pelidnota	strigosa	Costa Rica	Puntarenas			0							
INBUCR0122	C122PELSTR2	Pelidnota strigosa. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste. Cañas. Reserva Leones. Naciente Quebrada Leones Cabo Blanco. 800-900m 25-26 SEP 2008 J.A. Azofeifa. Tp Luz Mercurio L_N_291200_422800 #94907 INB0004171901 INBIOCRI COSTA RICA 	INB0004171901		25	11	2008		U						Cañas. Reserva Leones. Naciente Quebrada Leones Cabo Blanco.	Pelidnota	strigosa	Costa Rica	Guanacaste			800							
INBUCR0123	C123PELNOT1	Pelidnota notata. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste. La Cruz, A.C.G, Pque Nal Gte, Est Mengo, Ladera S W de Volcán Cacao. 1100m. 26 JUN 1987. Janzen. Manual L_N_330200_375700 #52580 INB0003353862 INBIOCRI COSTA RICA 	INB0003353862		26	6	1987		U						La Cruz, A.C.G, Pque NAl Gte, Est Mengo, Ladera S W de Volcán Cacao.	Pelidnota	notata	Costa Rica	Guanacaste			1100							
INBUCR0124	C124PELNOT2	Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste, A.C.G, Liberia, Mayorga, Quebrada Grande. 400m. 7 JUN 1986. Janzen. Manua (red, libre) L_N_314000_373000 #52573 INB0003358057 INBIOCRI COSTA RICA 	INB0003358057		7	6	1986		U						A.C.G, Liberia, Mayorga, Quebrada Grande.	Pelidnota	notata	Costa Rica	Guanacaste			400							
INBUCR0125	C125PELPUN1	Pelidnota punctulata. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste, Nicoya, San Antonio, Comunidad Rosario, 50 m. 4 JUL 2005, B. Gamboa, J. Azofeifa, J. Gutiérrez, M. Moraga, Y. Cárdenas, Tp de Luz, L_N_256800_383500 #83775 INB0003955877 INBIOCRI COSTA RICA 	INB0003955877		4	7	2005		U						Nicoya, San Antonio, Comunidad Rosario	Pelidnota	punctulata	Costa Rica	Guanacaste			50							
INBUCR0126	C126PELPUN2	Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste, Bagaces, P.N Palo Verde, Sector Palo Verde. 10 m. 6-27 MAY 2000. W. Porras. de Luz. L_N_260300_390150 #57445 INB0003168439 INBIOCRI COSTA RICA 	INB0003168439		6	5	2000		U						Bagaces, P.N Palo Verde, Sector Palo Verde	Pelidnota	punctulata	Costa Rica	Guanacaste			10							
INBUCR0131	C131PELPRO1	Pelidnota prolixa. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Puntarenas. Golfito. Jiménez. Est. FJ Tigre, Area Administrativa. 47 m. 15-16 NOV 2007. J. A. Azofeifa. Tp Luz. L_S_277800_529600 #92867 INB0004128045 INBIOCRI COSTA RICA 	INB0004128045		15	11	2007		U						Golfito. Jiménez. Est. FJ Tigre, Area Administrativa.	Pelidnota	prolixa	Costa Rica	Puntarenas			47							
INBUCR0132	C132PELPRO2	Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Limón. Veragua Rainforest. Campamento. 400-440 m. 24-27 FEB 2009. R. Villalobos. Tp. Luz Mercurio. L_N_212220_625230 #95892 INB0004200339 INBIOCRI COSTA RICA 	INB0004200339		24	2	2009		U						Veragua Rainforest. Campamento	Pelidnota	prolixa	Costa Rica	Limón			400							
INBUCR0133	C133PELFRO1	Pelidnota fromeri. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste. Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla. 1000-1100m 14-15 JUN 2007. J. A. Azofeifa, M. Campos. Tp. Luz Mercurio. L_N_292650_422850 #91628 INB0004090449 INBIOCRI COSTA RICA 	INB0004090449		14	6	2007		U						Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla.	Pelidnota	frommeri	Costa Rica	Guanacaste			1000							
INBUCR0134	C134PELFRO2	Pelidnota fromeri. Color café con ambos élitros (Det: A. Solís) COSTA RICA Prov. Guanacaste. Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla. 1000-1100m 14-15 JUN 2007. J. A. Azofeifa, M. Campos. Tp. Luz Mercurio. L_N_292650_422850 #91628 INB0004090474 INBIOCRI COSTA RICA 	INB0004090474		14	6	2007		U						Cañas. P.N. Volcán Tenorio. Río Martirio. La Rejolla.	Pelidnota	frommeri	Costa Rica	Guanacaste			1000							
INBUCR0135	C135PELPAR1	Color café con ambos élitros. Pelidnota parallela Det: A. Solís. Amubri, A. C. Amistad, Prov. Limón. COSTA RICA 70 m. 14-22 Agos 1993. G. M. Gallardo, L_S_385500_578000 #2194. INBIOCRI001935604	INBIOCRI001935604		14	8	1993		U						Amubri, A. C. Amistad	Pelidnota	paralela	Costa Rica	Limón			70							
INBUCR0136	C136PELPAR2	Pelidnota parallela. Color café con ambos élitros. Pelidnota parallela. Det: A. Solís. COSTA RICA, Prov. Puntarenas. Estación Altamira. 1 km. S del Cerro Biolley. 1450 m. 7 ABR - 10 MAY 1997. R. Villalobos. de Luz. L_S_331700_572100 #46227. INBIOCRI002538670	INBIOCRI002538670		10	4	1997		U						Estación Altamira. 1 km. S del Cerro Biolley.	Pelidnota	parallela	Costa Rica	Puntarenas			1450							
INBUCR0141	C141PELLAE1	Color café con ambos élitros. Pelidnota laevissima. Det: A. Solís. Finca Cafrosa, Embalce, 800 m NO. de Tigra, Puntarenas, Costa Rica. 1280 m. 10-26 MAR 1996. E. Navarro, de Luz L_S_317800_596200 #7488. INBIOCRI002382849	INBIOCRI002382849		10	3	1996		U						Finca Cafrosa, Embalce, 800 m NO. de Tigra	Pelidnota	laevissima	Costa Rica	Puntarenas			800							
INBUCR0142	C142PELLAE2	Color café con ambos élitros. Pelidnota laevissima. Det: A. Solís. Finca Cafrosa, Embalce, 800 m NO. de Tigra, Puntarenas, Costa Rica. 1280 m.10-21 MAY 1996. E. Navarro, L_S_317800_596200 #7494. INBIOCRI002374952	INBIOCRI002374952		10	5	1996		U						Finca Cafrosa, Embalce, 800 m NO. de Tigra	Pelidnota	laevissima	Costa Rica	Puntarenas			1800							
INBUCR0211	C211	C211 M. E. Tricolor Esc Verde Grande																											
INBUCR0212	C212	Chrysina boucardi. Escarabajo grande, falta élitro derecho, cobrizo morado.Det: A. Solís Costa Rica, Prov Limón. P.I La Amistad Caribe Camp 1: Río Lori, Transecto 2. 1800 m - 1900 m 17 Feb 2007 B Gamboa M. Moraga Tp Luz #90738. INB0004065610 INBIOCRI COSTA RICA.	INB0004065610	Élitro derecho en bolsa para medicion de transflectancia y reflectancia.  Elitro derecho E. Bermudez 4-MAR-24 SEM. 	17	2	2007		M						P.I La Amistad Caribe Camp 1: Río Lori, Transecto 2.	Chrysina	boucardi	Costa Rica	Limón			1800							
INBUCR0213	C213	Chrysina optima Det: A. Solís. INBIOCRI002037918	INBIOCRI002037918						M							Chrysina	optima												
INBUCR0214	C214	C. marginata Det: A. Solís INB0003102404 INBIOCRI COSTA RICA. Costa Rica, Prov. Puntarenas, Coto Brus. Zona protectora Las Tablas, Est Biol Las alturas. 1550 m 15-24 MAR 1999, Corrales L_S_322800_591500 #52465	INB0003102404		15	3	1999		F						Coto Brus. Zona protectora Las Tablas, Est Biol Las alturas.	Chrysina	marginata	Costa Rica	Puntarenas			1550							
INBUCR0215	C215	INBIOCR1002437563 C. batesi Est Cuerici. Sendero al mirador. 4,6 km al E. de Villa Mills, San José, Costa Rica. 2640 m. 19-20 Abr 1996. A. Picado de Luz L_S_389700_499600 #7030	INBIOCRI002437563		19	4	1996		M						Est Cuerici. Sendero al mirador.	Chrysina	batesi	Costa Rica	San José			2640							
INBUCR0216	C216	C. chrysargyrea. Coopelares, Sector Las Pailas, Prov Guanacaste. COSTA RICA. 1600 m. 24 JUN-10 JUL 1995. K. Taylor L_N_311400_389400 #6199. INBIOCRI002426713.	INBIOCRI002426713		24	6	1995		F						Coopelares, Sector Las Pailas,	Chrysina	chrysargyrea	Costa Rica	Guanacaste			1600							
INBUCR0221	C221	Chrysina chrysopedila. INB0004085457 INBIOCRI Costa Rica. Élitro Izq falta. La Catarata, P. N. Tapantí. Prov Cartago COSTA RICA 1700 m. Ago 1994 G. Mora. L. N. 190900_560300 #3183	INB0004085457			8	1994		F						Élitro Izq falta. La Catarata, P. N. Tapantí.	Chrysina	chrysopedila	Costa Rica	Cartago			1700							
INBUCR0222	C222	C. batesi Det: A Solís COSTA RICA INBIOCRI002430774 Est. Cuerici, Sendero al Mirador, 4,6 km al E. de Villa Mills, San José, Costa Rica, 2640 m 17-22 Mar 1996. A Picado, de Luz L_S_389700_499600 #7026	INBIOCRI002430774		17	3	1996		M						Est. Cuerici, Sendero al Mirador,	Chrysina	batesi	Costa Rica	San José			2640							
INBUCR0223	C223	Chrysina sp. Rojizo con bordes dorados. 														Chrysina	aurigans												
INBUCR0224	C224	Sin élitros ni cabeza. C. Aurigans (M.H.)														Chrysina	aurigans												
INBUCR0225	C225	C. chrysopedila Det: A. Solís COSTA RICA  Prov Puntarenas Coto Brus. Z. P  Las Tablas Estación Biol. Las Alturas. 1500 m. 15-24 Mar 1999. R. barton de luz L_S_322700_591400 #52438 INB0003120139 INBIOCRI Costa Rica. Sin élitros	INB0003120139	elitro derecho Eduardo Libby. 20240301	15	3	1999		F						Coto Brus. Z. P Las Tablas Estación Biol. Las Alturas.	Chrysina	chrysopedila	Costa Rica	Puntarenas			1500							
INBUCR0226	C226	Parace ser C. aurigans. Dorado														Chrysina	aurigans												
INBUCR0231	C231	Parece ser C. aurigans. Falta pata trasera izq														Chrysina	aurigans												
INBUCR0232	C232	Plateado. Extremos de las patas morados.																											
INBUCR0233	C233	Chrysina chalcothea Det: A Solís. INBI0003489983 INBIOCRI COSTA RICA Costa Rica. Prov. Cartago. R. F.  Río Macho, Alrededor Estación la Esperanza. 2650 m 26-29 de May 2002. R. González, Luz ambiente L_N_1856000_550000 #69624	INB0003489983		26	5	2002		M						Río Macho, Alrededor Estación la Esperanza	Chrysina	chalcothea	Costa Rica	Cartago			2650							
INBUCR0234	C234	COSTA RICA, Prov. Guanacaste, A.C.G. La Cruz, Parque Nacional Guanacaste, Est. Biol Maritza, 600-700 m. 1 JUN 1987. Janzen de Luz L_N_326900_374200 #52560 INB0003028187 INBIOCRI COSTA RICA C. bruyeai Det: A. Solís Falta élitro Izq.	INB0003028167		1	6	1987		M						La Cruz, Parque Nacional Guanacaste, Est. Biol Maritza,	Chrysina	bruyeai	Costa Rica	Guanacaste			600							
INBUCR0235	C235	C. boucardi. Det A. Solís. COSTA RICA. Prov Limón. PI. La Amistad. Caribe. Camp 3: Fila Bugu, orilla campamento. 1500-1600m 25-26 FEB 2007 B. Gamboa M. Moraga Tp. Luz L_S_375729_551282 #90732. INB0004065423 INBIOCRI COSTA RICA.	INB0004065423	Élitro derecho en bolsa para medicion de transflectancia y reflectancia. 	25	2	2007		M						PI. La Amistad. Caribe. Camp 3: Fila Bugu, orilla campamento	Chrysina	boucardi	Costa Rica	Limón			1500							
