genus	species	binomial	species_code	code	notes	location	latitude	longitude	province	protected_area	canton	district	max_altitude	min_altitude	collection_date_start	collection_date_end	collector
Calomacraspis	haroldi	Calomacraspis haroldi	84	112793		"Estacion Pitilla, 9 Km S Santa Cecilia."	10.9926094	-85.4294772	Guanacaste	P.N. Guanacaste	La Cruz	Santa Cecilia	700	600	01/11/1989	30/11/1989	"Moraga, Calixto"
Calomacraspis	haroldi	Calomacraspis haroldi	84	121321		"Estacion Pitilla, 9 Km S Santa Cecilia."	10.9926094	-85.4294772	Guanacaste	P.N. Guanacaste	La Cruz	Santa Cecilia	700	600	01/11/1989	30/11/1989	"Moraga, Calixto"
Calomacraspis	haroldi	Calomacraspis haroldi	84	592808		"A.C.P.C, Garabito, Tarcoles, Estacion Quebrada Bonita"	9.7674525	-84.6081186	Puntarenas	P.N. Carara	Garabito	Tárcoles	100	50	11/08/1991	11/08/1991	"Solis, Angel"
Calomacraspis	haroldi	Calomacraspis haroldi	84	667677		"Coto Brus, Sabalito, Finca Cafrosa, 2Km NW de Mellizas."	8.8914731	-82.7929361	Puntarenas	No protegida	Coto Brus	Sabalito	1300	1200	19/06/1990	26/07/1990	"Delgado, Roberto"
Calomacraspis	haroldi	Calomacraspis haroldi	84	801925		"Pococi, Colorado, Sector Cerro Cocori, 30 Km N de Cariari"	10.5942739	-83.7165122	Limon	R.V.S. Barra del Colorado	Pococí	Colorado	160	100	26/03/1992	24/04/1992	"Quesada, Freddy A."
Calomacraspis	haroldi	Calomacraspis haroldi	84	1207144		"A.C.O, Golfito, Pque Nal Corcovado, Est Sirena, Playa Sirena"	8.4801714	-83.5912892	Puntarenas	P.N. Corcovado	Golfito	Jiménez	100	0	01/01/1993	31/01/1993	"Fonseca, Gilberto"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1397155		"Estacion Pitilla, 9 Km S Santa Cecilia."	10.9926094	-85.4294772	Guanacaste	P.N. Guanacaste	La Cruz	Santa Cecilia	700	600	18/04/1993	19/05/1993	"Ríos Castro, Petrona"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1670038		"R.B. Hitoy Cerere, Sendero Toma de Agua"	9.6753778	-83.0267756	Limon	R.B. Hitoy Cerere	Limón	Valle La Estrella	250	0	01/10/1993	31/10/1993	"Carballo, Gerardo"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1717599		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	01/04/1992	30/04/1992	"Ramirez, Marvin"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1717600		Estacion Biologica Las Alturas.	8.9494444	-82.8364378	Puntarenas	No protegida	Coto Brus	Sabalito	1500	1350	01/04/1992	30/04/1992	"Ramirez, Marvin"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1728138		"Sarapiqui, La Virgen, P.N. Braulio Carrillo. Estacion Magsasay."	10.4012561	-84.0502278	Heredia	P.N. Braulio Carrillo	Sarapiquí	La Virgen	450	100	01/05/1991	31/05/1991	"Aguilar, Reinaldo"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1787923		"Rio San Lorenzo, Tierras Morenas"	10.6104586	-84.9949656	Guanacaste	Z.P. Tenorio	Tilarán	Tierras Morenas	1050	900	01/04/1994	30/04/1994	"Rodriguez, Gladys"
Calomacraspis	haroldi	Calomacraspis haroldi	84	1922846		"Guacimal, Finca Buen Amigo Monteverde, 4Km S. de la Reserva."	10.2767228	-84.7966197	Puntarenas	No protegida	Puntarenas	Guacimal	1400	900	20/06/1994	27/06/1994	"Fuentes, Zobeida"
Calomacraspis	haroldi	Calomacraspis haroldi	84	2202197		P.N. Guanacaste. Estacion Biologica Maritza. Sendero Mata Redonda.	10.9625814	-85.4842653	Guanacaste	P.N. Guanacaste	La Cruz	Santa Elena	800	600	07/04/1995	20/04/1995	"Araya, Elda"
Calomacraspis	haroldi	Calomacraspis haroldi	84	2371249		"Upala, Sector San Ramon de Dos Rios, 1.5 Km NW Hacienda Nueva Zelandia."	10.8832672	-85.4135436	Alajuela	P.N. Guanacaste	Upala	Dos Ríos (Colonia Mayorga)	620	620	15/03/1996	26/03/1996	"Quesada, Freddy A."
Calomacraspis	haroldi	Calomacraspis haroldi	84	2415026		"A.C.O. Golfito, Reserva Ftal Golfo Dulce, Est Agujas"	8.5348153	-83.4266669	Puntarenas	R.F. Golfo Dulce	Golfito	Jiménez	375	200	16/03/1998	20/03/1998	"Azofeifa Zúñiga, Alejandro"
Calomacraspis	haroldi	Calomacraspis haroldi	84	2448774		"Sendero La Tarde, Cerro de Oro 5,3 Km NW del Cerro Rincon"	8.5642289	-83.4886258	Puntarenas	R.F. Golfo Dulce	Golfito	Jiménez	280	280	10/02/1996	10/02/1996	"Angulo, Luis"
Calomacraspis	haroldi	Calomacraspis haroldi	84	2565845		"Algo diferente el espectro? Revisar espectros para ver si es verdad	"Trocha de San Luis, 1.5 Km S. de la Reserva, Monteverde"	10.3006675	-84.8071542	Puntarenas	No protegida	Puntarenas	Monteverde	1300	1300	16/05/1997	16/05/1997	"Fuentes, Zobeida"
Calomacraspis	haroldi	Calomacraspis haroldi	84	2596378		"Golfito, P:N. Piedras Blancas, Estacion Rio Bonito."	8.6915094	-83.2295869	Puntarenas	P.N. Piedras Blancas	Golfito	Golfito	100	100	08/11/1997	16/11/1997	"Fletes, Eida"
Calomacraspis	haroldi	Calomacraspis haroldi	84	2604835		"A.C.O. Golfito, Reserva Ftal Golfo Dulce, Est Agujas"	8.5348153	-83.4266669	Puntarenas	R.F. Golfo Dulce	Golfito	Jiménez	375	200	16/03/1998	20/03/1998	"Lobo, Manuel"
Calomacraspis	haroldi	Calomacraspis haroldi	84	3302646		"Upala, Albergue Heliconias, Send. Mirador"	107077972	-850335658	Alajuela	P.N. Volcan Tenorio	Upala	Bijagua	1150	700	03/08/2000	03/08/2000	"L�pez, Aurelio"
