code	purpose	old_code	collection_day	collection_month	collection_year	label	death_date	sex_code	refrigerator	tray	row	column	location_code	location	notes	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	collection
CICIMAUCR0001	nan	nan	3.0	5.0	2022.0	CICIMAUCR0001 AM//SEX: U 3.2022	nan	nan	1.0	2.0	4.0	3.0	AM	Parque Internacional La Amistad, Altamira	AM '22, La Amistad, 03-04.v.2022 Chrysina kalinini, 95% EtOH	Chrysina	kalinini	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0002	nan	nan	3.0	5.0	2022.0	CICIMAUCR0002 AM//SEX: M 3.V.2022	nan	M	1.0	2.0	1.0	1.0	AM	Parque Internacional La Amistad, Altamira	male AM 3.V.22	nan	nan	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0003	nan	nan	nan	5.0	2022.0	CICIMAUCR0003 AM//SEX: M V.2022	nan	M	1.0	2.0	1.0	1.0	AM	Parque Internacional La Amistad, Altamira	male AM V.22	nan	nan	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0004	nan	nan	nan	5.0	2022.0	CICIMAUCR0004 AM//SEX: M V.2022	nan	M	1.0	2.0	1.0	1.0	AM	Parque Internacional La Amistad, Altamira	male AM V.22	nan	nan	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0005	RNA-opsins. Elitro izquierdo E. Bermudez SEM 04-MAR-2024. Elitro derecho perdido.	6	nan	6.0	2023.0	CICIMAUCR0005 MV//SEX: F VI.2023	nan	F	1.0	2.0	1.0	1.0	MV	Monteverde	MV 6 MV 23 F?	Chrysina	boucardi	Costa Rica	Puntarenas	10.34367225	-84.79611834	nan	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0006	nan	kali4	nan	nan	2022.0	CICIMAUCR0006 AM//SEX: U 2022	nan	nan	1.0	2.0	1.0	1.0	AM	Parque Internacional La Amistad, Altamira	AM '22 //Poco etanol	nan	nan	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0007	general	20	nan	nan	2023.0	CICIMAUCR0007 MV//SEX: M 2023	nan	M	1.0	2.0	1.0	1.0	MV	lower light, Estacion Biologica Monteverde	MV 23, chrysargyrea GOLD	Chrysina	chrysargyrea	Costa Rica	Puntarenas	10.316699	-84.809033	1497.0	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0008	nan	kali2	nan	nan	2022.0	CICIMAUCR0008 AM//SEX: U 2022	nan	nan	1.0	2.0	1.0	1.0	AM	Parque Internacional La Amistad, Altamira	AM '22	nan	nan	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0009	nan	kali1	nan	nan	2022.0	CICIMAUCR0009 AM//SEX: U 2022	nan	nan	1.0	2.0	1.0	1.0	AM	Parque Internacional La Amistad, Altamira	AM 	nan	nan	Costa Rica	Puntarenas	9.030185803	-83.00826173	nan	nan	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0010	nan	58	28.0	5.0	2023.0	CICIMAUCR0010 MV//SEX: F 28.v.2023	nan	F	1.0	2.0	1.0	2.0	MV	nr. Reserva Bosque Nuboso Santa Elena	MV	Chrysina	chrysargyrea	Costa Rica	Guanacaste	10.34361583	-84.79609395	nan	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0011	nan	50	28.0	5.0	2023.0	CICIMAUCR0011 MV//SEX: M 28.v.2023	nan	M	1.0	2.0	1.0	2.0	MV	nr. Reserva Bosque Nuboso Santa Elena	MV	Chrysina	chrysargyrea	Costa Rica	Guanacaste	10.34361583	-84.79609395	nan	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0012	RNA-opsins	2	nan	nan	2023.0	CICIMAUCR0012 MV//SEX: M 2023	nan	M	1.0	2.0	1.0	2.0	MV	Monteverde	MV	Chrysina	cupreomarginata	Costa Rica	Puntarenas	10.34367225	-84.79611834	nan	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0013	nan	63	28.0	5.0	2023.0	CICIMAUCR0013 MV//SEX: M 28.v.2023	nan	M	1.0	2.0	1.0	2.0	MV	Reserva Bosque Nuboso Santa Elena	MV	Chrysina	resplendens	Costa Rica	Guanacaste	10.343871	-84.796085	1664.0	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0014	RNA-opsins	52	28.0	5.0	2023.0	CICIMAUCR0014 MV//SEX: F 28.v.2023	nan	F	1.0	2.0	1.0	2.0	MV	nr. Reserva Bosque Nuboso Santa Elena	MV	Chrysina	cupreomarginata	Costa Rica	Puntarenas	10.34361583	-84.79609395	nan	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0015	RNA-opsins	60	28.0	5.0	2023.0	CICIMAUCR0015 MV//SEX: F 28.v.2023	nan	F	1.0	2.0	1.0	2.0	MV	nr. Reserva Bosque Nuboso Santa Elena	MV	Chrysina	resplendens	Costa Rica	Puntarenas	10.34361583	-84.79609395	nan	dark-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0016	RNA-opsins	54	28.0	5.0	2023.0	CICIMAUCR0016 MV//SEX: M 28.v.2023	nan	M	1.0	2.0	1.0	2.0	MV	nr. Reserva Bosque Nuboso Santa Elena	MV	Chrysina	chrysargyrea	Costa Rica	Puntarenas	10.34361583	-84.79609395	nan	light-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
CICIMAUCR0017	nan	56	28.0	5.0	2023.0	CICIMAUCR0017 MV//SEX: F 28.v.2023	nan	F	1.0	2.0	1.0	2.0	MV	nr. Reserva Bosque Nuboso Santa Elena	MV	Chrysina	chrysargyrea	Costa Rica	Puntarenas	10.34361583	-84.79609395	nan	light-adapted	nan	nan	nan	nan	nan	nan	CICIMAUCR
