wavelength,L,R,reflectance
350.60193709,108.33333333,100.93621425441181,209.2695475844118
351.03772818,108.92091936,102.56154802737974,211.48246738737976
351.47350942,109.1940532,103.22880338611965,212.42285658611965
351.90928082,109.29452393,104.58120858513887,213.87573251513885
352.34504234,109.3604363,104.90496178226488,214.26539808226488
352.78079397,109.25393838,104.19673950139416,213.45067788139414
353.21653569,109.09090909,104.37577348836433,213.46668257836433
353.65226748,109.48404413,104.97516183974595,214.45920596974594
354.08798932,109.39396955,105.94787952549567,215.34184907549565
354.5237012,109.65750696,106.2848071537955,215.9423141137955
354.95940309,109.14507,106.87676603399798,216.021836033998
355.39509497,109.96420047,106.38288854122624,216.34708901122622
355.83077683,109.71405798,105.63790717113753,215.35196515113753
356.26644864,110.3089691,105.82554257531994,216.13451167531994
356.70211039,110.12417385,105.60106350662645,215.72523735662645
357.13776206,109.88023952,105.73850057387364,215.61874009387364
357.57340363,109.42811438,105.55400528629033,214.98211966629032
358.00903508,108.9593934,105.04611078603108,214.0055041860311
358.44465639,109.39973946,107.21851216771493,216.61825162771493
358.88026755,109.26334805,106.65469766054487,215.91804571054487
359.31586852,109.17135961,106.18639615989086,215.35775576989084
359.7514593,109.00120822,105.15967680801593,214.1608850280159
360.18703986,108.90321281,105.81623108675066,214.71944389675065
360.62261019,108.61529138,106.34260307990766,214.95789445990766
361.05817026,109.40518556,106.84978144529286,216.25496700529288
361.49372007,109.10199106,106.6843058308836,215.7862968908836
361.92925958,109.03559476,106.36804381502823,215.40363857502822
362.36478878,109.7640358,106.44318689669721,216.20722269669722
362.80030765,109.11857186,105.06963618759588,214.18820804759588
363.23581617,108.42084007,104.3482818575494,212.7691219275494
363.67131432,108.73344789,105.24285639901606,213.97630428901607
364.10680209,108.42221774,106.75131257159477,215.17353031159476
364.54227945,108.4934277,106.67451621586852,215.16794391586853
364.97774638,108.63599677,105.76610441092615,214.40210118092614
365.41320287,108.44149312,104.72002964562523,213.16152276562525
365.8486489,108.34339775,103.95687769145903,212.300275441459
366.28408445,108.31064045,103.8310323205611,212.14167277056112
366.71950949,108.35938287,103.82460417796068,212.18398704796067
367.15492401,108.84580431,104.41239743029779,213.2582017402978
367.590328,109.21928586,104.8431733700817,214.06245923008169
368.02572142,109.07437348,105.59926749609153,214.67364097609152
368.46110427,109.2214358,105.36865674068723,214.59009254068724
368.89647652,108.61147525,104.83600969656442,213.44748494656443
369.33183815,109.2093305,105.31882954213847,214.52816004213847
369.76718915,108.90120968,104.8336366706958,213.7348463506958
370.2025295,108.60734036,104.61245404918012,213.2197944091801
370.63785917,108.75802568,104.7703607618751,213.5283864418751
371.07317815,108.47778443,104.48788106930242,212.96566549930242
371.50848642,108.85799405,104.9507222094207,213.8087162594207
371.94378395,108.3588276,103.63109063808957,211.98991823808956
372.37907074,108.81567231,104.91347737706728,213.72914968706726
372.81434676,108.70553359,105.48627678554706,214.19181037554705
373.24961199,108.6447679,105.1837422012052,213.8285101012052
373.68486642,108.36516799,104.03887972194968,212.4040477119497
374.12011002,109.06152038,103.8539910350006,212.9155114150006
374.55534277,108.91881342,104.01832022211565,212.93713364211567
374.99056467,108.75841217,104.65900223901188,213.41741440901188
375.42577567,109.06865145,105.27113480885609,214.3397862588561
375.86097578,108.89040694,104.69601780334351,213.5864247433435
376.29616497,108.9997078,104.31244391860578,213.31215171860578
376.73134321,109.05818253,104.69080802636077,213.74899055636075
377.1665105,108.5595192,104.41457765621739,212.9740968562174
377.6016668,108.6770428,103.66233993021567,212.33938273021568
378.03681211,108.78535451,104.16897493202177,212.9543294420218
378.47194641,108.83036406,103.31725878540219,212.14762284540217
378.90706966,108.66460826,103.12099792700852,211.7856061870085
379.34218187,108.2643833,103.69193640235304,211.95631970235303
379.777283,108.171878,104.35939555235163,212.53127355235165
380.21237303,108.53635143,103.56545618629322,212.10180761629323
380.64745196,107.89975224,102.44362879668192,210.34338103668193
381.08251975,107.34066768,101.37491810252749,208.71558578252748
381.5175764,107.69668787,101.18916212303395,208.88584999303396
381.95262187,107.70105144,102.31286789169653,210.0139193316965
382.38765616,107.4550615,102.25221291851625,209.70727441851625
382.82267924,107.47398298,102.25335590468784,209.72733888468784
383.25769109,106.81646526,102.72474156600481,209.5412068260048
383.6926917,106.63775222,103.12064942218824,209.75840164218823
384.12768105,106.3330506,102.07041844189297,208.40346904189298
384.56265911,106.4604616,103.47923488237397,209.93969648237396
384.99762586,106.17272298,102.79789814021522,208.97062112021524
385.4325813,106.65595159,102.37637909366553,209.03233068366552
385.8675254,106.47807638,103.46434064895254,209.94241702895255
386.30245813,106.53015005,103.6589173703559,210.1890674203559
386.73737949,106.51355422,103.7256593043069,210.2392135243069
387.17228945,106.60359508,105.06739120419299,211.670986284193
387.60718799,106.13595538,105.49280269693232,211.62875807693231
388.04207509,105.54139526,105.04586817938268,210.5872634393827
388.47695074,105.37240537,103.79330185108444,209.16570722108443
388.91181492,105.58727188,104.11265284059424,209.69992472059425
389.3466676,105.24009324,104.23706382024436,209.47715706024434
389.78150877,104.94571773,104.47714339097853,209.42286112097852
390.21633841,105.17337289,103.96870445118654,209.14207734118654
390.6511565,105.26607027,103.47839490890097,208.74446517890095
391.08596302,105.2413412,102.54988810705075,207.79122930705074
391.52075795,105.04966888,102.3539222636751,207.4035911436751
391.95554127,104.51630634,103.45165979998202,207.96796613998202
392.39031297,104.78981592,103.76390779751279,208.55372371751278
392.82507302,104.83989021,102.34469351963129,207.1845837296313
393.2598214,105.44273692,102.25626108352192,207.69899800352192
393.6945581,105.00273872,102.44046911804944,207.44320783804943
394.1292831,104.74929217,102.2120000266211,206.96129219662112
394.56399638,105.02207505,101.79146472008728,206.8135397700873
394.99869791,104.54836644,101.06872076853269,205.61708720853267
395.43338769,104.24657534,100.2589254859923,204.5055008259923
395.86806568,104.44505294,100.99087298405188,205.43592592405187
396.30273188,104.11346223,100.84547421671367,204.95893644671366
396.73738625,104.36284312,101.09100120019585,205.45384432019586
397.1720288,104.51243872,101.20925327351819,205.7216919935182
397.60665948,104.47882737,102.12120258192131,206.60002995192133
398.04127829,104.35878963,100.51241111258877,204.87120074258877
398.47588521,104.22471909,99.63503146720825,203.85975055720826
398.91048022,103.45350704,98.95922847236947,202.41273551236947
399.34506329,102.50725785,96.35879225830017,198.86605010830016
399.77963441,101.49878007,95.55954336263024,197.05832343263023
400.21419356,100.30159414,94.87518825776468,195.17678239776467
400.64874072,98.9624631,93.0464452610572,192.0089083610572
401.08327588,97.22107694,91.17097949839825,188.39205643839824
401.517799,95.05379797,89.17424500343644,184.22804297343646
401.95231008,92.58595151,87.94201018904445,180.52796169904445
402.3868091,89.51212166,85.50545681760032,175.01757847760032
402.82129603,86.54389908,83.17896003197245,169.72285911197247
403.25577086,83.55772585,81.04373533575959,164.6014611857596
403.69023356,79.96273375,77.15821713451818,157.12095088451818
404.12468412,76.31313131,73.55362655911173,149.86675786911172
404.55912252,72.49732175,70.52038704542903,143.01770879542903
404.99354874,68.44429538,67.20400605689818,135.64830143689818
405.42796276,64.58573374,63.10315092441981,127.6888846644198
405.86236457,60.75479077,59.563533384966256,120.31832415496626
406.29675414,57.64942424,57.19032786263925,114.83975210263925
406.73113145,54.01829398,54.33026080401397,108.34855478401397
407.16549648,50.86302454,51.447424706946975,102.31044924694697
407.59984922,48.04467215,49.082816447068275,97.12748859706826
408.03418965,45.4383866,47.04465521059262,92.48304181059262
408.46851774,42.89674069,45.02871509794767,87.92545578794767
408.90283349,40.44415531,42.97464240702328,83.41879771702328
409.33713686,38.17802885,40.86077561717452,79.03880446717451
409.77142784,36.17503309,39.14283453491,75.31786762491001
410.20570642,34.22357155,37.55581447867303,71.77938602867303
410.63997256,32.50431092,36.31512724583665,68.81943816583666
411.07422626,30.96762204,35.07333523564205,66.04095727564204
411.50846749,29.53390895,34.16945747045726,63.70336642045726
411.94269624,28.24153732,33.441914218895235,61.683451538895234
412.37691248,27.07219024,32.52349506700934,59.59568530700935
412.81111621,26.03239387,31.774101531652935,57.80649540165294
413.24530738,25.10382249,31.009246411574676,56.11306890157468
413.679486,24.21153736,30.377064400049697,54.5886017600497
414.11365204,23.48366607,29.774519260526095,53.258185330526096
414.54780547,22.68269454,29.391263486735557,52.07395802673555
414.98194629,22.05372405,29.041598607511023,51.09532265751102
415.41607447,21.37849382,28.697635526929652,50.07612934692965
415.85018999,20.81749049,28.467268855111673,49.284759345111674
416.28429284,20.22336824,28.279505904400313,48.50287414440031
416.71838299,19.75120563,28.169718612214236,47.92092424221424
417.15246043,19.27501208,28.1232081939879,47.3982202739879
417.58652514,18.86831027,28.00123224449763,46.869542514497624
418.02057709,18.47756124,27.91023805722448,46.387799297224475
418.45461627,18.13421524,27.849709402248358,45.983924642248354
418.88864266,17.8385514,27.75056542319162,45.58911682319162
419.32265625,17.57771148,27.689751660387348,45.26746314038735
419.756657,17.30319684,27.62924601903858,44.932442859038574
420.19064491,17.05741448,27.632403230259406,44.689817710259405
420.62461995,16.82976259,27.690305152016467,44.520067742016465
421.0585821,16.60067695,27.70550275412231,44.306179704122314
