code	label	notes	old_code	collection_day	collection_month	collection_year	death_date	sex_code	refrigerator	tray	row	column	location_code	location	genus	species	country	province	latitude	longitude	elevation	light_dark	histology_location	histology_stage_performed	histology_stage_next_up	rna_location	etoh_voucher	elytron	purpose
1	CICIMAUCR0001 AM//SEX: U 2022	AM '22, La Amistad, 03-04.v.2022 Chrysina Kalinini, 95% EtOH				2022			1	2	4	3	AM				COSTA RICA	PUNTARENAS											
10	CICIMAUCR0010 MV//SEX: F 28.v.2023	MV	58	28	5	2023		F	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE				dark-adapted							
100	CICIMAUCR0100 MV//SEX: M 28.v.2023	64 Cupreomarginata male	64	28	5	2023		M	1	2	2	3	MV	Reserva Bosque Nuboso Santa Elena	Chrysina	cupreomarginata	COSTA RICA	GUANACASTE	10,343,871	-84,796,085	1664 m								general
101	CICIMAUCR0101 MV//SEX: F 2023	#45 Kenji female resplendens, from Kenji Nishida	45			2023		F	1	2	2	3	MV	nr. Estacion Biologica Monteverde	Chrysina	resplendens	COSTA RICA	PUNTARENAS											etoh
102	CICIMAUCR0102 MV//SEX: M 2023	MV 2023 8-VI-23	10			2023		M	1	3	2	1	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
103	CICIMAUCR0103 MV//SEX: M 2023	MV 2023 5-VI-23	4			2023		M	1	3	2	1	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
104	CICIMAUCR0104 MV//SEX: M 2023	MV.V.23 02 02-VI-2023 125	19			2023		M	1	2	2	3	MV		Chrysina	resplendens	COSTA RICA	PUNTARENAS											general
105	CICIMAUCR0105 AM//SEX: U 2022	L. Kalinini La Amistad AM V.2022				2022			1	2	2	3	AM				COSTA RICA	PUNTARENAS											
106	CICIMAUCR0106 MV//SEX: M 2023	MV 2023 8-VI-2023	11			2023		M	1	3	2	2	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
107	CICIMAUCR0107 MV//SEX: M 2023	MV 2023 8-VI-2023	12			2023		M	1	3	2	2	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
108	CICIMAUCR0108 MV//SEX: M 2023	MV GROUP	9			2023		M	1	2	2	3	MV		Chrysina	resplendens	COSTA RICA	PUNTARENAS											general
109	CICIMAUCR0109 MV//SEX: F 2023	#46 C. resplendens female kenji, from Kenji Nishida	46			2023		F	1	2	2	3	MV	nr. Estacion Biologica Monteverde	Chrysina	resplendens	COSTA RICA	PUNTARENAS											etoh
11	CICIMAUCR0011 MV//SEX: M 28.v.2023	MV	50	28	5	2023		M	1	2	1	2	MV	nr. Reserva Bosque Nuboso Santa Elena	Chrysina	chrysargyrea	COSTA RICA	GUANACASTE				dark-adapted							
110	CICIMAUCR0110 MV//SEX: M 2023	MV 2023 8-VI-2023	13			2023		M	1	3	2	2	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
111	CICIMAUCR0111 MV//SEX: M 2023	#14 MV.V.23 02-VI-23	14			2023		M	1	3	2	2	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
112	CICIMAUCR0112 MV//SEX: F 2023	#44 female kenji C resplendens, from Kenji Nishida	44			2023		F	1	2	2	3	MV	nr. Estacion Biologica Monteverde	Chrysina	resplendens	COSTA RICA	PUNTARENAS											etoh
113	CICIMAUCR0113 //SEX: U 2023	EtOH, tapa dice M	KAL-3			2023			1	2	2	3					COSTA RICA												
114	CICIMAUCR0114 MV//SEX: M 2023	MV 2023 8-VI-2023	16			2023		M	1	3	2	2	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
115	CICIMAUCR0115 MV//SEX: M 2023	MV 2023 8-VI-2023	17			2023		M	1	3	2	2	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
116	CICIMAUCR0116 AM//SEX: M 44684		KALI-5	3	5	2022		M	1	2	2	3	AM	Altamira, La Amistad, COSTA RICA	Chrysina	kalinini	COSTA RICA	PUNTARENAS	N 09.029891,	W 083.009678	1369 m	Light	Both eyes, B7	through 1X PBS wash series	Osmication	n/a	95%	n/a	
117	CICIMAUCR0117 MV//SEX: M 2023	10/6/23 MV	18			2023		M	1	3	2	3	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
118	CICIMAUCR0118 MV//SEX: M 2023	K29 SEM Esteban, MV23-29 Chysargyrea, from Kenji Nishida	29			2023		M	1	2	4	3	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
119	CICIMAUCR0119 MV//SEX: M 2023	MV 2023 5-VI-2023 MALE	22			2023		M	1	3	2	3	MV	lower light, Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
12	CICIMAUCR0012 MV//SEX: M 2023	MV	2			2023		M	1	2	1	2	MV		Chrysina	cupreomarginata	COSTA RICA	PUNTARENAS				dark-adapted							RNA-opsins
120	CICIMAUCR0120 MV//SEX: M 2023	MV 2023 05-VI-23 MALE K23, from Kenji Nishida	32			2023		M	1	3	2	3	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
121	CICIMAUCR0121 MV//SEX: F 2023	MV 2023 8-VI-2023 FEMALE, lower light, Estacion Biologica Monteverde	23			2023		F	1	3	2	3	MV		Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
122	CICIMAUCR0122 MV//SEX: F 2023	MV 2023 8-VI-2023	24			2023		F	1	3	2	3	MV	lower light, Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
123	CICIMAUCR0123 MV//SEX: F 2023	MV 2023 8-VI-2023	25			2023		F	1	3	2	3	MV	lower light, Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
124	CICIMAUCR0124 MV//SEX: M 2023	MV 2023  8-VI-2023	26			2023		M	1	3	2	3	MV	lower light, Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
125	CICIMAUCR0125 MV//SEX: F 2023	MV 2023 8-VI-2023	27			2023		F	1	3	2	3	MV	lower light, Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
126	CICIMAUCR0126 MV//SEX: M 2023	MV 2023 5-VI-2023	28			2023		M	1	3	2	3	MV	upper light, Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS	10,319,752	-84,806,625	1558 m								general
127	CICIMAUCR0127 MV//SEX: M 2023	41 K MALE, from Kenji Nishida	41			2023		M	1	3	2	3	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											general
128	CICIMAUCR0128 MV//SEX: F 2023	#20 kenji C. Chrysargyrea female	30			2023		F	1	3	3	1	MV	lower light, Estacion Biologica Monteverde	Chrysina	chrysargyrea GOLD	COSTA RICA	PUNTARENAS	10,316,699	-84,809,033	1497 m								general
129	CICIMAUCR0129 MV//SEX: M 2023	#34 male kenji C. Chrysargyrea, from Kenji Nishida	34			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											etoh
13	CICIMAUCR0013 MV//SEX: M 28.v.2023	MV	63	28	5	2023		M	1	2	1	2	MV	Reserva Bosque Nuboso Santa Elena	Chrysina	resplendens	COSTA RICA	GUANACASTE	10,343,871	-84,796,085	1664 m	dark-adapted							
130	CICIMAUCR0130 MV//SEX: M 2023	#35 kenji male C. Chrysargyrea, from Kenji Nishida	35			2023		M	1	3	3	1	MV	nr. Estacion Biologica Monteverde	Chrysina	chrysargyrea	COSTA RICA	PUNTARENAS											etoh
